"001 -- Homicide 1754-2020"

"Year"	"Population, total"
"1754"	450100
"1755"	457800
"1756"	462600
"1757"	470900
"1758"	476000
"1759"	482900
"1760"	491100
"1761"	501400
"1762"	509000
"1763"	511700
"1764"	518300
"1765"	525200
"1766"	532100
"1767"	537800
"1768"	546500
"1769"	553700
"1770"	561000
"1771"	569000
"1772"	578100
"1773"	588400
"1774"	600400
"1775"	610100
"1776"	616400
"1777"	622600
"1778"	634800
"1779"	649600
"1780"	663900
"1781"	665900
"1782"	671600
"1783"	672100
"1784"	678400
"1785"	679400
"1786"	690000
"1787"	703000
"1788"	706300
"1789"	705100
"1790"	705600
"1791"	706600
"1792"	723300
"1793"	741000
"1794"	752400
"1795"	770800
"1796"	783500
"1797"	800100
"1798"	813500
"1799"	822600
"1800"	832700
"1801"	848900
"1802"	864700
"1803"	868200
"1804"	881800
"1805"	898400
"1806"	905600
"1807"	906800
"1808"	874800
"1809"	854800
"1810"	863300
"1811"	1053400
"1812"	1069300
"1813"	1078300
"1814"	1083200
"1815"	1096000
"1816"	1114700
"1817"	1133300
"1818"	1150700
"1819"	1162600
"1820"	1177500
"1821"	1199900
"1822"	1209700
"1823"	1229800
"1824"	1243200
"1825"	1259200
"1826"	1274700
"1827"	1294100
"1828"	1315800
"1829"	1332000
"1830"	1372100
"1831"	1381900
"1832"	1383500
"1833"	1361800
"1834"	1379800
"1835"	1393700
"1836"	1392400
"1837"	1396600
"1838"	1409400
"1839"	1427800
"1840"	1445600
"1841"	1463100
"1842"	1486100
"1843"	1507000
"1844"	1527500
"1845"	1547700
"1846"	1561100
"1847"	1578400
"1848"	1599300
"1849"	1620900
"1850"	1636900
"1851"	1657600
"1852"	1662800
"1853"	1669200
"1854"	1685500
"1855"	1688700
"1856"	1693300
"1857"	1694400
"1858"	1706800
"1859"	1726000
"1860"	1746700
"1861"	1770600
"1862"	1786200
"1863"	1797400
"1864"	1827000
"1865"	1843200
"1866"	1837500
"1867"	1824200
"1868"	1727500
"1869"	1739600
"1870"	1768800
"1871"	1803800
"1872"	1834600
"1873"	1860000
"1874"	1886100
"1875"	1912600
"1876"	1942700
"1877"	1971400
"1878"	1994600
"1879"	2032700
"1880"	2060800
"1881"	2082600
"1882"	2113300
"1883"	2146400
"1884"	2180500
"1885"	2208500
"1886"	2238600
"1887"	2278100
"1888"	2314200
"1889"	2347700
"1890"	2380100
"1891"	2408300
"1892"	2422500
"1893"	2436700
"1894"	2465700
"1895"	2499900
"1896"	2530900
"1897"	2567500
"1898"	2610300
"1899"	2635300
"1900"	2655900
"1901"	2678500
"1902"	2693900
"1903"	2717100
"1904"	2751900
"1905"	2773000
"1906"	2803700
"1907"	2838700
"1908"	2883000
"1909"	2914800
"1910"	2943400
"1911"	2980000
"1912"	3015500
"1913"	3035800
"1914"	3069500
"1915"	3096300
"1916"	3114200
"1917"	3134300
"1918"	3115300
"1919"	3118000
"1920"	3147600
"1921"	3193200
"1922"	3227800
"1923"	3258600
"1924"	3286200
"1925"	3322100
"1926"	3355200
"1927"	3380600
"1928"	3412100
"1929"	3435300
"1930"	3462700
"1931"	3489600
"1932"	3516000
"1933"	3536600
"1934"	3561600
"1935"	3589600
"1936"	3612400
"1937"	3640200
"1938"	3672100
"1939"	3699700
"1940"	3695617
"1941"	3707815
"1942"	3708801
"1943"	3732532
"1944"	3737096
"1945"	3778890
"1946"	3833072
"1947"	3885284
"1948"	3937840
"1949"	3987996
"1950"	4029803
"1951"	4064727
"1952"	4116228
"1953"	4162609
"1954"	4211191
"1955"	4258571
"1956"	4304832
"1957"	4343190
"1958"	4376314
"1959"	4413046
"1960"	4446222
"1961"	4475787
"1962"	4507098
"1963"	4539519
"1964"	4557567
"1965"	4569896
"1966"	4591842
"1967"	4619645
"1968"	4633292
"1969"	4614277
"1970"	4598336
"1971"	4625912
"1972"	4653401
"1973"	4678761
"1974"	4702387
"1975"	4720492
"1976"	4730836
"1977"	4746967
"1978"	4758088
"1979"	4771292
"1980"	4787778
"1981"	4812150
"1982"	4841715
"1983"	4869858
"1984"	4893748
"1985"	4910664
"1986"	4925644
"1987"	4938602
"1988"	4954359
"1989"	4974383
"1990"	4998478
"1991"	5029002
"1992"	5054982
"1993"	5077912
"1994"	5098754
"1995"	5116826
"1996"	5132320
"1997"	5147349
"1998"	5159646
"1999"	5171302
"2000"	5181115
"2001"	5194901
"2002"	5206295
"2003"	5219732
"2004"	5236611
"2005"	5255580
"2006"	5276955
"2007"	5300484
"2008"	5326314
"2009"	5351427
"2010"	5375276
"2011"	5401267
"2012"	5426674
"2013"	5451270
"2014"	5471753
"2015"	5487308
"2016"	5503297
"2017"	5513130
"2018"	5517919
"2019"	5525292
"2020"	5533793
