Year_Date,Total
2003M01 ,418
2003M02 ,324
2003M03 ,368
2003M04 ,400
2003M05 ,550
2003M06 ,624
2003M07 ,669
2003M08 ,719
2003M09 ,679
2003M10 ,641
2003M11 ,546
2003M12 ,623
2004M01 ,475
2004M02 ,408
2004M03 ,368
2004M04 ,405
2004M05 ,543
2004M06 ,579
2004M07 ,670
2004M08 ,699
2004M09 ,586
2004M10 ,611
2004M11 ,550
2004M12 ,550
2005M01 ,464
2005M02 ,331
2005M03 ,337
2005M04 ,386
2005M05 ,636
2005M06 ,662
2005M07 ,833
2005M08 ,744
2005M09 ,692
2005M10 ,613
2005M11 ,540
2005M12 ,441
2006M01 ,356
2006M02 ,389
2006M03 ,327
2006M04 ,330
2006M05 ,543
2006M06 ,741
2006M07 ,727
2006M08 ,741
2006M09 ,689
2006M10 ,597
2006M11 ,453
2006M12 ,523
2007M01 ,483
2007M02 ,305
2007M03 ,351
2007M04 ,463
2007M05 ,555
2007M06 ,690
2007M07 ,612
2007M08 ,736
2007M09 ,567
2007M10 ,529
2007M11 ,508
2007M12 ,509
2008M01 ,435
2008M02 ,367
2008M03 ,322
2008M04 ,444
2008M05 ,642
2008M06 ,672
2008M07 ,737
2008M08 ,668
2008M09 ,650
2008M10 ,625
2008M11 ,524
2008M12 ,474
2009M01 ,406
2009M02 ,286
2009M03 ,316
2009M04 ,397
2009M05 ,623
2009M06 ,608
2009M07 ,707
2009M08 ,722
2009M09 ,692
2009M10 ,540
2009M11 ,413
2009M12 ,449
2010M01 ,299
2010M02 ,354
2010M03 ,278
2010M04 ,328
2010M05 ,542
2010M06 ,694
2010M07 ,722
2010M08 ,664
2010M09 ,548
2010M10 ,504
2010M11 ,463
2010M12 ,435
2011M01 ,381
2011M02 ,331
2011M03 ,329
2011M04 ,356
2011M05 ,564
2011M06 ,689
2011M07 ,711
2011M08 ,667
2011M09 ,593
2011M10 ,515
2011M11 ,516
2011M12 ,483
2012M01 ,408
2012M02 ,353
2012M03 ,261
2012M04 ,304
2012M05 ,495
2012M06 ,530
2012M07 ,571
2012M08 ,661
2012M09 ,560
2012M10 ,485
2012M11 ,470
2012M12 ,392
2013M01 ,296
2013M02 ,247
2013M03 ,280
2013M04 ,253
2013M05 ,500
2013M06 ,542
2013M07 ,538
2013M08 ,565
2013M09 ,534
2013M10 ,458
2013M11 ,459
2013M12 ,418
2014M01 ,329
2014M02 ,281
2014M03 ,336
2014M04 ,366
2014M05 ,443
2014M06 ,424
2014M07 ,615
2014M08 ,524
2014M09 ,519
2014M10 ,433
2014M11 ,383
2014M12 ,463
2015M01 ,337
2015M02 ,239
2015M03 ,315
2015M04 ,286
2015M05 ,456
2015M06 ,453
2015M07 ,502
2015M08 ,601
2015M09 ,465
2015M10 ,426
2015M11 ,439
2015M12 ,420
2016M01 ,320
2016M02 ,257
2016M03 ,202
2016M04 ,293
2016M05 ,487
2016M06 ,450
2016M07 ,447
2016M08 ,494
2016M09 ,487
2016M10 ,381
2016M11 ,356
2016M12 ,339
2017M01 ,329
2017M02 ,276
2017M03 ,237
2017M04 ,253
2017M05 ,385
2017M06 ,405
2017M07 ,432
2017M08 ,437
2017M09 ,412
2017M10 ,360
2017M11 ,366
2017M12 ,321
2018M01 ,289
2018M02 ,225
2018M03 ,225
2018M04 ,236
2018M05 ,461
2018M06 ,416
2018M07 ,452
2018M08 ,429
2018M09 ,372
2018M10 ,358
2018M11 ,339
2018M12 ,294
2019M01 ,283
2019M02 ,215
2019M03 ,220
2019M04 ,269
2019M05 ,339
2019M06 ,379
2019M07 ,390
2019M08 ,412
2019M09 ,370
2019M10 ,345
2019M11 ,287
2019M12 ,298
2020M01 ,293
2020M02 ,218
2020M03 ,221
2020M04 ,185
2020M05 ,259
2020M06 ,361
2020M07 ,298
2020M08 ,414
2020M09 ,322
2020M10 ,296
2020M11 ,289
2020M12 ,244
2021M01 ,206
2021M02 ,129
2021M03 ,135
2021M04 ,178
2021M05 ,228
2021M06 ,351
2021M07 ,383
2021M08 ,354
2021M09 ,323
2021M10 ,257
2021M11 ,275
2021M12 ,216
2022M01 ,201
2022M02 ,181
2022M03 ,133
2022M04 ,177
2022M05 ,251
2022M06 ,311
2022M07 ,344
2022M08 ,367
2022M09 ,299
2022M10 ,229
2022M11 ,216
2022M12 ,221
2023M01 ,159
2023M02 ,163
2023M03 ,153
2023M04 ,170
2023M05 ,267
2023M06 ,293
2023M07 ,280
2023M08 ,314
2023M09 ,297
2023M10 ,253
2023M11 ,231
2023M12 ,188
