Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
1,1,22 Oct 1911 13:30 (+1:40),22-10-1911,"Helsingfors, Eläintarha Stadion",Finland,2-5 Finland vs Sweden,2-5 Finland vs Sweden,Lost,Friendly International
2,2,27 Jun 1912 20:00 (+1:00),27-06-1912,"Solna, Råsunda Idrottsplats",Sweden,7-1 Sweden vs Finland,1-7 Finland vs Sweden,Lost,Friendly International
3,3,29 Jun 1912 11:00 (+1:00),29-06-1912,"Traneberg, Tranebergs Idrottsplats",Sweden,3-2 Finland vs Italy,3-2 Finland vs Italy,Won,"V. Olympic Games Final Tournament 1912, First round"
4,4,30 Jun 1912 10:00 (+1:00),30-06-1912,"Traneberg, Tranebergs Idrottsplats",Sweden,2-1 Finland vs Russia,2-1 Finland vs Russia,Won,"V. Olympic Games Final Tournament 1912, Quarterfinal"
5,5,02 Jul 1912 15:00 (+1:00),02-07-1912,"Stockholm, Stockholms Olympiastadion",Sweden,0-4 Finland vs Great Britain*,0-4 Finland vs Great Britain*,Lost,"V. Olympic Games Final Tournament 1912, Semifinal"
6,6,04 Jul 1912 15:00 (+1:00),04-07-1912,"Solna, Råsunda Idrottsplats",Sweden,0-9 Finland vs Netherlands,0-9 Finland vs Netherlands,Lost,"V. Olympic Games Final Tournament 1912, For 3rd place"
7,7,24 May 1914 14:00 (+1:00),24-05-1914,"Solna, Råsunda Idrottsplats",Sweden,4-3 Sweden vs Finland,3-4 Finland vs Sweden,Lost,Friendly International
8,8,29 May 1919 13:30 (+1:00),29-05-1919,"Stockholm, Stockholms Olympiastadion",Sweden,1-0 Sweden vs Finland,0-1 Finland vs Sweden,Lost,Friendly International
9,9,28 Sep 1919 13:00 (+1:40),28-09-1919,"Helsinki, Töölön Pallokenttä",Finland,3-3 Finland vs Sweden,3-3 Finland vs Sweden,Draw,Friendly International
10,10,30 May 1920 14:00 (+1:00),30-05-1920,"Stockholm, Stockholms Olympiastadion",Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,Friendly International
11,11,19 Sep 1920 14:00 (+1:40),19-09-1920,"Helsinki, Töölön Pallokenttä",Finland,1-0 Finland vs Sweden,1-0 Finland vs Sweden,Won,Friendly International
12,12,17 Oct 1920 13:00 (+1:40),17-10-1920,"Helsinki, Töölön Pallokenttä",Finland,6-0 Finland vs Estonia,6-0 Finland vs Estonia,Won,Friendly International
13,13,25 May 1921 19:00 (+1:00),25-05-1921,"Kristiania, Gressbanen ved Holmen i Aker",Norway,3-2 Norway vs Finland,2-3 Finland vs Norway,Lost,Friendly International
14,14,29 May 1921 13:30 (+1:00),29-05-1921,"Stockholm, Stockholms Olympiastadion",Sweden,0-3 Sweden vs Finland,3-0 Finland vs Sweden,Won,Friendly International
15,15,31 Jul 1921 13:00 (+2:00),31-07-1921,"Helsinki, Töölön Pallokenttä",Finland,2-3 Finland vs Austria,2-3 Finland vs Austria,Lost,Friendly International
16,16,28 Aug 1921 18:00 (+2:00),28-08-1921,"Tallinn, Tiigiveski Spordiplats",Estonia,0-3 Estonia vs Finland,3-0 Finland vs Estonia,Won,Friendly International
17,17,18 Sep 1921 13:00 (+2:00),18-09-1921,"Helsinki, Töölön Pallokenttä",Finland,3-3 Finland vs Germany,3-3 Finland vs Germany,Draw,Friendly International
18,18,05 Jun 1922 18:00 (+2:00),05-06-1922,"Helsinki, Töölön Pallokenttä",Finland,1-4 Finland vs Sweden,1-4 Finland vs Sweden,Lost,Friendly International
19,19,13 Jul 1922 18:30 (+2:00),13-07-1922,"Helsinki, Töölön Pallokenttä",Finland,1-5 Finland vs Hungary,1-5 Finland vs Hungary,Lost,Friendly International
20,20,11 Aug 1922 18:30 (+2:00),11-08-1922,"Helsinki, Töölön Pallokenttä",Finland,10-2 Finland vs Estonia,10-2 Finland vs Estonia,Won,Friendly International
21,21,26 Aug 1922 17:30 (+2:00),26-08-1922,"Helsinki, Töölön Pallokenttä",Finland,1-3 Finland vs Norway,1-3 Finland vs Norway,Lost,Friendly International
22,22,17 Jun 1923 12:30 (+1:00),17-06-1923,"Kristiania, Gressbanen ved Holmen i Aker",Norway,3-0 Norway vs Finland,0-3 Finland vs Norway,Lost,Friendly International
23,23,20 Jun 1923 19:15 (+1:00),20-06-1923,"Gävle, Strömvallen",Sweden,5-4 Sweden vs Finland,4-5 Finland vs Sweden,Lost,Friendly International
24,24,12 Aug 1923 16:00 (+1:00),12-08-1923,"Dresden, Ilgen Kampfbahn",Germany,1-2 Germany vs Finland,2-1 Finland vs Germany,Won,Friendly International
25,25,15 Aug 1923 17:00 (+1:00),15-08-1923,"Vienna, Hohe Warte",Austria,2-1 Austria vs Finland,1-2 Finland vs Austria,Lost,Friendly International
26,26,19 Aug 1923 17:00 (+1:00),19-08-1923,"Budapest, Üllői út",Hungary,3-1 Hungary vs Finland,1-3 Finland vs Hungary,Lost,Friendly International
27,27,23 Sep 1923 12:00 (+2:00),23-09-1923,"Helsinki, Töölön Pallokenttä",Finland,5-3 Finland vs Poland,5-3 Finland vs Poland,Won,Friendly International
28,28,30 Sep 1923 15:00 (+2:00),30-09-1923,"Tallinn, Spordi Staadion",Estonia,2-1 Estonia vs Finland,1-2 Finland vs Estonia,Lost,Friendly International
29,29,17 Jun 1924 19:00 (+2:00),17-06-1924,"Helsinki, Töölön Pallokenttä",Finland,2-4 Finland vs Turkey,2-4 Finland vs Turkey,Lost,Friendly International
