Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
1,1,22 Oct 1911 13:30 (+1:40),22-10-1911,Helsingfors Eläintarha Stadion,Finland,2-5 Finland vs Sweden,2-5 Finland vs Sweden,Lost,Friendly International
2,2,27 Jun 1912 20:00 (+1:00),27-06-1912,Solna Råsunda Idrottsplats,Sweden,7-1 Sweden vs Finland,1-7 Finland vs Sweden,Lost,Friendly International
3,7,24 May 1914 14:00 (+1:00),24-05-1914,Solna Råsunda Idrottsplats,Sweden,4-3 Sweden vs Finland,3-4 Finland vs Sweden,Lost,Friendly International
4,8,29 May 1919 13:30 (+1:00),29-05-1919,Stockholm Stockholms Olympiastadion,Sweden,1-0 Sweden vs Finland,0-1 Finland vs Sweden,Lost,Friendly International
5,9,28 Sep 1919 13:00 (+1:40),28-09-1919,Helsinki Töölön Pallokenttä,Finland,3-3 Finland vs Sweden,3-3 Finland vs Sweden,Tie,Friendly International
6,10,30 May 1920 14:00 (+1:00),30-05-1920,Stockholm Stockholms Olympiastadion,Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,Friendly International
7,11,19 Sep 1920 14:00 (+1:40),19-09-1920,Helsinki Töölön Pallokenttä,Finland,1-0 Finland vs Sweden,1-0 Finland vs Sweden,Won,Friendly International
8,14,29 May 1921 13:30 (+1:00),29-05-1921,Stockholm Stockholms Olympiastadion,Sweden,0-3 Sweden vs Finland,3-0 Finland vs Sweden,Won,Friendly International
9,18,05 Jun 1922 18:00 (+2:00),05-06-1922,Helsinki Töölön Pallokenttä,Finland,1-4 Finland vs Sweden,1-4 Finland vs Sweden,Lost,Friendly International
10,23,20 Jun 1923 19:15 (+1:00),20-06-1923,Gävle Strömvallen,Sweden,5-4 Sweden vs Finland,4-5 Finland vs Sweden,Lost,Friendly International
11,30,28 Jul 1924 19:00 (+2:00),28-07-1924,Helsinki Töölön Pallokenttä,Finland,5-7 Finland vs Sweden,5-7 Finland vs Sweden,Lost,Friendly International
12,36,09 Jun 1925 19:15 (+1:00),09-06-1925,Gothenburg Slottsskogsvallen,Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,Friendly International
13,45,26 Jul 1926 18:15 (+2:00),26-07-1926,Helsinki Töölön Pallokenttä,Finland,2-3 Finland vs Sweden,2-3 Finland vs Sweden,Lost,Friendly International
14,49,12 Jun 1927 13:15 (+1:00),12-06-1927,Stockholm Stockholms Olympiastadion,Sweden,6-2 Sweden vs Finland,2-6 Finland vs Sweden,Lost,Friendly International
15,56,02 Sep 1928 13:00 (+2:00),02-09-1928,Helsinki Töölön Pallokenttä,Finland,2-3 Finland vs Sweden,2-3 Finland vs Sweden,Lost,Friendly International
16,57,14 Jun 1929 19:15 (+1:00),14-06-1929,Stockholm Stockholms Olympiastadion,Sweden,3-1 Sweden vs Finland,1-3 Finland vs Sweden,Lost,Nordic Football Championship 1929-1932
17,68,28 Sep 1930 13:00 (+2:00),28-09-1930,Helsinki Töölön Pallokenttä,Finland,4-4 Finland vs Sweden,4-4 Finland vs Sweden,Tie,Nordic Football Championship 1929-1932
18,70,03 Jul 1931 19:00 (+1:00),03-07-1931,Stockholm Stockholms Olympiastadion,Sweden,8-2 Sweden vs Finland,2-8 Finland vs Sweden,Lost,Nordic Football Championship 1929-1932
19,74,16 May 1932 14:00 (+1:00),16-05-1932,Stockholm Stockholms Olympiastadion,Sweden,7-1 Sweden vs Finland,1-7 Finland vs Sweden,Lost,Friendly International
20,75,10 Jun 1932 15:30 (+2:00),10-06-1932,Helsinki Töölön Pallokenttä,Finland,1-3 Finland vs Sweden,1-3 Finland vs Sweden,Lost,Nordic Football Championship 1929-1932
21,80,14 Jul 1933 19:00 (+1:00),14-07-1933,Stockholm Stockholms Olympiastadion,Sweden,2-0 Sweden vs Finland,0-2 Finland vs Sweden,Lost,Nordic Football Championship 1933-1936
22,91,23 Sep 1934 14:15 (+2:00),23-09-1934,Helsinki Töölön Pallokenttä,Finland,5-4 Finland vs Sweden,5-4 Finland vs Sweden,Won,Nordic Football Championship 1933-1936
23,93,12 Jun 1935 19:15 (+1:00),12-06-1935,Stockholm Stockholms Olympiastadion,Sweden,2-2 Sweden vs Finland,2-2 Finland vs Sweden,Tie,Nordic Football Championship 1933-1936
24,102,27 Sep 1936 13:00 (+2:00),27-09-1936,Helsinki Töölön Pallokenttä,Finland,1-2 Finland vs Sweden,1-2 Finland vs Sweden,Lost,Nordic Football Championship 1933-1936
25,104,16 Jun 1937 19:30 (+1:00),16-06-1937,Solna Råsunda Fotbollstadion,Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,1938 FIFA World Cup Qualification Nordic Football Championship 1937-1947 Group 1
26,109,15 Jun 1938 19:30 (+1:00),15-06-1938,Solna Råsunda Fotbollstadion,Sweden,2-0 Sweden vs Finland,0-2 Finland vs Sweden,Lost,Friendly International
27,111,04 Jul 1938 19:00 (+2:00),04-07-1938,Helsinki Helsingin Olympiastadion,Finland,2-4 Finland vs Sweden,4-2 Finland vs Sweden,Won,Nordic Football Championship 1937-1947
28,115,09 Jun 1939 19:30 (+1:00),09-06-1939,Solna Råsunda Fotbollstadion,Sweden,5-1 Sweden vs Finland,1-5 Finland vs Sweden,Lost,Nordic Football Championship 1937-1947
29,122,29 Aug 1940 18:10 (+2:00),29-08-1940,Helsinki Helsingin Olympiastadion,Finland,2-3 Finland vs Sweden,2-3 Finland vs Sweden,Lost,Friendly International
