Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2012-09-25,Abkhazia,Artsakh,1,1,Friendly,Sukhumi,Georgia,False
2012-10-21,Artsakh,Abkhazia,3,0,Friendly,Stepanakert,Azerbaijan,False
2014-06-01,Abkhazia,Occitania,1,1,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-02,Sápmi,Abkhazia,1,2,CONIFA World Football Cup,Östersund,Sweden,False
2014-06-04,Abkhazia,South Ossetia,0,0,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-05,Padania,Abkhazia,3,3,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-07,Abkhazia,Occitania,0,1,CONIFA World Football Cup,Östersund,Sweden,True
2015-05-05,Abkhazia,Luhansk PR,1,0,Friendly,Sukhumi,Georgia,False
2015-05-14,Abkhazia,Donetsk PR,1,0,Friendly,Sukhumi,Georgia,False
2016-05-21,Abkhazia,Donetsk PR,0,0,Friendly,Sukhumi,Georgia,False
2016-05-29,Abkhazia,Chagos Islands,9,0,CONIFA World Football Cup,Sukhumi,Georgia,False
2016-05-31,Abkhazia,Western Armenia,1,0,CONIFA World Football Cup,Sukhumi,Georgia,False
2016-06-01,Abkhazia,Sápmi,2,0,CONIFA World Football Cup,Sukhumi,Georgia,False
2016-06-04,Abkhazia,Northern Cyprus,2,0,CONIFA World Football Cup,Sukhumi,Georgia,False
2016-06-05,Abkhazia,Panjab,1,1,CONIFA World Football Cup,Sukhumi,Georgia,False
2017-06-05,Abkhazia,South Ossetia,2,1,CONIFA European Football Cup,Kyrenia,Northern Cyprus,True
2017-06-06,Kárpátalja,Abkhazia,2,2,CONIFA European Football Cup,Nicosia,Northern Cyprus,True
2017-06-07,Northern Cyprus,Abkhazia,0,0,CONIFA European Football Cup,Morphou,Northern Cyprus,False
2017-06-09,Padania,Abkhazia,0,0,CONIFA European Football Cup,Kyrenia,Northern Cyprus,True
2017-06-10,Székely Land,Abkhazia,3,1,CONIFA European Football Cup,Kyrenia,Northern Cyprus,True
2017-08-31,Abkhazia,Donetsk PR,1,2,Friendly,Sukhumi,Georgia,False
2018-05-31,Abkhazia,Tibet,3,0,CONIFA World Football Cup,Enfield,England,True
2018-06-02,Abkhazia,Kárpátalja,0,2,CONIFA World Football Cup,Enfield,England,True
2018-06-03,Abkhazia,Northern Cyprus,2,2,CONIFA World Football Cup,Enfield,England,True
2018-06-05,Abkhazia,Tamil Eelam,6,0,CONIFA World Football Cup,Aveley,England,True
2018-06-07,Abkhazia,United Koreans in Japan,2,0,CONIFA World Football Cup,Bromley,England,True
2018-06-09,Kabylia,Abkhazia,0,2,CONIFA World Football Cup,Aveley,England,True
2019-06-02,Abkhazia,Chameria,3,1,CONIFA European Football Cup,Askeran,Azerbaijan,True
2019-06-03,Sápmi,Abkhazia,0,1,CONIFA European Football Cup,Martakert,Azerbaijan,True
2019-06-04,Artsakh,Abkhazia,1,1,CONIFA European Football Cup,Martuni,Azerbaijan,False
2019-06-06,Abkhazia,Western Armenia,1,1,CONIFA European Football Cup,Stepanakert,Azerbaijan,True
2019-06-08,Abkhazia,Chameria,0,0,CONIFA European Football Cup,Stepanakert,Azerbaijan,True
