Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1941-08-10,Afghanistan,India,1,3,Friendly,Kabul,Afghanistan,False
1950-10-26,Iran,Afghanistan,4,0,Friendly,Tehran,Iran,False
1951-03-07,India,Afghanistan,3,0,Asian Games,New Delhi,India,False
1951-03-09,Japan,Afghanistan,2,0,Asian Games,New Delhi,India,True
1954-05-04,South Korea,Afghanistan,8,2,Asian Games,Manila,Philippines,True
1954-05-06,Hong Kong,Afghanistan,4,2,Asian Games,Manila,Philippines,True
1975-04-02,Saudi Arabia,Afghanistan,2,0,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-04,Iraq,Afghanistan,4,0,AFC Asian Cup qualification,Baghdad,Iraq,False
1975-04-06,Qatar,Afghanistan,2,1,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-10,Saudi Arabia,Afghanistan,6,0,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-12,Qatar,Afghanistan,1,1,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-14,Iraq,Afghanistan,3,1,AFC Asian Cup qualification,Baghdad,Iraq,False
1976-07-19,Afghanistan,Pakistan,1,0,Friendly,Kabul,Afghanistan,False
1976-07-24,Afghanistan,India,1,1,Friendly,Kabul,Afghanistan,False
1976-10-12,Pakistan,Afghanistan,1,0,Friendly,Karachi,Pakistan,False
1977-07-24,Afghanistan,India,0,3,Friendly,Kabul,Afghanistan,False
1979-03-05,Bangladesh,Afghanistan,3,2,AFC Asian Cup qualification,Dhaka,Bangladesh,False
1984-09-10,Qatar,Afghanistan,8,0,AFC Asian Cup qualification,Guangzhou,China PR,True
1984-09-12,China PR,Afghanistan,6,0,AFC Asian Cup qualification,Guangzhou,China PR,False
1984-09-15,Hong Kong,Afghanistan,0,0,AFC Asian Cup qualification,Guangzhou,China PR,True
1984-09-20,Jordan,Afghanistan,6,1,AFC Asian Cup qualification,Guangzhou,China PR,True
2003-01-10,Sri Lanka,Afghanistan,1,0,SAFF Cup,Dhaka,Bangladesh,True
2003-01-12,Afghanistan,India,0,4,SAFF Cup,Dhaka,Bangladesh,True
2003-01-14,Afghanistan,Pakistan,0,1,SAFF Cup,Dhaka,Bangladesh,True
2003-03-16,Kyrgyzstan,Afghanistan,1,2,AFC Asian Cup qualification,Kathmandu,Nepal,True
2003-03-18,Nepal,Afghanistan,4,0,AFC Asian Cup qualification,Kathmandu,Nepal,False
2003-11-19,Turkmenistan,Afghanistan,11,0,FIFA World Cup qualification,Ashgabat,Turkmenistan,False
2003-11-23,Afghanistan,Turkmenistan,0,2,FIFA World Cup qualification,Kabul,Afghanistan,False
2005-11-09,Tajikistan,Afghanistan,4,0,Friendly,Dushanbe,Tajikistan,False
2005-12-07,Maldives,Afghanistan,9,1,SAFF Cup,Karachi,Pakistan,True
2005-12-09,Pakistan,Afghanistan,1,0,SAFF Cup,Karachi,Pakistan,False
2005-12-11,Sri Lanka,Afghanistan,1,2,SAFF Cup,Karachi,Pakistan,True
2006-04-03,Afghanistan,Taiwan,2,2,AFC Challenge Cup,Chittagong,Bangladesh,True
2006-04-05,Philippines,Afghanistan,1,1,AFC Challenge Cup,Chittagong,Bangladesh,True
2007-10-08,Syria,Afghanistan,3,0,FIFA World Cup qualification,Damascus,Syria,False
