Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1946-08-22,Albania,Montenegro,5,0,Friendly,Shkodër,Albania,False
1946-10-07,Albania,Yugoslavia,2,3,Balkan Cup,Tirana,Albania,False
1946-10-09,Albania,Bulgaria,3,1,Balkan Cup,Tirana,Albania,False
1946-10-13,Albania,Romania,1,0,Balkan Cup,Tirana,Albania,False
1947-05-25,Albania,Romania,0,4,Balkan Cup,Tirana,Albania,False
1947-06-15,Bulgaria,Albania,2,0,Balkan Cup,Sofia,Bulgaria,False
1947-08-20,Hungary,Albania,3,0,Balkan Cup,Budapest,Hungary,False
1947-09-14,Albania,Yugoslavia,2,4,Balkan Cup,Tirana,Albania,False
1948-05-02,Romania,Albania,0,1,Balkan Cup,Bucharest,Romania,False
1948-05-23,Albania,Hungary,0,0,Balkan Cup,Tirana,Albania,False
1948-06-27,Yugoslavia,Albania,0,0,Balkan Cup,Belgrade,Yugoslavia,False
1949-10-23,Romania,Albania,1,1,Friendly,Bucharest,Romania,False
1949-11-06,Poland,Albania,2,1,Friendly,Warsaw,Poland,False
1949-11-17,Bulgaria,Albania,0,0,Friendly,Sofia,Bulgaria,False
1949-11-29,Albania,Romania,1,4,Friendly,Tirana,Albania,False
1950-05-01,Albania,Poland,0,0,Friendly,Tirana,Albania,False
1950-06-04,Albania,Bulgaria,2,1,Friendly,Tirana,Albania,False
1950-09-24,Hungary,Albania,12,0,Friendly,Budapest,Hungary,False
1950-10-08,Romania,Albania,6,0,Friendly,Bucharest,Romania,False
1952-11-29,Albania,Czechoslovakia,3,2,Friendly,Tirana,Albania,False
1953-11-29,Albania,Poland,2,0,Friendly,Tirana,Albania,False
1957-09-15,China PR,Albania,3,2,Friendly,Beijing,China PR,False
1958-05-04,Albania,German DR,1,1,Friendly,Tirana,Albania,False
1963-06-29,Denmark,Albania,4,0,UEFA Euro qualification,Copenhagen,Denmark,False
