Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1905-04-17,Guernsey,Alderney,6,0,Muratti Vase,Guernsey,Guernsey,False
1906-04-02,Guernsey,Alderney,1,0,Muratti Vase,Guernsey,Guernsey,False
1907-03-21,Alderney,Jersey,1,2,Muratti Vase,Guernsey,Guernsey,True
1908-04-02,Guernsey,Alderney,3,0,Muratti Vase,Jersey,Jersey,True
1909-03-25,Guernsey,Alderney,2,0,Muratti Vase,Jersey,Jersey,True
1910-04-07,Jersey,Alderney,7,1,Muratti Vase,Jersey,Jersey,False
1911-04-20,Guernsey,Alderney,2,1,Muratti Vase,Guernsey,Guernsey,False
1912-04-25,Guernsey,Alderney,4,0,Muratti Vase,Guernsey,Guernsey,False
1913-04-03,Jersey,Alderney,5,2,Muratti Vase,Guernsey,Guernsey,True
1914-04-02,Guernsey,Alderney,4,0,Muratti Vase,Jersey,Jersey,True
1920-04-29,Alderney,Guernsey,1,0,Muratti Vase,Jersey,Jersey,True
1921-03-28,Guernsey,Alderney,3,0,Peace Cup,Guernsey,Guernsey,False
1921-04-07,Jersey,Alderney,2,0,Muratti Vase,Jersey,Jersey,False
1922-04-06,Guernsey,Alderney,8,0,Muratti Vase,Guernsey,Guernsey,False
1922-04-17,Guernsey,Alderney,3,1,Peace Cup,Guernsey,Guernsey,False
1923-04-02,Guernsey,Alderney,2,1,Peace Cup,Guernsey,Guernsey,False
1923-04-26,Guernsey,Alderney,3,2,Muratti Vase,Guernsey,Guernsey,False
1924-04-10,Jersey,Alderney,1,0,Muratti Vase,Guernsey,Guernsey,True
1924-04-21,Guernsey,Alderney,1,2,Peace Cup,Guernsey,Guernsey,False
1925-03-12,Guernsey,Alderney,3,0,Peace Cup,Guernsey,Guernsey,False
1925-04-02,Guernsey,Alderney,3,0,Muratti Vase,Jersey,Jersey,True
1925-12-10,Guernsey,Alderney,4,1,Peace Cup,Guernsey,Guernsey,False
1926-04-29,Jersey,Alderney,7,1,Muratti Vase,Jersey,Jersey,False
1927-04-07,Jersey,Alderney,3,0,Muratti Vase,Jersey,Jersey,False
1928-04-19,Guernsey,Alderney,4,0,Muratti Vase,Guernsey,Guernsey,False
1929-05-02,Guernsey,Alderney,5,0,Muratti Vase,Guernsey,Guernsey,False
1930-04-10,Jersey,Alderney,3,2,Muratti Vase,Guernsey,Guernsey,True
1931-04-16,Guernsey,Alderney,1,0,Muratti Vase,Jersey,Jersey,True
1932-04-28,Guernsey,Alderney,4,2,Muratti Vase,Jersey,Jersey,True
1933-04-06,Jersey,Alderney,6,0,Muratti Vase,Jersey,Jersey,False
1934-04-12,Guernsey,Alderney,3,0,Muratti Vase,Guernsey,Guernsey,False
1935-05-09,Guernsey,Alderney,5,0,Muratti Vase,Guernsey,Guernsey,False
1936-04-23,Jersey,Alderney,9,0,Muratti Vase,Jersey,Jersey,False
1937-04-15,Guernsey,Alderney,4,1,Muratti Vase,Guernsey,Guernsey,False
1938-05-05,Guernsey,Alderney,3,1,Muratti Vase,Jersey,Jersey,True
1939-04-20,Jersey,Alderney,2,1,Muratti Vase,Jersey,Jersey,False
1948-04-15,Guernsey,Alderney,3,0,Muratti Vase,Guernsey,Guernsey,False
1949-04-07,Jersey,Alderney,9,0,Muratti Vase,Jersey,Jersey,False
1950-03-30,Guernsey,Alderney,3,1,Muratti Vase,Guernsey,Guernsey,False
1951-04-12,Jersey,Alderney,8,1,Muratti Vase,Jersey,Jersey,False
1952-04-03,Guernsey,Alderney,7,2,Muratti Vase,Guernsey,Guernsey,False
1953-03-26,Jersey,Alderney,4,0,Muratti Vase,Jersey,Jersey,False
1954-04-01,Guernsey,Alderney,2,1,Muratti Vase,Guernsey,Guernsey,False
1955-03-31,Jersey,Alderney,3,0,Muratti Vase,Jersey,Jersey,False
1956-03-22,Guernsey,Alderney,4,0,Muratti Vase,Guernsey,Guernsey,False
1957-03-28,Jersey,Alderney,7,1,Muratti Vase,Jersey,Jersey,False
1958-03-27,Guernsey,Alderney,8,2,Muratti Vase,Guernsey,Guernsey,False
1959-04-09,Jersey,Alderney,6,0,Muratti Vase,Jersey,Jersey,False
1960-03-31,Guernsey,Alderney,5,1,Muratti Vase,Guernsey,Guernsey,False
1961-04-13,Jersey,Alderney,4,2,Muratti Vase,Jersey,Jersey,False
1962-03-29,Guernsey,Alderney,6,1,Muratti Vase,Guernsey,Guernsey,False
1963-04-04,Jersey,Alderney,6,0,Muratti Vase,Jersey,Jersey,False
1964-04-11,Guernsey,Alderney,3,0,Muratti Vase,Guernsey,Guernsey,False
1965-04-08,Jersey,Alderney,8,0,Muratti Vase,Jersey,Jersey,False
1966-04-02,Guernsey,Alderney,10,0,Muratti Vase,Guernsey,Guernsey,False
1967-04-06,Jersey,Alderney,3,1,Muratti Vase,Jersey,Jersey,False
1968-03-30,Guernsey,Alderney,2,0,Muratti Vase,Guernsey,Guernsey,False
1969-03-27,Jersey,Alderney,5,0,Muratti Vase,Jersey,Jersey,False
1970-04-04,Guernsey,Alderney,5,0,Muratti Vase,Guernsey,Guernsey,False
1971-03-25,Jersey,Alderney,11,0,Muratti Vase,Jersey,Jersey,False
1972-04-03,Guernsey,Alderney,5,0,Muratti Vase,Guernsey,Guernsey,False
1973-03-29,Jersey,Alderney,6,1,Muratti Vase,Jersey,Jersey,False
1974-03-30,Guernsey,Alderney,6,0,Muratti Vase,Guernsey,Guernsey,False
1975-03-18,Jersey,Alderney,3,1,Muratti Vase,Jersey,Jersey,False
1976-03-20,Alderney,Guernsey,0,5,Muratti Vase,Alderney,Alderney,False
1977-03-26,Alderney,Jersey,0,3,Muratti Vase,Alderney,Alderney,False
1978-04-01,Guernsey,Alderney,12,0,Muratti Vase,Guernsey,Guernsey,False
1979-03-27,Jersey,Alderney,8,0,Muratti Vase,Jersey,Jersey,False
1980-03-29,Alderney,Guernsey,0,5,Muratti Vase,Alderney,Alderney,False
1981-03-21,Alderney,Jersey,0,5,Muratti Vase,Alderney,Alderney,False
1982-03-24,Guernsey,Alderney,5,1,Muratti Vase,Guernsey,Guernsey,False
1983-04-09,Jersey,Alderney,6,1,Muratti Vase,Jersey,Jersey,False
1984-03-31,Alderney,Guernsey,0,6,Muratti Vase,Alderney,Alderney,False
1985-03-23,Alderney,Jersey,0,5,Muratti Vase,Alderney,Alderney,False
1986-04-09,Guernsey,Alderney,7,0,Muratti Vase,Guernsey,Guernsey,False
1987-03-17,Jersey,Alderney,10,0,Muratti Vase,Jersey,Jersey,False
1988-03-26,Alderney,Guernsey,1,5,Muratti Vase,Alderney,Alderney,False
1989-03-18,Alderney,Jersey,0,4,Muratti Vase,Alderney,Alderney,False
1990-03-31,Guernsey,Alderney,4,0,Muratti Vase,Guernsey,Guernsey,False
1991-03-23,Alderney,Jersey,1,4,Muratti Vase,Alderney,Alderney,False
1992-03-21,Guernsey,Alderney,9,1,Muratti Vase,Guernsey,Guernsey,False
1993-03-20,Alderney,Guernsey,0,10,Muratti Vase,Alderney,Alderney,False
1994-03-19,Jersey,Alderney,18,0,Muratti Vase,Jersey,Jersey,False
1995-03-18,Alderney,Jersey,1,7,Muratti Vase,Alderney,Alderney,False
1996-03-16,Alderney,Guernsey,0,2,Muratti Vase,Alderney,Alderney,False
1997-03-22,Alderney,Guernsey,0,6,Muratti Vase,Alderney,Alderney,False
1998-03-14,Alderney,Jersey,0,2,Muratti Vase,Alderney,Alderney,False
1999-03-27,Alderney,Guernsey,0,1,Muratti Vase,Alderney,Alderney,False
2000-03-25,Alderney,Jersey,0,10,Muratti Vase,Alderney,Alderney,False
2001-03-24,Alderney,Guernsey,0,6,Muratti Vase,Alderney,Alderney,False
2002-03-09,Alderney,Jersey,1,2,Muratti Vase,Alderney,Alderney,False
2003-03-22,Alderney,Guernsey,1,4,Muratti Vase,Alderney,Alderney,False
2003-06-29,Guernsey,Alderney,7,1,Island Games,Saint Sampson,Guernsey,False
2003-07-01,Orkney,Alderney,3,1,Island Games,Saint Sampson,Guernsey,True
2003-07-03,Alderney,Greenland,0,3,Island Games,Saint Sampson,Guernsey,True
2003-07-04,Saare County,Alderney,0,1,Island Games,Saint Martin,Guernsey,True
2004-03-06,Alderney,Jersey,0,4,Muratti Vase,Alderney,Alderney,False
2005-03-12,Alderney,Guernsey,1,2,Muratti Vase,Alderney,Alderney,False
2006-03-18,Alderney,Jersey,1,4,Muratti Vase,Alderney,Alderney,False
2007-03-17,Alderney,Guernsey,0,5,Muratti Vase,Alderney,Alderney,False
2008-03-08,Alderney,Jersey,0,7,Muratti Vase,Alderney,Alderney,False
2009-03-21,Alderney,Guernsey,0,5,Muratti Vase,Alderney,Alderney,False
2010-03-20,Alderney,Jersey,0,3,Muratti Vase,Alderney,Alderney,False
2011-03-19,Alderney,Guernsey,0,5,Muratti Vase,Alderney,Alderney,False
2011-06-26,Alderney,Gibraltar,1,6,Island Games,Newport,England,True
2011-06-27,Isle of Wight,Alderney,4,0,Island Games,Cowes,England,False
2011-06-28,Alderney,Ynys Môn,0,5,Island Games,Shanklin,England,True
2011-06-30,Alderney,Falkland Islands,0,3,Island Games,Shanklin,England,True
2012-03-24,Alderney,Guernsey,0,7,Muratti Vase,Alderney,Alderney,False
2012-08-25,Alderney,Sealand,1,1,Friendly,Saint Anne,Alderney,False
2013-03-08,Sealand,Alderney,2,1,Friendly,Godalming,England,True
2013-03-16,Alderney,Jersey,2,9,Muratti Vase,Alderney,Alderney,False
2013-07-06,Raetia,Alderney,3,2,Tynwald Hill Tournament,St John's,Isle of Man,True
2013-07-07,Sealand,Alderney,2,2,Tynwald Hill Tournament,St John's,Isle of Man,True
2014-03-15,Alderney,Guernsey,0,4,Muratti Vase,Alderney,Alderney,False
2015-03-28,Alderney,Jersey,0,5,Muratti Vase,Alderney,Alderney,False
2015-05-30,Alderney,Felvidék,1,2,Niamh Challenge Cup,Douglas,Isle of Man,True
2015-05-31,Panjab,Alderney,9,1,Friendly,Douglas,Isle of Man,True
2015-06-28,Jersey,Alderney,6,0,Island Games,St Helier,Jersey,False
2015-06-29,Isle of Man,Alderney,7,0,Island Games,St. Ouen,Jersey,True
2015-06-30,Alderney,Western Isles,2,3,Island Games,St. Peter,Jersey,True
2015-07-02,Hitra,Alderney,5,1,Island Games,St. Ouen,Jersey,True
2016-04-02,Alderney,Guernsey,0,1,Muratti Vase,Alderney,Alderney,False
2017-03-25,Alderney,Jersey,1,2,Muratti Vase,Alderney,Alderney,False
2017-06-25,Alderney,Jersey,0,3,Island Games,Väskinde,Sweden,True
2017-06-26,Orkney,Alderney,3,0,Island Games,Hemse,Sweden,True
2017-06-27,Menorca,Alderney,6,0,Island Games,Fårösund,Sweden,True
2017-06-29,Falkland Islands,Alderney,0,3,Island Games,Säve,Sweden,True
2018-03-24,Alderney,Guernsey,0,2,Muratti Vase,Alderney,Alderney,False
