Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1963-01-06,Algeria,Bulgaria,2,1,Friendly,Algiers,Algeria,False
1963-07-07,Algeria,Egypt,2,2,Friendly,Oran,Algeria,False
1963-12-15,Tunisia,Algeria,0,0,Friendly,Tunis,Tunisia,False
1964-01-01,Algeria,Germany,2,0,Friendly,Algiers,Algeria,False
1964-03-20,Egypt,Algeria,1,0,Friendly,Cairo,Egypt,False
1964-11-04,Algeria,Russia,2,2,Friendly,Algiers,Algeria,False
1965-06-17,Algeria,Brazil,0,3,Friendly,Oran,Algeria,False
1965-07-19,Ivory Coast,Algeria,1,0,All-African Games,Brazzaville,Congo,True
1965-07-20,Algeria,DR Congo,4,1,All-African Games,Brazzaville,Congo,True
1965-07-21,Algeria,Madagascar,1,0,All-African Games,Brazzaville,Congo,True
1965-07-23,Mali,Algeria,2,1,All-African Games,Brazzaville,Congo,True
1965-07-25,Ivory Coast,Algeria,2,0,All-African Games,Brazzaville,Congo,True
1965-10-31,Algeria,Morocco,0,0,Friendly,Algiers,Algeria,False
1966-03-06,Morocco,Algeria,1,0,Friendly,Casablanca,Morocco,False
1966-11-24,Algeria,Morocco,2,2,Friendly,Algiers,Algeria,False
1967-02-05,Mali,Algeria,0,3,African Cup of Nations qualification,Bamako,Mali,False
1967-02-12,Burkina Faso,Algeria,1,2,African Cup of Nations qualification,Ouagadougou,Upper Volta,False
1967-03-12,Algeria,Mali,1,0,African Cup of Nations qualification,Oran,Algeria,False
1967-03-22,Algeria,Hungary,0,1,Friendly,Algiers,Algeria,False
1967-04-09,Algeria,Burkina Faso,3,1,African Cup of Nations qualification,Algiers,Algeria,False
1968-01-12,Algeria,Ivory Coast,0,3,African Cup of Nations,Addis Ababa,Ethiopia,True
1968-01-14,Algeria,Uganda,4,0,African Cup of Nations,Addis Ababa,Ethiopia,True
1968-01-16,Ethiopia,Algeria,3,1,African Cup of Nations,Addis Ababa,Ethiopia,False
1968-03-17,Morocco,Algeria,0,0,Friendly,Casablanca,Morocco,False
1968-11-17,Algeria,Tunisia,1,2,FIFA World Cup qualification,Algiers,Algeria,False
1968-12-29,Tunisia,Algeria,0,0,FIFA World Cup qualification,Tunis,Tunisia,False
1969-03-09,Algeria,Morocco,2,0,African Cup of Nations qualification,Algiers,Algeria,False
1969-03-22,Morocco,Algeria,2,0,African Cup of Nations qualification,Agadir,Morocco,False
1969-09-19,Egypt,Algeria,1,0,African Cup of Nations qualification,Cairo,Egypt,False
1969-09-28,Algeria,Egypt,1,1,African Cup of Nations qualification,Algiers,Algeria,False
1969-10-23,Algeria,Palestine,2,0,Friendly,Algiers,Algeria,False
1969-10-30,Algeria,Morocco,1,0,Friendly,Algiers,Algeria,False
1969-12-05,Algeria,North Korea,1,3,Friendly,Algiers,Algeria,False
1970-12-10,Algeria,Morocco,3,1,African Cup of Nations qualification,Algiers,Algeria,False
1970-12-27,Morocco,Algeria,3,0,African Cup of Nations qualification,Casablanca,Morocco,False
1971-11-24,Libya,Algeria,0,0,Friendly,Tripoli,Libya,False
1971-12-08,Malta,Algeria,1,1,Friendly,Gżira,Malta,False
1972-01-01,Algeria,Palestine,2,0,Palestine Cup,Baghdad,Iraq,True
1972-01-04,Algeria,Qatar,3,0,Palestine Cup,Baghdad,Iraq,True
1972-01-08,Algeria,Syria,0,1,Palestine Cup,Baghdad,Iraq,True
1972-01-10,Algeria,Yemen DPR,4,1,Palestine Cup,Baghdad,Iraq,True
1972-01-12,Iraq,Algeria,3,1,Palestine Cup,Baghdad,Iraq,False
1972-01-13,Algeria,Syria,3,1,Palestine Cup,Baghdad,Iraq,True
1972-03-02,Algeria,Guinea,1,0,FIFA World Cup qualification,Algiers,Algeria,False
1972-03-12,Guinea,Algeria,5,1,FIFA World Cup qualification,Conakry,Guinea,False
1972-03-15,Algeria,Malta,1,0,Friendly,Algiers,Algeria,False
1972-06-05,Tunisia,Algeria,3,1,Friendly,Tunis,Tunisia,False
1972-10-04,Algeria,Turkey,1,0,Friendly,Algiers,Algeria,False
1972-11-16,Tunisia,Algeria,1,2,Friendly,Tunis,Tunisia,False
1973-01-08,Algeria,Tanzania,4,2,All-African Games,Lagos,Nigeria,True
1973-01-10,Nigeria,Algeria,2,2,All-African Games,Lagos,Nigeria,False
1973-01-12,Ghana,Algeria,2,0,All-African Games,Lagos,Nigeria,True
1973-02-14,Turkey,Algeria,4,0,Friendly,İzmir,Turkey,False
1973-05-27,Uganda,Algeria,2,1,African Cup of Nations qualification,Kampala,Uganda,False
1973-06-03,Algeria,Brazil,0,2,Friendly,Algiers,Algeria,False
1973-06-14,Algeria,Uganda,1,1,African Cup of Nations qualification,Algiers,Algeria,False
1973-08-13,Algeria,United Arab Emirates,2,0,Palestine Cup,Benghazi,Libya,True
1973-08-15,Algeria,Iraq,0,0,Palestine Cup,Benghazi,Libya,True
1973-08-17,Algeria,Yemen,15,1,Palestine Cup,Benghazi,Libya,True
1973-08-21,Libya,Algeria,0,2,Palestine Cup,Benghazi,Libya,False
1973-08-23,Algeria,Syria,0,0,Palestine Cup,Benghazi,Libya,True
1973-08-25,Algeria,Iraq,0,0,Palestine Cup,Tripoli,Libya,True
1973-10-31,Algeria,Morocco,2,0,Friendly,Algiers,Algeria,False
1974-02-28,Algeria,German DR,1,3,Friendly,Algiers,Algeria,False
1974-04-07,Morocco,Algeria,2,0,Friendly,Casablanca,Morocco,False
1974-09-27,Algeria,Lebanon,4,1,Kuneitra Cup,Damascus,Syria,True
1974-09-29,Algeria,Jordan,6,0,Kuneitra Cup,Damascus,Syria,True
1974-10-03,Algeria,Tunisia,0,1,Kuneitra Cup,Damascus,Syria,True
1974-10-31,Algeria,Morocco,0,0,Friendly,Algiers,Algeria,False
1975-03-23,Tunisia,Algeria,1,1,African Cup of Nations qualification,Tunis,Tunisia,False
1975-04-06,Algeria,Tunisia,1,2,African Cup of Nations qualification,Oran,Algeria,False
1975-05-19,Sweden,Algeria,4,0,Friendly,Halmstad,Sweden,False
1976-01-09,Saudi Arabia,Algeria,1,3,Friendly,Riyadh,Saudi Arabia,False
1976-02-24,Algeria,Yugoslavia,1,2,Friendly,Algiers,Algeria,False
1976-03-02,Algeria,Sweden,0,2,Friendly,Algiers,Algeria,False
1976-04-01,Algeria,Libya,1,0,FIFA World Cup qualification,Algiers,Algeria,False
1976-04-16,Libya,Algeria,0,0,FIFA World Cup qualification,Tripoli,Libya,False
1976-04-21,German DR,Algeria,5,0,Friendly,Cottbus,German DR,False
1976-05-02,Algeria,Guinea,1,2,Friendly,Algiers,Algeria,False
