Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1923-01-14,Andalusia,Galicia,1,4,Friendly,Seville,Spain,False
1990-05-08,Andalusia,Uruguay,1,1,Friendly,Seville,Spain,False
1990-05-31,Andalusia,Yugoslavia,0,0,Friendly,Cádiz,Spain,False
1999-12-28,Andalusia,Estonia,1,0,Friendly,Granada,Spain,False
2000-12-22,Andalusia,Morocco,2,0,Friendly,Córdoba,Spain,False
2001-05-17,Andalusia,Iraq,3,1,Friendly,Vélez-Málaga,Spain,False
2001-12-27,Andalusia,Tunisia,3,3,Friendly,Seville,Spain,False
2002-12-27,Andalusia,Chile,3,2,Friendly,Málaga,Spain,False
2003-12-27,Andalusia,Latvia,1,0,Friendly,Huelva,Spain,False
2004-12-29,Andalusia,Malta,0,0,Friendly,Seville,Spain,False
2005-12-28,Andalusia,China PR,4,1,Friendly,Cádiz,Spain,False
2007-12-27,Andalusia,Zambia,4,1,Friendly,Jerez,Spain,False
2013-06-07,Madrid,Andalusia,1,2,Friendly,Madrid,Spain,False
