Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1976-02-08,Congo,Angola,3,2,Friendly,Brazzaville,Congo,False
1976-02-15,Angola,Congo,1,1,Friendly,Luanda,Angola,False
1978-08-16,São Tomé and Príncipe,Angola,3,3,Friendly,São Tomé,São Tomé and Príncipe,False
1979-04-25,São Tomé and Príncipe,Angola,1,2,Friendly,São Tomé,São Tomé and Príncipe,False
1979-11-25,Angola,Gabon,1,0,Friendly,Luanda,Angola,False
1979-11-27,Angola,Cameroon,0,1,Friendly,Luanda,Angola,False
1979-11-29,Angola,Congo,0,1,Friendly,Luanda,Angola,False
1980-11-01,Zambia,Angola,0,0,Friendly,Lusaka,Zambia,False
1980-11-02,Zambia,Angola,1,1,Friendly,Lusaka,Zambia,False
1980-11-16,Angola,Congo,1,1,African Cup of Nations qualification,Luanda,Angola,False
1980-11-30,Congo,Angola,0,0,African Cup of Nations qualification,Brazzaville,Congo,False
1981-04-04,Nigeria,Angola,0,0,Friendly,Lagos,Nigeria,False
1981-06-25,Mozambique,Angola,0,1,Friendly,Maputo,Mozambique,False
1981-06-27,Angola,Zimbabwe,1,1,Friendly,Maputo,Mozambique,True
1982-10-13,Gabon,Angola,2,2,African Cup of Nations qualification,Libreville,Gabon,False
1982-11-11,Angola,Ghana,1,2,Friendly,Luanda,Angola,False
1982-11-14,Angola,Gabon,4,0,African Cup of Nations qualification,Luanda,Angola,False
1982-12-08,Tunisia,Angola,3,1,Friendly,Tunis,Tunisia,False
1983-04-03,Congo,Angola,1,0,Friendly,Brazzaville,Congo,False
1983-04-09,Nigeria,Angola,2,0,African Cup of Nations qualification,Lagos,Nigeria,False
1983-04-24,Angola,Nigeria,1,0,African Cup of Nations qualification,Luanda,Angola,False
1984-07-01,Angola,Senegal,1,0,FIFA World Cup qualification,Luanda,Angola,False
1984-07-15,Senegal,Angola,1,0,FIFA World Cup qualification,Dakar,Senegal,False
1984-09-30,Botswana,Angola,1,3,Friendly,Gaborone,Botswana,False
1984-11-11,Angola,Congo,1,0,Friendly,Luanda,Angola,False
1985-03-31,Angola,Algeria,0,0,FIFA World Cup qualification,Luanda,Angola,False
1985-04-19,Algeria,Angola,3,2,FIFA World Cup qualification,Algiers,Algeria,False
1985-06-30,Angola,São Tomé and Príncipe,3,2,Friendly,Praia,Cape Verde,True
1985-07-09,Cape Verde,Angola,0,0,Friendly,Mindelo,Cape Verde,False
1985-07-10,Angola,Guinea-Bissau,3,1,Friendly,Praia,Cape Verde,True
1985-11-08,Angola,Mozambique,0,0,Friendly,Luanda,Angola,False
1985-11-10,Angola,Zimbabwe,2,3,Friendly,Luanda,Angola,False
1986-10-05,Angola,Gabon,1,0,African Cup of Nations qualification,Luanda,Angola,False
1986-10-19,Gabon,Angola,1,0,African Cup of Nations qualification,Libreville,Gabon,False
1986-12-07,Angola,Tanzania,1,0,Friendly,Luanda,Angola,False
1986-12-10,Angola,Zambia,0,1,Friendly,Luanda,Angola,False
1987-03-29,DR Congo,Angola,3,0,African Cup of Nations qualification,Kinshasa,Zaïre,False
1987-04-11,Angola,DR Congo,1,0,African Cup of Nations qualification,Luanda,Angola,False
1987-07-26,Angola,Guinea-Bissau,0,0,Friendly,São Tomé,São Tomé and Príncipe,True
1987-07-27,São Tomé and Príncipe,Angola,1,1,Friendly,São Tomé,São Tomé and Príncipe,False
1987-10-24,Zambia,Angola,2,0,Friendly,Lusaka,Zambia,False
1987-11-29,Gabon,Angola,0,0,Friendly,Libreville,Gabon,False
1987-12-08,Angola,Cuba,3,2,Friendly,Luanda,Angola,False
1987-12-10,Angola,Benin,0,0,Friendly,Luanda,Angola,False
1988-08-01,Angola,Gabon,4,1,Friendly,Luanda,Angola,False
1988-08-07,Angola,Sudan,0,0,FIFA World Cup qualification,Luanda,Angola,False
1988-10-02,Angola,Equatorial Guinea,0,1,African Cup of Nations qualification,Luanda,Angola,False
1988-10-16,Equatorial Guinea,Angola,0,0,African Cup of Nations qualification,Malabo,Equatorial Guinea,False
1988-10-29,Algeria,Angola,1,1,Friendly,Mascara,Algeria,False
1988-11-08,Tunisia,Angola,5,0,Friendly,Tunis,Tunisia,False
1988-11-11,Sudan,Angola,1,2,FIFA World Cup qualification,Khartoum,Sudan,False
1988-11-18,Angola,Senegal,1,2,Friendly,Praia,Cape Verde,True
1988-11-19,Cape Verde,Angola,2,3,Friendly,Praia,Cape Verde,False
1988-12-30,DR Congo,Angola,0,0,Friendly,Kinshasa,Zaïre,False
1989-01-08,Cameroon,Angola,1,1,FIFA World Cup qualification,Yaoundé,Cameroon,False
1989-01-22,Angola,Nigeria,2,2,FIFA World Cup qualification,Luanda,Angola,False
1989-03-29,Portugal,Angola,6,0,Friendly,Lisbon,Portugal,False
1989-04-09,Angola,Ivory Coast,0,2,African Cup of Nations qualification,Luanda,Angola,False
1989-04-13,Angola,Mozambique,1,1,Friendly,Luanda,Angola,False
1989-04-23,Ivory Coast,Angola,4,1,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1989-05-16,Namibia,Angola,0,1,Friendly,Windhoek,Namibia,False
1989-06-11,Angola,Gabon,2,0,FIFA World Cup qualification,Luanda,Angola,False
1989-06-25,Angola,Cameroon,1,2,FIFA World Cup qualification,Luanda,Angola,False
1989-08-12,Nigeria,Angola,1,0,FIFA World Cup qualification,Lagos,Nigeria,False
1989-08-27,Gabon,Angola,1,0,FIFA World Cup qualification,Libreville,Gabon,False
1990-03-06,Mozambique,Angola,2,1,Friendly,Maputo,Mozambique,False
1990-03-08,Angola,Zimbabwe,0,2,Friendly,Maputo,Mozambique,True
1990-03-10,Angola,Lesotho,3,1,Friendly,Maputo,Mozambique,True
1990-08-19,Angola,Madagascar,0,1,African Cup of Nations qualification,Luanda,Angola,False
1990-08-30,Mozambique,Angola,0,2,Friendly,Maputo,Mozambique,False
1990-09-01,Eswatini,Angola,1,1,African Cup of Nations qualification,Lobamba,Swaziland,False
1990-11-09,Angola,Mozambique,4,2,Friendly,Luanda,Angola,False
1990-11-11,Angola,Congo,1,0,Friendly,Luanda,Angola,False
1991-04-14,Angola,Zambia,1,2,African Cup of Nations qualification,Luanda,Angola,False
1991-05-04,Madagascar,Angola,0,0,African Cup of Nations qualification,Antananarivo,Madagascar,False
1991-07-15,Angola,Eswatini,1,1,African Cup of Nations qualification,Luanda,Angola,False
1991-07-28,Zambia,Angola,1,0,African Cup of Nations qualification,Lusaka,Zambia,False
