Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1985-11-05,Anguilla,British Virgin Islands,0,1,Friendly,The Valley,Anguilla,False
1991-05-14,Anguilla,Montserrat,1,1,CFU Caribbean Cup qualification,Castries,Saint Lucia,True
1991-05-16,Saint Lucia,Anguilla,6,0,CFU Caribbean Cup qualification,Castries,Saint Lucia,False
1992-05-02,Anguilla,Cuba,0,3,CFU Caribbean Cup qualification,The Valley,Anguilla,False
1992-05-09,Cuba,Anguilla,5,0,CFU Caribbean Cup qualification,Havana,Cuba,False
1993-04-04,Anguilla,Antigua and Barbuda,0,4,CFU Caribbean Cup qualification,The Valley,Anguilla,False
1993-04-06,Anguilla,Sint Maarten,0,1,CFU Caribbean Cup qualification,The Valley,Anguilla,False
1994-03-04,Guadeloupe,Anguilla,9,0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,True
1994-03-06,Saint Vincent and the Grenadines,Anguilla,2,0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1995-03-26,Montserrat,Anguilla,3,2,CFU Caribbean Cup qualification,Plymouth,Montserrat,False
1995-04-02,Anguilla,Montserrat,0,1,CFU Caribbean Cup qualification,The Valley,Anguilla,False
1996-03-27,Saint Kitts and Nevis,Anguilla,8,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1996-03-29,Sint Maarten,Anguilla,4,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1997-04-02,Sint Maarten,Anguilla,3,0,CFU Caribbean Cup qualification,Roseau,Dominica,True
1997-04-04,British Virgin Islands,Anguilla,4,2,CFU Caribbean Cup qualification,Roseau,Dominica,True
1997-04-06,Dominica,Anguilla,5,0,CFU Caribbean Cup qualification,Roseau,Dominica,False
1998-04-15,Grenada,Anguilla,14,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True
1998-04-19,Guyana,Anguilla,14,0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True
2000-02-25,British Virgin Islands,Anguilla,3,4,Friendly,Road Town,British Virgin Islands,False
2000-02-27,British Virgin Islands,Anguilla,5,0,Friendly,Road Town,British Virgin Islands,False
2000-03-05,Anguilla,Bahamas,1,3,FIFA World Cup qualification,The Valley,Anguilla,False
2000-03-19,Bahamas,Anguilla,2,1,FIFA World Cup qualification,Nassau,Bahamas,False
2001-02-08,Anguilla,Montserrat,4,1,CFU Caribbean Cup qualification,Marigot,Saint Martin,True
2001-02-10,Saint Martin,Anguilla,3,1,CFU Caribbean Cup qualification,Marigot,Saint Martin,False
2002-06-06,Saint Martin,Anguilla,2,1,Friendly,Marigot,Saint Martin,False
2002-06-23,Saint Martin,Anguilla,1,0,Friendly,Marigot,Saint Martin,False
2002-07-06,British Virgin Islands,Anguilla,2,1,Friendly,Road Town,British Virgin Islands,False
2004-03-19,Dominican Republic,Anguilla,0,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
2004-03-21,Dominican Republic,Anguilla,6,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
2006-09-20,Antigua and Barbuda,Anguilla,5,3,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
2006-09-22,Anguilla,Saint Kitts and Nevis,1,6,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True
2006-09-24,Barbados,Anguilla,7,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True
2008-02-06,El Salvador,Anguilla,12,0,FIFA World Cup qualification,San Salvador,El Salvador,False
2008-03-26,Anguilla,El Salvador,0,4,FIFA World Cup qualification,"Washington, D.C.",United States,True
2008-09-19,Martinique,Anguilla,3,1,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
2010-08-08,Anguilla,Saint Martin,1,3,Friendly,The Valley,Anguilla,False
2010-09-18,Anguilla,British Virgin Islands,1,2,Friendly,Quartier-d'Orleans,Saint Martin,True
2010-10-02,Puerto Rico,Anguilla,3,1,CFU Caribbean Cup qualification,Bayamón,Puerto Rico,False
2010-10-04,Cayman Islands,Anguilla,4,1,CFU Caribbean Cup qualification,Bayamón,Puerto Rico,True
2010-10-06,Anguilla,Saint Martin,2,1,CFU Caribbean Cup qualification,Bayamón,Puerto Rico,True
2011-06-19,Anguilla,United States Virgin Islands,0,0,Friendly,The Valley,Anguilla,False
2011-07-08,Dominican Republic,Anguilla,2,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,False
2011-07-10,Dominican Republic,Anguilla,4,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,False
2012-07-07,British Virgin Islands,Anguilla,1,0,Friendly,Road Town,British Virgin Islands,False
2012-10-12,French Guiana,Anguilla,4,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
2012-10-14,Trinidad and Tobago,Anguilla,10,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
2014-09-05,Saint Vincent and the Grenadines,Anguilla,4,0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True
2015-03-23,Nicaragua,Anguilla,5,0,FIFA World Cup qualification,Managua,Nicaragua,False
2015-03-29,Anguilla,Nicaragua,0,3,FIFA World Cup qualification,The Valley,Anguilla,False
2016-03-13,Sint Maarten,Anguilla,2,0,Friendly,Philipsburg,Sint Maarten,False
2016-03-26,Anguilla,Puerto Rico,0,4,CFU Caribbean Cup qualification,The Valley,Anguilla,False
2018-07-27,Saint Barthélemy,Anguilla,1,2,Friendly,Saint-Jean,Saint Barthélemy,False
2018-08-22,Sint Maarten,Anguilla,1,1,Friendly,Philipsburg,Sint Maarten,False
2018-08-25,Anguilla,Saint Martin,1,2,Friendly,The Valley,Anguilla,False
2018-09-07,Anguilla,French Guiana,0,5,CONCACAF Nations League qualification,The Valley,Anguilla,False
2018-10-14,Nicaragua,Anguilla,6,0,CONCACAF Nations League qualification,Heredia,Costa Rica,True
2018-11-18,Bahamas,Anguilla,1,1,CONCACAF Nations League qualification,Nassau,Bahamas,False
2019-03-22,Anguilla,United States Virgin Islands,0,3,CONCACAF Nations League qualification,The Valley,Anguilla,False
2019-09-05,Guatemala,Anguilla,10,0,CONCACAF Nations League,Guatemala City,Guatemala,False
