Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1972-11-10,Trinidad and Tobago,Antigua and Barbuda,11,1,CONCACAF Championship qualification,Port of Spain,Trinidad and Tobago,False
1972-11-19,Antigua and Barbuda,Trinidad and Tobago,1,2,CONCACAF Championship qualification,St. John's,Antigua and Barbuda,False
1972-12-03,Antigua and Barbuda,Suriname,0,6,CONCACAF Championship qualification,St. John's,Antigua and Barbuda,False
1972-12-05,Antigua and Barbuda,Suriname,1,3,CONCACAF Championship qualification,St. John's,Antigua and Barbuda,False
1975-10-05,Antigua and Barbuda,Barbados,1,0,Friendly,St. John's,Antigua and Barbuda,False
1978-02-28,Martinique,Antigua and Barbuda,5,0,Friendly,Saint-Pierre,Martinique,False
1978-10-23,Trinidad and Tobago,Antigua and Barbuda,3,1,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,False
1978-10-26,Antigua and Barbuda,Haiti,0,1,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,True
1978-10-28,Antigua and Barbuda,Suriname,0,4,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,True
1978-12-12,Antigua and Barbuda,Martinique,0,2,Friendly,St. John's,Antigua and Barbuda,False
1979-09-29,Haiti,Antigua and Barbuda,1,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False
1979-10-15,Antigua and Barbuda,Haiti,1,2,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1983-04-02,Guadeloupe,Antigua and Barbuda,2,3,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
1983-05-08,Antigua and Barbuda,Guadeloupe,3,3,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1983-05-29,Guyana,Antigua and Barbuda,0,0,CFU Caribbean Cup qualification,Georgetown,Guyana,False
1983-06-05,Antigua and Barbuda,Guyana,4,0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1983-07-23,Antigua and Barbuda,Martinique,0,2,CFU Caribbean Cup,Cayenne,French Guiana,True
1983-07-25,French Guiana,Antigua and Barbuda,1,0,CFU Caribbean Cup,Cayenne,French Guiana,False
1983-07-27,Antigua and Barbuda,Trinidad and Tobago,1,2,CFU Caribbean Cup,Cayenne,French Guiana,True
1984-08-04,Haiti,Antigua and Barbuda,4,0,CONCACAF Championship qualification,Port-au-Prince,Haiti,False
1984-08-07,Haiti,Antigua and Barbuda,1,2,CONCACAF Championship qualification,Port-au-Prince,Haiti,False
1985-02-24,Antigua and Barbuda,Dominica,2,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1985-03-03,Antigua and Barbuda,Guadeloupe,0,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1988-03-06,Dominica,Antigua and Barbuda,0,0,CFU Caribbean Cup qualification,Roseau,Dominica,False
1988-03-20,Antigua and Barbuda,Dominica,2,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1988-06-19,Antigua and Barbuda,Curaçao,0,1,CONCACAF Championship qualification,St. John's,Antigua and Barbuda,False
1988-07-05,Martinique,Antigua and Barbuda,2,2,CFU Caribbean Cup,Fort-de-France,Martinique,False
1988-07-07,Antigua and Barbuda,Trinidad and Tobago,1,1,CFU Caribbean Cup,Fort-de-France,Martinique,True
1988-07-09,Antigua and Barbuda,Guadeloupe,0,0,CFU Caribbean Cup,Fort-de-France,Martinique,True
1988-07-29,Curaçao,Antigua and Barbuda,3,1,CONCACAF Championship qualification,Willemstad,Curaçao,True
1989-04-23,Antigua and Barbuda,Jamaica,1,0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1989-05-13,Dominica,Antigua and Barbuda,0,1,CFU Caribbean Cup qualification,Roseau,Dominica,False
1990-03-24,Saint Kitts and Nevis,Antigua and Barbuda,3,1,Friendly,Basseterre,Saint Kitts and Nevis,False
1990-04-14,Bermuda,Antigua and Barbuda,2,2,CFU Caribbean Cup qualification,Hamilton,Bermuda,False
1990-04-16,Bermuda,Antigua and Barbuda,3,0,Friendly,Hamilton,Bermuda,False
1990-04-29,Barbados,Antigua and Barbuda,1,0,CFU Caribbean Cup qualification,Bridgetown,Barbados,False
1990-05-27,Antigua and Barbuda,Saint Lucia,0,2,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1992-04-15,Antigua and Barbuda,Montserrat,5,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1992-04-17,Antigua and Barbuda,British Virgin Islands,2,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1992-04-19,Curaçao,Antigua and Barbuda,1,1,FIFA World Cup qualification,Willemstad,Curaçao,True
1992-04-26,Antigua and Barbuda,Curaçao,3,0,FIFA World Cup qualification,St. John's,Antigua and Barbuda,False
