Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1922-06-17,New Zealand,Australia,3,1,Friendly,Dunedin,New Zealand,False
1922-06-24,New Zealand,Australia,1,1,Friendly,Wellington,New Zealand,False
1922-07-08,New Zealand,Australia,3,1,Friendly,Auckland,New Zealand,False
1923-06-09,Australia,New Zealand,2,1,Friendly,Brisbane,Australia,False
1923-06-16,Australia,New Zealand,2,3,Friendly,Sydney,Australia,False
1923-06-30,Australia,New Zealand,1,4,Friendly,Newcastle,Australia,False
1924-06-07,Australia,Canada,3,2,Friendly,Brisbane,Australia,False
1924-06-14,Australia,Canada,0,1,Friendly,Sydney,Australia,False
1924-06-23,Australia,Canada,4,1,Friendly,Sydney,Australia,False
1924-06-28,Australia,Canada,0,0,Friendly,Newcastle,Australia,False
1924-07-12,Australia,Canada,1,4,Friendly,Adelaide,Australia,False
1924-07-26,Australia,Canada,1,0,Friendly,Sydney,Australia,False
1933-06-05,Australia,New Zealand,4,2,Friendly,Brisbane,Australia,False
1933-06-17,Australia,New Zealand,6,4,Friendly,Sydney,Australia,False
1933-06-24,Australia,New Zealand,4,2,Friendly,Sydney,Australia,False
1936-07-04,New Zealand,Australia,1,7,Friendly,Dunedin,New Zealand,False
1936-07-11,New Zealand,Australia,0,10,Friendly,Wellington,New Zealand,False
1936-07-18,New Zealand,Australia,1,4,Friendly,Auckland,New Zealand,False
1938-09-03,Australia,India,5,3,Friendly,Sydney,Australia,False
1938-09-10,Australia,India,4,4,Friendly,Brisbane,Australia,False
1938-09-17,Australia,India,1,4,Friendly,Newcastle,Australia,False
1938-09-24,Australia,India,5,4,Friendly,Sydney,Australia,False
1938-10-01,Australia,India,3,1,Friendly,Melbourne,Australia,False
1947-05-10,Australia,South Africa,1,2,Friendly,Sydney,Australia,False
1947-05-24,Australia,South Africa,2,4,Friendly,Brisbane,Australia,False
1947-05-31,Australia,South Africa,3,3,Friendly,Sydney,Australia,False
1947-06-07,Australia,South Africa,5,1,Friendly,Newcastle,Australia,False
1947-06-14,Australia,South Africa,1,2,Friendly,Sydney,Australia,False
1948-08-14,New Zealand,Australia,0,6,Friendly,Wellington,New Zealand,False
1948-08-28,New Zealand,Australia,0,7,Friendly,Christchurch,New Zealand,False
1948-09-04,New Zealand,Australia,0,4,Friendly,Wellington,New Zealand,False
1948-09-11,New Zealand,Australia,1,8,Friendly,Auckland,New Zealand,False
1950-06-14,Zimbabwe,Australia,0,5,Friendly,Salisbury,Southern Rhodesia,False
1950-06-17,Zimbabwe,Australia,1,4,Friendly,Bulawayo,Southern Rhodesia,False
1950-06-24,South Africa,Australia,3,2,Friendly,Durban,South Africa,False
1950-07-01,South Africa,Australia,2,1,Friendly,Johannesburg,South Africa,False
1950-07-08,South Africa,Australia,1,2,Friendly,Port Elizabeth,South Africa,False
1950-07-23,South Africa,Australia,0,2,Friendly,Cape Town,South Africa,False
1954-08-14,Australia,New Zealand,1,2,Friendly,Melbourne,Australia,False
1954-08-28,Australia,New Zealand,4,1,Friendly,Brisbane,Australia,False
1954-09-04,Australia,New Zealand,4,1,Friendly,Sydney,Australia,False
1955-09-03,Australia,South Africa,0,3,Friendly,Brisbane,Australia,False
1955-09-10,Australia,South Africa,0,2,Friendly,Melbourne,Australia,False
1955-09-17,Australia,South Africa,0,8,Friendly,Adelaide,Australia,False
1955-09-24,Australia,South Africa,0,6,Friendly,Sydney,Australia,False
1955-10-01,Australia,South Africa,1,4,Friendly,Newcastle,Australia,False
1956-12-12,Australia,India,1,7,Friendly,Sydney,Australia,False
1958-08-16,New Zealand,Australia,2,3,Friendly,Wellington,New Zealand,False
1958-08-23,New Zealand,Australia,2,2,Friendly,Auckland,New Zealand,False
