Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1979-07-24,Azerbaijan,Lithuania,0,1,Friendly,Moscow,Soviet Union,True
1992-09-17,Georgia,Azerbaijan,6,3,Friendly,Gurjaani,Georgia,False
1993-05-25,Azerbaijan,Georgia,1,0,Friendly,Gəncə,Azerbaijan,False
1993-06-06,Azerbaijan,Tajikistan,2,0,Friendly,Tehran,Iran,True
1993-06-07,Azerbaijan,Kyrgyzstan,3,2,Friendly,Tehran,Iran,True
1994-04-19,Malta,Azerbaijan,5,0,Friendly,Attard,Malta,False
1994-09-07,Romania,Azerbaijan,3,0,UEFA Euro qualification,Bucharest,Romania,False
1994-10-12,Poland,Azerbaijan,1,0,UEFA Euro qualification,Mielec,Poland,False
1994-11-16,Azerbaijan,Israel,0,2,UEFA Euro qualification,Trabzon,Turkey,True
1994-12-13,Azerbaijan,France,0,2,UEFA Euro qualification,Trabzon,Turkey,True
1995-03-29,Slovakia,Azerbaijan,4,1,UEFA Euro qualification,Košice,Slovakia,False
1995-04-26,Azerbaijan,Romania,1,4,UEFA Euro qualification,Trabzon,Turkey,True
1995-08-16,Azerbaijan,Slovakia,0,1,UEFA Euro qualification,Trabzon,Turkey,True
1995-09-06,France,Azerbaijan,10,0,UEFA Euro qualification,Auxerre,France,False
1995-10-11,Israel,Azerbaijan,2,0,UEFA Euro qualification,Jaffa,Israel,False
1995-11-15,Azerbaijan,Poland,0,0,UEFA Euro qualification,Trabzon,Turkey,True
1996-02-16,Azerbaijan,Estonia,0,0,Friendly,Larnaca,Cyprus,True
1996-02-27,Azerbaijan,Faroe Islands,3,0,Friendly,Larnaca,Cyprus,True
1996-04-09,Azerbaijan,Turkey,0,1,Friendly,Baku,Azerbaijan,False
1996-05-27,Belarus,Azerbaijan,2,2,Friendly,Maladzečna,Belarus,False
1996-06-02,Norway,Azerbaijan,5,0,FIFA World Cup qualification,Oslo,Norway,False
1996-08-31,Azerbaijan,Switzerland,1,0,FIFA World Cup qualification,Baku,Azerbaijan,False
1996-10-07,Oman,Azerbaijan,2,0,Friendly,Muscat,Oman,False
