Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1971-04-14,Haiti,Bahamas,8,0,Friendly,Port-au-Prince,Haiti,False
1999-02-24,Bahamas,Turks and Caicos Islands,3,0,CFU Caribbean Cup qualification,Nassau,Bahamas,False
1999-02-28,Bahamas,United States Virgin Islands,0,0,CFU Caribbean Cup qualification,Nassau,Bahamas,False
1999-05-05,Bermuda,Bahamas,6,0,CFU Caribbean Cup qualification,Hamilton,Bermuda,False
1999-05-07,Cuba,Bahamas,7,0,CFU Caribbean Cup qualification,Hamilton,Bermuda,True
1999-05-09,Cayman Islands,Bahamas,4,1,CFU Caribbean Cup qualification,Hamilton,Bermuda,True
1999-09-22,Cayman Islands,Bahamas,4,0,Friendly,George Town,Cayman Islands,False
2000-03-05,Anguilla,Bahamas,1,3,FIFA World Cup qualification,The Valley,Anguilla,False
2000-03-19,Bahamas,Anguilla,2,1,FIFA World Cup qualification,Nassau,Bahamas,False
2000-04-01,Haiti,Bahamas,9,0,FIFA World Cup qualification,Port-au-Prince,Haiti,False
2000-04-16,Bahamas,Haiti,0,4,FIFA World Cup qualification,Nassau,Bahamas,False
2001-10-21,Bahamas,Haiti,0,2,Friendly,Nassau,Bahamas,False
2003-12-27,Bahamas,Haiti,0,6,Friendly,Miami,United States,True
2004-03-26,Bahamas,Dominica,1,1,FIFA World Cup qualification,Nassau,Bahamas,False
2004-03-28,Bahamas,Dominica,1,3,FIFA World Cup qualification,Nassau,Bahamas,False
2006-09-02,Bahamas,Cayman Islands,3,1,CFU Caribbean Cup qualification,Havana,Cuba,True
2006-09-04,Cuba,Bahamas,6,0,CFU Caribbean Cup qualification,Havana,Cuba,False
2006-09-06,Turks and Caicos Islands,Bahamas,2,3,CFU Caribbean Cup qualification,Havana,Cuba,True
2006-11-19,Barbados,Bahamas,2,1,CFU Caribbean Cup qualification,Bridgetown,Barbados,False
2006-11-21,Bahamas,Bermuda,0,4,CFU Caribbean Cup qualification,Bridgetown,Barbados,True
2008-03-26,Bahamas,British Virgin Islands,1,1,FIFA World Cup qualification,Nassau,Bahamas,False
2008-03-30,Bahamas,British Virgin Islands,2,2,FIFA World Cup qualification,Nassau,Bahamas,False
