Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1966-04-02,Lebanon,Bahrain,6,1,Arab Cup,Baghdad,Iraq,True
1966-04-05,Iraq,Bahrain,10,1,Arab Cup,Baghdad,Iraq,False
1966-04-06,Bahrain,Kuwait,4,4,Arab Cup,Habbaniyah,Iraq,True
1966-04-07,Bahrain,Jordan,1,5,Arab Cup,Baghdad,Iraq,True
1970-03-27,Bahrain,Qatar,2,1,Gulf Cup,Isa Town,Bahrain,False
1970-03-30,Bahrain,Saudi Arabia,0,0,Gulf Cup,Isa Town,Bahrain,False
1970-04-03,Bahrain,Kuwait,1,3,Gulf Cup,Isa Town,Bahrain,False
1971-12-11,Bahrain,Lebanon,3,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-13,Jordan,Bahrain,3,2,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-15,Iraq,Bahrain,1,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-20,Bahrain,Sri Lanka,3,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1972-03-18,Bahrain,Kuwait,0,2,Gulf Cup,Riyadh,Saudi Arabia,True
1972-03-21,Bahrain,Qatar,6,2,Gulf Cup,Riyadh,Saudi Arabia,True
1972-03-25,Bahrain,United Arab Emirates,2,0,Gulf Cup,Riyadh,Saudi Arabia,True
1972-03-28,Saudi Arabia,Bahrain,2,1,Gulf Cup,Riyadh,Saudi Arabia,False
1974-03-01,Bahrain,Morocco,0,1,Friendly,Manama,Bahrain,False
1974-03-16,Bahrain,Oman,4,0,Gulf Cup,Kuwait City,Kuwait,True
1974-03-18,Bahrain,United Arab Emirates,0,4,Gulf Cup,Kuwait City,Kuwait,True
1974-03-21,Bahrain,Saudi Arabia,1,4,Gulf Cup,Kuwait City,Kuwait,True
1974-08-14,Iraq,Bahrain,4,0,Friendly,Baghdad,Iraq,False
1974-09-03,Myanmar,Bahrain,4,0,Asian Games,Tehran,Iran,True
1974-09-05,Pakistan,Bahrain,5,1,Asian Games,Tehran,Iran,True
1974-09-07,Iran,Bahrain,6,0,Asian Games,Tehran,Iran,False
1976-03-27,Bahrain,United Arab Emirates,3,2,Gulf Cup,Doha,Qatar,True
1976-03-29,Bahrain,Iraq,1,4,Gulf Cup,Doha,Qatar,True
1976-04-02,Bahrain,Oman,1,0,Gulf Cup,Doha,Qatar,True
1976-04-06,Bahrain,Kuwait,2,5,Gulf Cup,Doha,Qatar,True
1976-04-08,Bahrain,Saudi Arabia,2,1,Gulf Cup,Doha,Qatar,True
1976-04-10,Qatar,Bahrain,3,0,Gulf Cup,Doha,Qatar,False
1977-02-17,Bahrain,South Korea,1,4,Friendly,Manama,Bahrain,False
1977-02-19,Bahrain,South Korea,1,1,Friendly,Manama,Bahrain,False
1977-03-11,Bahrain,Kuwait,0,2,FIFA World Cup qualification,Doha,Qatar,True
1977-03-13,Qatar,Bahrain,2,0,FIFA World Cup qualification,Doha,Qatar,False
1977-03-17,Bahrain,Kuwait,1,2,FIFA World Cup qualification,Doha,Qatar,True
1977-03-19,Qatar,Bahrain,0,3,FIFA World Cup qualification,Doha,Qatar,False
1977-09-08,Bahrain,Malaysia,1,3,Korea Cup,Daegu,South Korea,True
1978-09-09,Bahrain,Malaysia,1,2,Korea Cup,Seoul,South Korea,True
1978-09-13,South Korea,Bahrain,3,1,Korea Cup,Daegu,South Korea,False
1978-12-11,Bahrain,South Korea,1,5,Asian Games,Bangkok,Thailand,True
1978-12-13,Bahrain,Japan,0,4,Asian Games,Bangkok,Thailand,True
1978-12-15,Bahrain,Kuwait,0,3,Asian Games,Bangkok,Thailand,True
1979-02-09,Bahrain,Finland,0,1,Friendly,Isa Town,Bahrain,False
1979-03-23,Iraq,Bahrain,4,0,Gulf Cup,Baghdad,Iraq,False
1979-03-27,Bahrain,United Arab Emirates,3,0,Gulf Cup,Baghdad,Iraq,True
1979-03-30,Bahrain,Oman,3,1,Gulf Cup,Baghdad,Iraq,True
1979-04-02,Saudi Arabia,Bahrain,1,1,Gulf Cup,Baghdad,Iraq,True
1979-04-07,Bahrain,Qatar,1,1,Gulf Cup,Baghdad,Iraq,True
1979-04-09,Bahrain,Kuwait,0,2,Gulf Cup,Baghdad,Iraq,True
1979-09-14,South Korea,Bahrain,5,1,Korea Cup,Chungju,South Korea,False
1979-10-03,Bahrain,New Zealand,0,2,Friendly,Isa Town,Bahrain,False
1979-10-08,Bahrain,New Zealand,1,2,Friendly,Isa Town,Bahrain,False
1980-08-25,Bahrain,Malaysia,1,1,Korea Cup,Seoul,South Korea,True
1980-08-27,Bahrain,Indonesia,2,3,Korea Cup,Seoul,South Korea,True
1980-08-29,South Korea,Bahrain,5,0,Korea Cup,Gwangju,South Korea,False
1980-08-31,Bahrain,Thailand,0,1,Korea Cup,Seoul,South Korea,True
1981-02-27,Bahrain,Jordan,1,0,Friendly,Manama,Bahrain,False
1981-03-05,Bahrain,Tunisia,0,3,Friendly,Manama,Bahrain,False
