Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1973-07-27,Bangladesh,Thailand,2,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-07-29,Bangladesh,Vietnam Republic,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-07-31,Bangladesh,Kuwait,1,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-08-02,Bangladesh,Singapore,1,1,Merdeka Tournament,Ipoh,Malaysia,True
1973-08-08,Bangladesh,Myanmar,0,6,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-08-12,Bangladesh,Thailand,0,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-08-13,Singapore,Bangladesh,0,1,Friendly,Kallang,Singapore,False
1975-07-29,Bangladesh,Indonesia,0,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1975-08-02,Bangladesh,Thailand,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1975-08-04,Bangladesh,Japan,0,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1975-08-07,Malaysia,Bangladesh,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1975-08-08,Bangladesh,Myanmar,1,7,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1975-08-10,Bangladesh,Hong Kong,1,9,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1975-08-15,Bangladesh,South Korea,0,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1976-12-18,Bangladesh,Malaysia,0,6,King's Cup,Bangkok,Thailand,True
1978-12-12,Bangladesh,Malaysia,0,1,Asian Games,Bangkok,Thailand,True
1978-12-14,Bangladesh,India,0,3,Asian Games,Bangkok,Thailand,True
1979-03-05,Bangladesh,Afghanistan,3,2,AFC Asian Cup qualification,Dhaka,Bangladesh,False
1979-03-07,Bangladesh,Qatar,1,3,AFC Asian Cup qualification,Dhaka,Bangladesh,False
1979-09-10,Bangladesh,Sudan,1,4,Korea Cup,Seoul,South Korea,True
1979-09-16,South Korea,Bangladesh,9,0,Korea Cup,Incheon,South Korea,False
1980-09-16,North Korea,Bangladesh,3,2,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-19,Bangladesh,Syria,0,1,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-22,Bangladesh,Iran,0,7,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-25,China PR,Bangladesh,6,0,AFC Asian Cup,Kuwait City,Kuwait,True
1982-02-16,Bangladesh,Nepal,1,1,Friendly,Karachi,Pakistan,True
1982-02-19,Bangladesh,Oman,1,3,Friendly,Karachi,Pakistan,True
1982-11-20,India,Bangladesh,2,0,Asian Games,New Delhi,India,False
1982-11-22,China PR,Bangladesh,1,0,Asian Games,New Delhi,India,True
1982-11-24,Malaysia,Bangladesh,1,2,Asian Games,New Delhi,India,True
1983-09-22,Bangladesh,Nepal,1,0,Merdeka Tournament,Seremban,Malaysia,True
1983-09-28,Malaysia,Bangladesh,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1984-08-07,Iran,Bangladesh,5,0,AFC Asian Cup qualification,Jakarta,Indonesia,True
1984-08-09,Indonesia,Bangladesh,2,1,AFC Asian Cup qualification,Jakarta,Indonesia,False
1984-08-11,Syria,Bangladesh,2,1,AFC Asian Cup qualification,Jakarta,Indonesia,True
1984-08-13,Bangladesh,Philippines,3,2,AFC Asian Cup qualification,Solo,Indonesia,True
1984-08-15,Thailand,Bangladesh,2,1,AFC Asian Cup qualification,Solo,Indonesia,True
1984-09-18,Bangladesh,Bhutan,2,0,South Asian Games,Kathmandu,Nepal,True
1984-09-19,Bangladesh,Maldives,5,0,South Asian Games,Kathmandu,Nepal,True
1984-09-21,Nepal,Bangladesh,0,5,South Asian Games,Kathmandu,Nepal,False
1984-09-23,Nepal,Bangladesh,4,2,South Asian Games,Kathmandu,Nepal,False
1985-03-18,Indonesia,Bangladesh,2,0,FIFA World Cup qualification,Jakarta,Indonesia,False
1985-03-23,Thailand,Bangladesh,3,0,FIFA World Cup qualification,Bangkok,Thailand,False
1985-03-30,Bangladesh,India,1,2,FIFA World Cup qualification,Dhaka,Bangladesh,False
1985-04-02,Bangladesh,Indonesia,2,1,FIFA World Cup qualification,Dhaka,Bangladesh,False
1985-04-05,Bangladesh,Thailand,1,0,FIFA World Cup qualification,Dhaka,Bangladesh,False
1985-04-12,India,Bangladesh,2,1,FIFA World Cup qualification,Calcutta,India,False
1985-04-28,Bangladesh,Indonesia,1,1,Friendly,Peshawar,Pakistan,True
1985-05-02,Pakistan,Bangladesh,1,3,Friendly,Peshawar,Pakistan,False
1985-05-04,Bangladesh,North Korea,0,1,Friendly,Peshawar,Pakistan,True
1985-12-21,Bangladesh,Pakistan,2,1,South Asian Games,Dhaka,Bangladesh,False
1985-12-23,Bangladesh,Maldives,8,0,South Asian Games,Dhaka,Bangladesh,False
1985-12-25,Bangladesh,India,1,1,South Asian Games,Dhaka,Bangladesh,False
1986-09-20,Kuwait,Bangladesh,4,0,Asian Games,Daejeon,South Korea,True
1986-09-24,Iran,Bangladesh,4,0,Asian Games,Daejeon,South Korea,True
1986-09-26,Nepal,Bangladesh,0,1,Asian Games,Daejeon,South Korea,True
1986-09-28,Japan,Bangladesh,4,0,Asian Games,Daejeon,South Korea,True
1986-12-04,Nepal,Bangladesh,1,0,Friendly,Kathmandu,Nepal,False
1987-11-21,Nepal,Bangladesh,1,0,South Asian Games,Calcutta,India,True
1987-11-22,Bangladesh,Bhutan,3,0,South Asian Games,Calcutta,India,True
1987-11-25,Pakistan,Bangladesh,1,0,South Asian Games,Calcutta,India,True
1988-02-06,Bangladesh,India,0,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-08,China PR,Bangladesh,4,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-12,Thailand,Bangladesh,1,1,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-14,Yemen,Bangladesh,0,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-17,United Arab Emirates,Bangladesh,4,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
1989-02-19,Thailand,Bangladesh,1,0,FIFA World Cup qualification,Bangkok,Thailand,False
1989-02-23,China PR,Bangladesh,2,0,FIFA World Cup qualification,Guangzhou,China PR,False
1989-02-27,Bangladesh,Iran,1,2,FIFA World Cup qualification,Dhaka,Bangladesh,False
1989-03-04,Bangladesh,China PR,0,2,FIFA World Cup qualification,Dhaka,Bangladesh,False
1989-03-08,Bangladesh,Thailand,3,1,FIFA World Cup qualification,Dhaka,Bangladesh,False
1989-03-17,Iran,Bangladesh,1,0,FIFA World Cup qualification,Tehran,Iran,False
1989-09-21,Bangladesh,Sri Lanka,3,0,South Asian Games,Islamabad,Pakistan,True
1989-10-23,Bangladesh,India,1,1,South Asian Games,Islamabad,Pakistan,True
1989-10-26,Pakistan,Bangladesh,1,0,South Asian Games,Islamabad,Pakistan,False
1990-09-24,Saudi Arabia,Bangladesh,4,0,Asian Games,Beijing,China PR,True
1990-09-26,Bangladesh,Japan,0,3,Asian Games,Beijing,China PR,True
1991-12-24,Pakistan,Bangladesh,1,0,South Asian Games,Colombo,Sri Lanka,True
1991-12-26,Bangladesh,India,2,1,South Asian Games,Colombo,Sri Lanka,True
1991-12-28,Bangladesh,Nepal,2,0,South Asian Games,Colombo,Sri Lanka,True
1992-06-19,South Korea,Bangladesh,6,0,AFC Asian Cup qualification,Bangkok,Thailand,True
1992-06-23,Thailand,Bangladesh,1,0,AFC Asian Cup qualification,Bangkok,Thailand,False
1993-04-11,Japan,Bangladesh,8,0,FIFA World Cup qualification,Tokyo,Japan,False
1993-04-13,Sri Lanka,Bangladesh,0,1,FIFA World Cup qualification,Yokohama,Japan,True
1993-04-15,United Arab Emirates,Bangladesh,1,0,FIFA World Cup qualification,Yokohama,Japan,True
1993-04-18,Thailand,Bangladesh,4,1,FIFA World Cup qualification,Tokyo,Japan,True
1993-04-30,Bangladesh,Japan,1,4,FIFA World Cup qualification,Dubai,United Arab Emirates,True
1993-05-03,United Arab Emirates,Bangladesh,7,0,FIFA World Cup qualification,Al Ain,United Arab Emirates,False
1993-05-05,Bangladesh,Thailand,1,4,FIFA World Cup qualification,Dubai,United Arab Emirates,True
1993-05-07,Bangladesh,Sri Lanka,3,0,FIFA World Cup qualification,Dubai,United Arab Emirates,True
1993-12-10,Bangladesh,Myanmar,3,1,Friendly,Dhaka,Bangladesh,False
1993-12-20,Bangladesh,Maldives,0,0,South Asian Games,Dhaka,Bangladesh,False
1993-12-24,Bangladesh,Nepal,0,1,South Asian Games,Dhaka,Bangladesh,False
1994-09-12,Bangladesh,India,2,4,Friendly,Doha,Qatar,True
1995-03-25,Nepal,Bangladesh,0,2,SAFF Cup,Colombo,Sri Lanka,True
1995-03-25,Pakistan,Bangladesh,1,0,SAFF Cup,Colombo,Sri Lanka,True
1995-03-31,India,Bangladesh,0,0,SAFF Cup,Colombo,Sri Lanka,True
1995-10-26,Myanmar,Bangladesh,4,0,Friendly,Yangon,Myanmar,False
1995-11-01,Bangladesh,Sri Lanka,1,0,Friendly,Yangon,Myanmar,True
1995-11-04,Myanmar,Bangladesh,1,2,Friendly,Yangon,Myanmar,False
1995-12-21,Maldives,Bangladesh,0,0,South Asian Games,Madras,India,True
1995-12-23,Bangladesh,Nepal,2,1,South Asian Games,Madras,India,True
1995-12-25,Bangladesh,Sri Lanka,0,0,South Asian Games,Madras,India,True
1995-12-27,India,Bangladesh,1,0,South Asian Games,Madras,India,False
1997-03-16,Malaysia,Bangladesh,2,0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
1997-03-18,Bangladesh,Taiwan,1,3,FIFA World Cup qualification,Kuala Lumpur,Malaysia,True
1997-03-20,Bangladesh,Saudi Arabia,1,4,FIFA World Cup qualification,Kuala Lumpur,Malaysia,True
1997-03-27,Saudi Arabia,Bangladesh,3,0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
1997-03-29,Taiwan,Bangladesh,1,2,FIFA World Cup qualification,Jeddah,Saudi Arabia,True
1997-03-31,Bangladesh,Malaysia,0,1,FIFA World Cup qualification,Jeddah,Saudi Arabia,True
1997-09-05,Maldives,Bangladesh,1,1,SAFF Cup,Kathmandu,Nepal,True
