Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2016-08-25,Barawa,Tamil Eelam,0,5,World Unity Cup,London,England,False
2016-08-26,Barawa,Chagos Islands,2,3,World Unity Cup,London,England,False
2018-04-08,Barawa,Chagos Islands,4,1,Friendly,London,England,False
2018-04-15,Barawa,Yorkshire,2,7,Friendly,London,England,False
2018-05-06,Barawa,Surrey,1,3,Friendly,London,England,False
2018-05-31,Barawa,Tamil Eelam,4,0,CONIFA World Football Cup,Bromley,England,False
2018-06-02,Barawa,Cascadia,1,2,CONIFA World Football Cup,Carshalton,England,False
2018-06-03,Barawa,Ellan Vannin,2,0,CONIFA World Football Cup,Rotherhithe,England,False
2018-06-05,Barawa,Northern Cyprus,0,8,CONIFA World Football Cup,Sutton,England,False
2018-06-07,Barawa,Panjab,0,5,CONIFA World Football Cup,Sutton,England,False
2018-06-09,Barawa,Western Armenia,0,7,CONIFA World Football Cup,Haringey,England,False
2019-05-25,Kernow,Barawa,5,0,Friendly,Bodmin,England,False
