Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1915-01-03,Basque Country,Catalonia,6,1,Friendly,Bilbao,Spain,False
1915-02-07,Catalonia,Basque Country,2,2,Friendly,Barcelona,Spain,False
1915-05-13,Basque Country,Catalonia,1,0,Friendly,Madrid,Spain,False
1916-05-21,Catalonia,Basque Country,1,3,Friendly,Barcelona,Spain,False
1916-05-22,Catalonia,Basque Country,0,0,Friendly,Barcelona,Spain,False
1916-06-04,Basque Country,Catalonia,5,0,Friendly,Bilbao,Spain,False
1924-06-15,Catalonia,Basque Country,1,2,Friendly,Barcelona,Spain,False
1930-06-08,Catalonia,Basque Country,0,1,Friendly,Barcelona,Spain,False
1931-01-01,Basque Country,Catalonia,3,2,Friendly,Bilbao,Spain,False
1937-05-06,Czechoslovakia,Basque Country,3,2,Friendly,Prague,Czechoslovakia,False
1937-06-05,Czechoslovakia,Basque Country,2,1,Friendly,Prague,Czechoslovakia,False
1937-06-09,Silesia,Basque Country,3,4,Friendly,Chorzów,Poland,False
1937-08-22,Norway,Basque Country,1,3,Friendly,Oslo,Norway,False
1937-08-29,Denmark,Basque Country,1,11,Friendly,Copenhagen,Denmark,False
1937-11-28,Mexico,Basque Country,1,4,Friendly,Mexico City,Mexico,False
1937-12-05,Mexico,Basque Country,1,2,Friendly,Mexico City,Mexico,False
1937-12-12,Mexico,Basque Country,0,4,Friendly,Mexico City,Mexico,False
1938-01-09,Mexico,Basque Country,3,1,Friendly,Mexico City,Mexico,False
1938-05-29,Cuba,Basque Country,0,4,Friendly,Havana,Cuba,False
1938-06-20,Cuba,Basque Country,3,4,Friendly,Havana,Cuba,False
1938-10-16,Mexico,Basque Country,8,4,Friendly,Mexico City,Mexico,False
1938-10-23,Mexico,Basque Country,2,6,Friendly,Mexico City,Mexico,False
1938-10-30,Mexico,Basque Country,1,3,Friendly,Mexico City,Mexico,False
1971-02-21,Basque Country,Catalonia,1,2,Friendly,Bilbao,Spain,False
1978-03-02,Basque Country,Russia,0,0,Friendly,Bilbao,Spain,False
1979-12-23,Basque Country,Bulgaria,4,0,Friendly,San Sebastián,Spain,False
1980-08-03,Basque Country,Hungary,1,5,Friendly,Vitoria-Gasteiz,Spain,False
1990-03-21,Basque Country,Romania,2,2,Friendly,Bilbao,Spain,False
1993-12-22,Basque Country,Bolivia,3,1,Friendly,San Sebastián,Spain,False
1994-12-23,Basque Country,Russia,1,0,Friendly,Bilbao,Spain,False
1995-12-22,Basque Country,Paraguay,1,1,Friendly,Bilbao,Spain,False
1996-12-26,Basque Country,Estonia,3,1,Friendly,Bilbao,Spain,False
1997-12-26,Basque Country,Yugoslavia,3,1,Friendly,Bilbao,Spain,False
1998-12-22,Basque Country,Uruguay,5,1,Friendly,San Sebastián,Spain,False
1999-12-29,Basque Country,Nigeria,5,1,Friendly,Bilbao,Spain,False
2000-12-29,Basque Country,Morocco,3,2,Friendly,Bilbao,Spain,False
2001-12-29,Basque Country,Ghana,3,2,Friendly,Bilbao,Spain,False
2002-12-28,Basque Country,North Macedonia,1,1,Friendly,Bilbao,Spain,False
2003-12-27,Basque Country,Uruguay,2,1,Friendly,Bilbao,Spain,False
2004-12-29,Basque Country,Honduras,2,0,Friendly,San Sebastián,Spain,False
2005-12-28,Basque Country,Cameroon,0,1,Friendly,Bilbao,Spain,False
2006-05-21,Basque Country,Wales,0,1,Friendly,Bilbao,Spain,False
2006-10-08,Catalonia,Basque Country,2,2,Friendly,Barcelona,Spain,False
2006-12-27,Basque Country,Serbia,4,0,Friendly,Bilbao,Spain,False
2007-06-20,Venezuela,Basque Country,3,4,Friendly,Táchira,Venezuela,False
2007-12-29,Basque Country,Catalonia,1,1,Friendly,Bilbao,Spain,False
2010-12-29,Basque Country,Venezuela,3,1,Friendly,Bilbao,Spain,False
2011-05-25,Estonia,Basque Country,1,2,Friendly,Tallinn,Estonia,False
2011-12-28,Basque Country,Tunisia,0,2,Friendly,Bilbao,Spain,False
2012-12-29,Basque Country,Bolivia,6,1,Friendly,San Sebastián,Spain,False
2013-12-28,Basque Country,Peru,6,0,Friendly,Bilbao,Spain,False
2014-12-28,Basque Country,Catalonia,1,1,Friendly,Bilbao,Spain,False
2015-12-26,Catalonia,Basque Country,0,1,Friendly,Barcelona,Spain,False
2016-05-27,Corsica,Basque Country,1,1,Friendly,Ajaccio,France,False
2016-12-30,Basque Country,Tunisia,3,1,Friendly,Bilbao,Spain,False
2018-10-12,Basque Country,Venezuela,4,2,Friendly,Vitoria-Gasteiz,Spain,False
2019-05-29,Panama,Basque Country,0,0,Friendly,Panama City,Panama,False
2020-11-16,Basque Country,Costa Rica,2,1,Friendly,Eibar,Spain,False
