Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1928-08-17,Belarus,Switzerland,6,3,Friendly,Moscow,Soviet Union,True
1928-08-19,Belarus,Ukraine,2,6,Friendly,Moscow,Soviet Union,True
1928-08-22,Belarus,Finland,1,2,Friendly,Moscow,Soviet Union,True
1956-08-03,Belarus,Kyrgyzstan,1,0,Friendly,Moscow,Soviet Union,True
1956-08-09,Russia,Belarus,5,1,Friendly,Moscow,Soviet Union,False
1956-08-11,Russia,Belarus,4,2,Friendly,Moscow,Soviet Union,False
1967-06-04,Belarus,Mexico,2,1,Friendly,Minsk,Soviet Union,False
1979-07-21,Belarus,Armenia,3,0,Friendly,Minsk,Soviet Union,False
1979-07-23,Belarus,Latvia,2,1,Friendly,Minsk,Soviet Union,False
1979-07-25,Belarus,Russia,2,3,Friendly,Minsk,Soviet Union,False
1979-07-28,Russia,Belarus,0,0,Friendly,Moscow,Soviet Union,False
1979-07-30,Belarus,Ukraine,0,0,Friendly,Moscow,Soviet Union,True
1979-08-01,Belarus,Lithuania,0,2,Friendly,Moscow,Soviet Union,True
1979-08-04,Belarus,Kazakhstan,0,1,Friendly,Moscow,Soviet Union,True
1992-10-28,Belarus,Ukraine,1,1,Friendly,Minsk,Belarus,False
1993-01-27,Ecuador,Belarus,1,1,Friendly,Guayaquil,Ecuador,False
1993-01-30,Peru,Belarus,1,1,Friendly,Lima,Peru,False
1994-05-25,Ukraine,Belarus,3,1,Friendly,Kyiv,Ukraine,False
1994-08-17,Poland,Belarus,1,1,Friendly,Radom,Poland,False
1994-09-07,Norway,Belarus,1,0,UEFA Euro qualification,Oslo,Norway,False
1994-10-12,Belarus,Luxembourg,2,0,UEFA Euro qualification,Minsk,Belarus,False
1994-11-16,Belarus,Norway,0,4,UEFA Euro qualification,Minsk,Belarus,False
1995-03-29,Czech Republic,Belarus,4,2,UEFA Euro qualification,Ostrava,Czech Republic,False
1995-04-26,Belarus,Malta,1,1,UEFA Euro qualification,Minsk,Belarus,False
1995-06-07,Belarus,Netherlands,1,0,UEFA Euro qualification,Minsk,Belarus,False
1995-07-29,Lithuania,Belarus,1,1,Friendly,Vilnius,Lithuania,False
1995-09-06,Netherlands,Belarus,1,0,UEFA Euro qualification,Rotterdam,Netherlands,False
1995-10-07,Belarus,Czech Republic,0,2,UEFA Euro qualification,Minsk,Belarus,False
1995-10-11,Luxembourg,Belarus,0,0,UEFA Euro qualification,Luxembourg,Luxembourg,False
1995-11-12,Malta,Belarus,0,2,UEFA Euro qualification,Attard,Malta,False
1996-02-14,Turkey,Belarus,3,2,Friendly,İzmir,Turkey,False
1996-03-27,Slovakia,Belarus,4,0,Friendly,Nitra,Slovakia,False
1996-05-01,Poland,Belarus,1,1,Friendly,Mielec,Poland,False
1996-05-27,Belarus,Azerbaijan,2,2,Friendly,Maladzečna,Belarus,False
1996-06-01,Sweden,Belarus,5,1,FIFA World Cup qualification,Solna,Sweden,False
