Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1904-05-01,Belgium,France,3,3,Évence Coppée Trophy,Brussels,Belgium,False
1905-04-30,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
1905-05-07,Belgium,France,7,0,Friendly,Brussels,Belgium,False
1905-05-14,Netherlands,Belgium,4,0,Friendly,Rotterdam,Netherlands,False
1906-04-22,France,Belgium,0,5,Friendly,Saint-Cloud,France,False
1906-04-29,Belgium,Netherlands,5,0,Friendly,Antwerp,Belgium,False
1906-05-13,Netherlands,Belgium,2,3,Friendly,Rotterdam,Netherlands,False
1907-04-14,Belgium,Netherlands,1,3,Friendly,Antwerp,Belgium,False
1907-04-21,Belgium,France,1,2,Friendly,Brussels,Belgium,False
1907-05-09,Netherlands,Belgium,1,2,Friendly,Haarlem,Netherlands,False
1908-03-29,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
1908-04-12,France,Belgium,1,2,Friendly,Colombes,France,False
1908-04-26,Netherlands,Belgium,3,1,Friendly,Rotterdam,Netherlands,False
1908-10-26,Belgium,Sweden,2,1,Friendly,Brussels,Belgium,False
1909-03-21,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
1909-04-25,Netherlands,Belgium,4,1,Friendly,Rotterdam,Netherlands,False
1909-05-09,Belgium,France,5,2,Friendly,Brussels,Belgium,False
1910-03-13,Belgium,Netherlands,3,2,Friendly,Antwerp,Belgium,False
1910-04-03,France,Belgium,0,4,Friendly,Gentilly,France,False
1910-04-10,Netherlands,Belgium,7,0,Friendly,Haarlem,Netherlands,False
1910-05-16,Germany,Belgium,0,3,Friendly,Duisburg,Germany,False
1911-03-19,Belgium,Netherlands,1,5,Friendly,Antwerp,Belgium,False
1911-04-02,Netherlands,Belgium,3,1,Friendly,Dordrecht,Netherlands,False
1911-04-23,Belgium,Germany,2,1,Friendly,Liège,Belgium,False
1911-04-30,Belgium,France,7,1,Friendly,Uccle,Belgium,False
1912-01-28,France,Belgium,1,1,Friendly,Saint-Ouen,France,False
1912-02-20,Belgium,Switzerland,9,2,Friendly,Antwerp,Belgium,False
1912-03-10,Belgium,Netherlands,1,2,Friendly,Antwerp,Belgium,False
1912-04-28,Netherlands,Belgium,4,3,Friendly,Dordrecht,Netherlands,False
1913-02-16,Belgium,France,3,0,Friendly,Brussels,Belgium,False
1913-03-09,Belgium,Netherlands,3,3,Friendly,Antwerp,Belgium,False
1913-04-20,Netherlands,Belgium,2,4,Friendly,Zwolle,Netherlands,False
1913-05-01,Italy,Belgium,1,0,Friendly,Turin,Italy,False
1913-05-04,Switzerland,Belgium,1,2,Friendly,Basel,Switzerland,False
1913-11-02,Belgium,Switzerland,2,0,Friendly,Verviers,Belgium,False
1913-11-23,Belgium,Germany,6,2,Friendly,Antwerp,Belgium,False
1914-01-25,France,Belgium,4,3,Friendly,Lille,France,False
1914-03-15,Belgium,Netherlands,2,4,Friendly,Antwerp,Belgium,False
1914-04-26,Netherlands,Belgium,4,2,Friendly,Amsterdam,Netherlands,False
1919-03-09,Belgium,France,2,2,Friendly,Brussels,Belgium,False
1919-06-24,Czechoslovakia,Belgium,4,1,Inter-Allied Games,Paris,France,True
1919-06-26,Belgium,Canada,5,2,Inter-Allied Games,Paris,France,True
1919-06-28,Belgium,United States,7,0,Inter-Allied Games,Paris,France,True
1920-03-28,France,Belgium,2,1,Friendly,Paris,France,False
1920-08-29,Belgium,Spain,3,1,Olympic Games,Antwerp,Belgium,False
1920-08-31,Belgium,Netherlands,3,0,Olympic Games,Antwerp,Belgium,False
1920-09-02,Belgium,Czechoslovakia,2,0,Olympic Games,Antwerp,Belgium,False
1921-03-06,Belgium,France,3,1,Friendly,Forest,Belgium,False
1921-05-05,Belgium,Italy,2,3,Friendly,Antwerp,Belgium,False
1921-05-15,Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False
1921-05-21,Belgium,England,0,2,Friendly,Brussels,Belgium,False
1922-01-15,France,Belgium,2,1,Friendly,Colombes,France,False
1922-03-26,Belgium,Netherlands,4,0,Friendly,Antwerp,Belgium,False
1922-04-15,Belgium,Denmark,0,0,Friendly,Liège,Belgium,False
1922-05-07,Netherlands,Belgium,1,2,Friendly,Amsterdam,Netherlands,False
1922-05-21,Italy,Belgium,4,2,Friendly,Milan,Italy,False
1923-02-04,Belgium,Spain,1,0,Friendly,Antwerp,Belgium,False
1923-02-25,Belgium,France,4,1,Friendly,Forest,Belgium,False
1923-03-19,England,Belgium,6,1,Friendly,London,England,False
1923-04-29,Netherlands,Belgium,1,1,Friendly,Amsterdam,Netherlands,False
1923-11-01,Belgium,England,2,2,Friendly,Antwerp,Belgium,False
1924-01-13,France,Belgium,2,0,Friendly,Montrouge,France,False
1924-03-23,Netherlands,Belgium,1,1,Friendly,Amsterdam,Netherlands,False
1924-04-27,Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False
