Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1983-12-08,Belize,Canada,0,2,Friendly,Belmopan,Belize,False
1995-11-29,El Salvador,Belize,3,0,UNCAF Cup,San Salvador,El Salvador,False
1995-12-01,Costa Rica,Belize,2,1,UNCAF Cup,San Salvador,El Salvador,True
1996-06-02,Belize,Panama,1,2,FIFA World Cup qualification,Belize City,Belize,False
1996-06-09,Panama,Belize,4,1,FIFA World Cup qualification,Panama City,Panama,False
1997-03-23,Panama,Belize,1,1,UNCAF Cup,Panama City,Panama,False
1997-03-30,Belize,Panama,0,1,UNCAF Cup,San Ignacio,Belize,False
1999-03-17,Costa Rica,Belize,7,0,UNCAF Cup,San José,Costa Rica,False
1999-03-19,Honduras,Belize,5,1,UNCAF Cup,San José,Costa Rica,True
2000-03-05,El Salvador,Belize,5,0,FIFA World Cup qualification,San Salvador,El Salvador,False
2000-03-19,Belize,Guatemala,1,2,FIFA World Cup qualification,San Pedro Sula,Honduras,True
2000-04-16,Belize,El Salvador,1,3,FIFA World Cup qualification,Orange Walk,Belize,False
2000-05-19,Guatemala,Belize,0,0,FIFA World Cup qualification,San Pedro Sula,Honduras,True
2001-04-24,Belize,Nicaragua,2,0,Friendly,Belize City,Belize,False
2001-04-26,Belize,Nicaragua,2,1,Friendly,Belize City,Belize,False
2001-05-23,Costa Rica,Belize,4,0,UNCAF Cup,San Pedro Sula,Honduras,True
2001-05-25,Guatemala,Belize,3,3,UNCAF Cup,Puerto Cortés,Honduras,True
2001-06-24,Belize,Cuba,3,2,Friendly,Belize City,Belize,False
2002-03-27,Belize,Guyana,3,1,Friendly,Belize City,Belize,False
2002-04-17,Belize,Nicaragua,7,1,Friendly,Belize City,Belize,False
2004-06-13,Canada,Belize,4,0,FIFA World Cup qualification,Kingston,Canada,False
2004-06-16,Canada,Belize,4,0,FIFA World Cup qualification,Kingston,Canada,False
2005-02-19,Guatemala,Belize,2,0,UNCAF Cup,Guatemala City,Guatemala,False
2005-02-21,Belize,Honduras,0,4,UNCAF Cup,Guatemala City,Guatemala,True
2005-02-23,Nicaragua,Belize,1,0,UNCAF Cup,Guatemala City,Guatemala,True
2007-02-08,El Salvador,Belize,2,1,UNCAF Cup,San Salvador,El Salvador,False
2007-02-10,Guatemala,Belize,1,0,UNCAF Cup,San Salvador,El Salvador,True
2007-02-12,Nicaragua,Belize,4,2,UNCAF Cup,San Salvador,El Salvador,True
2008-01-22,Belize,El Salvador,0,1,Friendly,San Ignacio,Belize,False
2008-02-06,Belize,Saint Kitts and Nevis,3,1,FIFA World Cup qualification,Guatemala City,Guatemala,True
2008-03-26,Saint Kitts and Nevis,Belize,1,1,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,False
2008-05-23,Honduras,Belize,2,0,Friendly,San Pedro Sula,Honduras,False
2008-06-15,Belize,Mexico,0,2,FIFA World Cup qualification,Houston,United States,True
2008-06-21,Mexico,Belize,7,0,FIFA World Cup qualification,Monterrey,Mexico,False
2009-01-22,Honduras,Belize,2,1,UNCAF Cup,Tegucigalpa,Honduras,False
