Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1959-11-08,Benin,Nigeria,0,1,Friendly,Cotonou,Dahomey,False
1959-11-28,Nigeria,Benin,10,1,Friendly,Lagos,Nigeria,False
1960-04-14,Ivory Coast,Benin,3,2,Friendly,Antananarivo,Madagascar,True
1960-04-14,Ivory Coast,Benin,3,2,African Friendship Games,Tananarive,Madagascar,True
1961-12-26,Benin,Mauritania,7,0,African Friendship Games,Abidjan,Ivory Coast,True
1961-12-27,Benin,Madagascar,3,1,African Friendship Games,Abidjan,Ivory Coast,True
1961-12-31,Benin,Senegal,4,3,African Friendship Games,Abidjan,Ivory Coast,True
1963-01-27,Benin,Nigeria,1,1,Friendly,Cotonou,Dahomey,False
1963-02-02,Nigeria,Benin,4,1,Friendly,Benin City,Nigeria,False
1963-04-12,Madagascar,Benin,1,0,African Friendship Games,Dakar,Senegal,True
1963-04-14,Benin,Liberia,1,0,African Friendship Games,Dakar,Senegal,True
1963-04-16,Benin,Chad,6,2,African Friendship Games,Dakar,Senegal,True
1964-01-31,Cameroon,Benin,2,4,Friendly,Yaoundé,Cameroon,False
1965-06-27,Congo,Benin,1,6,Friendly,Brazzaville,Congo,False
1965-12-11,Nigeria,Benin,0,1,Friendly,Lagos,Nigeria,False
1966-02-27,Benin,Nigeria,1,2,Friendly,Cotonou,Dahomey,False
1966-04-10,Benin,Ghana,2,5,Friendly,Cotonou,Dahomey,False
1966-04-26,Togo,Benin,1,0,Friendly,Lomé,Togo,False
1966-05-29,Benin,Togo,2,2,Friendly,Cotonou,Dahomey,False
1967-03-05,Benin,Congo,1,1,Friendly,Cotonou,Dahomey,False
1967-07-08,Benin,Ghana,2,1,Friendly,Cotonou,Dahomey,False
1967-11-24,Benin,DR Congo,2,5,Friendly,Cotonou,Dahomey,False
1968-04-10,Benin,Guinea,2,5,Friendly,Cotonou,Dahomey,False
1968-09-22,Ghana,Benin,3,0,Friendly,Accra,Ghana,False
1969-01-19,Benin,Niger,1,1,Friendly,Cotonou,Dahomey,False
1969-08-24,Benin,Gabon,1,0,Friendly,Cotonou,Dahomey,False
1970-11-01,Benin,Congo,3,2,Friendly,Cotonou,Dahomey,False
1970-11-08,Togo,Benin,2,1,African Cup of Nations qualification,Lomé,Togo,False
1970-11-22,Benin,Togo,0,0,African Cup of Nations qualification,Porto-Novo,Dahomey,False
1972-01-20,Togo,Benin,4,0,Friendly,Lomé,Togo,False
1972-02-06,Congo,Benin,2,2,Friendly,Brazzaville,Congo,False
1972-06-16,Benin,Congo,5,3,Friendly,Cotonou,Dahomey,False
1972-06-18,Benin,Ghana,0,5,FIFA World Cup qualification,Cotonou,Dahomey,True
1972-07-02,Ghana,Benin,5,1,FIFA World Cup qualification,Kumasi,Ghana,False
