Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1964-08-10,Iceland,Bermuda,4,3,Friendly,Reykjavík,Iceland,False
1965-12-28,Bermuda,Jamaica,0,3,Friendly,Hamilton,Bermuda,False
1968-10-06,Canada,Bermuda,4,0,FIFA World Cup qualification,Toronto,Canada,False
1968-10-20,Bermuda,Canada,0,0,FIFA World Cup qualification,Hamilton,Bermuda,False
1968-11-02,United States,Bermuda,6,2,FIFA World Cup qualification,Kansas City,United States,False
1968-11-11,Bermuda,United States,0,2,FIFA World Cup qualification,Hamilton,Bermuda,False
1969-01-12,Bermuda,Denmark,1,5,Friendly,Hamilton,Bermuda,False
1969-06-23,Iceland,Bermuda,2,1,Friendly,Reykjavík,Iceland,False
1969-07-01,Denmark,Bermuda,6,0,Friendly,Aalborg,Denmark,False
1969-07-03,Norway,Bermuda,3,0,Friendly,Stavanger,Norway,False
1969-10-21,Mexico,Bermuda,3,0,CONCACAF Championship qualification,Mexico City,Mexico,False
1969-11-02,Bermuda,Mexico,2,1,CONCACAF Championship qualification,Hamilton,Bermuda,False
1969-11-11,Bermuda,Iceland,3,2,Friendly,Hamilton,Bermuda,False
1970-04-14,Haiti,Bermuda,1,1,Friendly,Port-au-Prince,Haiti,False
1971-10-06,Bermuda,Mexico,0,2,CONCACAF Championship qualification,Hamilton,Bermuda,False
1971-10-06,Mexico,Bermuda,4,0,CONCACAF Championship qualification,Mexico City,Mexico,False
1972-12-24,Bermuda,Jamaica,0,0,Friendly,Hamilton,Bermuda,False
1972-12-27,Bermuda,Jamaica,0,3,Friendly,Hamilton,Bermuda,False
1973-03-17,Bermuda,United States,4,0,Friendly,Hamilton,Bermuda,False
1973-09-09,United States,Bermuda,1,0,Friendly,Hartford,United States,False
1974-04-12,Bermuda,Canada,0,0,Friendly,Hamilton,Bermuda,False
1974-12-26,Bermuda,Suriname,2,1,Friendly,Hamilton,Bermuda,False
1974-12-29,Bermuda,Suriname,1,3,Friendly,Hamilton,Bermuda,False
1975-01-03,Bermuda,Suriname,2,5,Friendly,Hamilton,Bermuda,False
1975-12-26,Bermuda,Suriname,1,5,Friendly,Hamilton,Bermuda,False
1979-10-07,Bermuda,United States,1,3,Friendly,Hamilton,Bermuda,False
1979-11-26,Bermuda,Finland,0,2,Friendly,Hamilton,Bermuda,False
1982-05-08,Trinidad and Tobago,Bermuda,2,2,Friendly,Arima,Trinidad and Tobago,False
1982-05-12,Trinidad and Tobago,Bermuda,4,2,Friendly,Port of Spain,Trinidad and Tobago,False
1982-05-15,Barbados,Bermuda,2,1,Friendly,Bridgetown,Barbados,False
1982-05-17,Barbados,Bermuda,0,0,Friendly,Bridgetown,Barbados,False
1982-12-26,Bermuda,Trinidad and Tobago,2,2,Friendly,Hamilton,Bermuda,False
1982-12-30,Bermuda,Trinidad and Tobago,2,2,Friendly,Hamilton,Bermuda,False
1988-02-18,Bermuda,Canada,0,0,Friendly,Hamilton,Bermuda,False
1989-04-12,Barbados,Bermuda,1,2,Friendly,Bridgetown,Barbados,False
1989-04-14,Barbados,Bermuda,2,1,Friendly,Bridgetown,Barbados,False
1989-04-16,Trinidad and Tobago,Bermuda,1,1,Friendly,Port of Spain,Trinidad and Tobago,False
1989-04-18,Trinidad and Tobago,Bermuda,0,1,Friendly,Arima,Trinidad and Tobago,False
1989-11-14,United States,Bermuda,2,1,Friendly,Cocoa Beach,United States,False
1990-02-13,Bermuda,United States,0,1,Friendly,Hamilton,Bermuda,False
1990-04-03,Bermuda,Iceland,0,4,Friendly,Hamilton,Bermuda,False
1990-04-14,Bermuda,Antigua and Barbuda,2,2,CFU Caribbean Cup qualification,Hamilton,Bermuda,False
1990-04-16,Bermuda,Antigua and Barbuda,3,0,Friendly,Hamilton,Bermuda,False
1990-05-13,Saint Lucia,Bermuda,0,2,CFU Caribbean Cup qualification,Castries,Saint Lucia,False
1990-05-26,Bermuda,Barbados,1,1,CFU Caribbean Cup qualification,Hamilton,Bermuda,False
1990-05-29,Bermuda,Barbados,3,0,Friendly,Hamilton,Bermuda,False
1991-02-21,Bermuda,United States,1,0,Friendly,Hamilton,Bermuda,False
1991-09-12,Bermuda,Jamaica,1,1,Friendly,Hamilton,Bermuda,False
1992-02-04,Bermuda,Norway,1,3,Friendly,Hamilton,Bermuda,False
1992-04-12,Jamaica,Bermuda,0,0,Friendly,Kingston,Jamaica,False
1992-04-26,Bermuda,Haiti,1,0,FIFA World Cup qualification,Hamilton,Bermuda,False
1992-05-25,Haiti,Bermuda,2,1,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1992-06-14,Antigua and Barbuda,Bermuda,0,3,FIFA World Cup qualification,St. John's,Antigua and Barbuda,False
1992-07-04,Bermuda,Antigua and Barbuda,2,1,FIFA World Cup qualification,Hamilton,Bermuda,False
1992-10-18,Bermuda,El Salvador,1,0,FIFA World Cup qualification,Hamilton,Bermuda,False
1992-10-25,Bermuda,Jamaica,1,1,FIFA World Cup qualification,Hamilton,Bermuda,False
1992-11-01,El Salvador,Bermuda,4,1,FIFA World Cup qualification,San Salvador,El Salvador,False
1992-11-08,Jamaica,Bermuda,3,2,FIFA World Cup qualification,Kingston,Jamaica,False
1992-11-15,Canada,Bermuda,4,2,FIFA World Cup qualification,Burnaby,Canada,False
1992-12-06,Bermuda,Canada,0,0,FIFA World Cup qualification,Hamilton,Bermuda,False
1997-02-21,Jamaica,Bermuda,1,0,CFU Caribbean Cup qualification,Kingston,Jamaica,False
