Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1982-04-01,Nepal,Bhutan,3,1,Friendly,Kathmandu,Nepal,False
1984-09-18,Bangladesh,Bhutan,2,0,South Asian Games,Kathmandu,Nepal,True
1984-09-20,Nepal,Bhutan,5,0,South Asian Games,Kathmandu,Nepal,False
1984-09-21,Maldives,Bhutan,1,0,South Asian Games,Kathmandu,Nepal,True
1985-12-22,Nepal,Bhutan,1,0,South Asian Games,Dhaka,Bangladesh,True
1985-12-23,India,Bhutan,3,0,South Asian Games,Dhaka,Bangladesh,True
1986-06-07,Nepal,Bhutan,4,0,Friendly,Kathmandu,Nepal,False
1987-11-22,Bangladesh,Bhutan,3,0,South Asian Games,Calcutta,India,True
1987-11-23,Nepal,Bhutan,6,2,South Asian Games,Calcutta,India,True
1999-09-26,Nepal,Bhutan,7,0,South Asian Games,Kathmandu,Nepal,False
1999-09-28,India,Bhutan,3,0,South Asian Games,Kathmandu,Nepal,True
1999-09-30,Pakistan,Bhutan,2,1,South Asian Games,Kathmandu,Nepal,True
2000-02-12,Nepal,Bhutan,3,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2000-02-14,Kuwait,Bhutan,20,0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2000-02-16,Bhutan,Turkmenistan,0,8,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2000-02-18,Yemen,Bhutan,11,2,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2001-04-28,Bangladesh,Bhutan,3,1,Friendly,Dhaka,Bangladesh,False
2002-06-30,Bhutan,Montserrat,4,0,The Other Final,Thimphu,Bhutan,False
2003-01-11,Maldives,Bhutan,6,0,SAFF Cup,Dhaka,Bangladesh,True
2003-01-13,Nepal,Bhutan,2,0,SAFF Cup,Dhaka,Bangladesh,True
2003-01-15,Bangladesh,Bhutan,3,0,SAFF Cup,Dhaka,Bangladesh,False
2003-04-23,Bhutan,Guam,6,0,AFC Asian Cup qualification,Thimphu,Bhutan,False
2003-04-27,Bhutan,Mongolia,0,0,AFC Asian Cup qualification,Thimphu,Bhutan,False
2003-10-06,Indonesia,Bhutan,2,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
2003-10-08,Saudi Arabia,Bhutan,6,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
2003-10-10,Bhutan,Yemen,0,8,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
2003-10-13,Bhutan,Indonesia,0,2,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
2003-10-15,Saudi Arabia,Bhutan,4,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
2003-10-17,Yemen,Bhutan,4,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
2005-12-08,Bangladesh,Bhutan,3,0,SAFF Cup,Karachi,Pakistan,True
2005-12-10,India,Bhutan,3,0,SAFF Cup,Karachi,Pakistan,True
2005-12-12,Nepal,Bhutan,3,1,SAFF Cup,Karachi,Pakistan,True
2006-04-02,Nepal,Bhutan,2,0,AFC Challenge Cup,Chittagong,Bangladesh,True
2006-04-04,Bhutan,Sri Lanka,0,1,AFC Challenge Cup,Chittagong,Bangladesh,True
2006-04-06,Bhutan,Brunei,0,0,AFC Challenge Cup,Chittagong,Bangladesh,True
2007-11-02,Bhutan,Tibet,3,0,Friendly,Gangtok,India,True
2008-05-13,Tajikistan,Bhutan,3,1,AFC Challenge Cup qualification,Barotac Nuevo,Philippines,True
2008-05-15,Bhutan,Brunei,1,1,AFC Challenge Cup qualification,Barotac Nuevo,Philippines,True
2008-05-17,Philippines,Bhutan,3,0,AFC Challenge Cup qualification,Barotac Nuevo,Philippines,False
2008-06-04,Bangladesh,Bhutan,1,1,SAFF Cup,Colombo,Sri Lanka,True
2008-06-06,Sri Lanka,Bhutan,2,0,SAFF Cup,Colombo,Sri Lanka,False
2008-06-08,Afghanistan,Bhutan,1,3,SAFF Cup,Colombo,Sri Lanka,True
2008-06-11,India,Bhutan,2,1,SAFF Cup,Malé,Maldives,True
2009-04-14,Philippines,Bhutan,1,0,AFC Challenge Cup qualification,Malé,Maldives,True
2009-04-16,Bhutan,Turkmenistan,0,7,AFC Challenge Cup qualification,Malé,Maldives,True
2009-04-18,Maldives,Bhutan,5,0,AFC Challenge Cup qualification,Malé,Maldives,False
2009-12-04,Bangladesh,Bhutan,4,1,SAFF Cup,Dhaka,Bangladesh,False
2009-12-06,Sri Lanka,Bhutan,6,0,SAFF Cup,Dhaka,Bangladesh,True
