Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1926-10-12,Chile,Bolivia,7,1,Copa América,Santiago,Chile,False
1926-10-16,Argentina,Bolivia,5,0,Copa América,Santiago,Chile,True
1926-10-23,Bolivia,Paraguay,1,6,Copa América,Santiago,Chile,True
1926-10-28,Bolivia,Uruguay,0,6,Copa América,Santiago,Chile,True
1927-10-30,Argentina,Bolivia,7,1,Copa América,Lima,Peru,True
1927-11-06,Bolivia,Uruguay,0,9,Copa América,Lima,Peru,True
1927-11-13,Peru,Bolivia,3,2,Copa América,Lima,Peru,False
1930-07-17,Bolivia,Yugoslavia,0,4,FIFA World Cup,Montevideo,Uruguay,True
1930-07-20,Bolivia,Brazil,0,4,FIFA World Cup,Montevideo,Uruguay,True
1938-08-08,Bolivia,Ecuador,1,1,Bolivarian Games,Bogotá,Colombia,True
1938-08-11,Bolivia,Venezuela,3,1,Bolivarian Games,Bogotá,Colombia,True
1938-08-14,Bolivia,Peru,0,3,Bolivarian Games,Bogota,Colombia,True
1938-08-16,Colombia,Bolivia,1,2,Bolivarian Games,Bogotá,Colombia,False
1938-08-22,Bolivia,Ecuador,2,1,Bolivarian Games,Bogotá,Colombia,True
1945-01-18,Argentina,Bolivia,4,0,Copa América,Santiago,Chile,True
1945-01-24,Chile,Bolivia,5,0,Copa América,Santiago,Chile,False
1945-01-28,Bolivia,Brazil,0,2,Copa América,Santiago,Chile,True
1945-02-11,Bolivia,Ecuador,0,0,Copa América,Santiago,Chile,True
1945-02-15,Bolivia,Uruguay,0,2,Copa América,Santiago,Chile,True
1945-02-21,Bolivia,Colombia,3,3,Copa América,Santiago,Chile,True
1946-01-16,Bolivia,Brazil,0,3,Copa América,Buenos Aires,Argentina,True
1946-01-19,Argentina,Bolivia,7,1,Copa América,Buenos Aires,Argentina,False
1946-01-26,Bolivia,Paraguay,2,4,Copa América,Buenos Aires,Argentina,True
1946-01-29,Bolivia,Uruguay,0,5,Copa América,Avellaneda,Argentina,True
1946-02-08,Bolivia,Chile,1,4,Copa América,Buenos Aires,Argentina,True
1947-01-05,Venezuela,Bolivia,2,2,Bolivarian Games,Lima,Peru,True
1947-11-30,Ecuador,Bolivia,2,2,Copa América,Guayaquil,Ecuador,False
1947-12-04,Argentina,Bolivia,7,0,Copa América,Guayaquil,Ecuador,True
1947-12-09,Bolivia,Uruguay,0,3,Copa América,Guayaquil,Ecuador,True
1947-12-13,Bolivia,Colombia,0,0,Copa América,Guayaquil,Ecuador,True
1947-12-18,Bolivia,Paraguay,1,3,Copa América,Guayaquil,Ecuador,True
1947-12-27,Bolivia,Peru,0,2,Copa América,Guayaquil,Ecuador,True
1947-12-31,Bolivia,Chile,3,4,Copa América,Guayaquil,Ecuador,True
1949-04-06,Bolivia,Chile,3,2,Copa América,São Paulo,Brazil,True
1949-04-10,Brazil,Bolivia,10,1,Copa América,São Paulo,Brazil,False
1949-04-17,Bolivia,Uruguay,3,2,Copa América,Rio de Janeiro,Brazil,True
1949-04-25,Bolivia,Ecuador,2,0,Copa América,São Paulo,Brazil,True
1949-04-27,Bolivia,Peru,0,3,Copa América,Santos,Brazil,True
1949-04-30,Bolivia,Paraguay,0,7,Copa América,Rio de Janeiro,Brazil,True
1949-05-06,Bolivia,Colombia,4,0,Copa América,Rio de Janeiro,Brazil,True
1950-02-26,Bolivia,Chile,2,0,Friendly,La Paz,Bolivia,False
1950-03-12,Chile,Bolivia,5,0,Friendly,Santiago,Chile,False
1950-07-02,Bolivia,Uruguay,0,8,FIFA World Cup,Belo Horizonte,Brazil,True
1953-02-22,Peru,Bolivia,0,1,Copa América,Lima,Peru,False
1953-02-25,Bolivia,Uruguay,0,2,Copa América,Lima,Peru,True
1953-03-01,Bolivia,Brazil,1,8,Copa América,Lima,Peru,True
1953-03-08,Bolivia,Ecuador,1,1,Copa América,Lima,Peru,True
1953-03-16,Bolivia,Paraguay,1,2,Copa América,Lima,Peru,True
1953-03-28,Bolivia,Chile,2,2,Copa América,Lima,Peru,True
1957-06-06,Paraguay,Bolivia,5,2,Copa Paz del Chaco,Asunción,Paraguay,False
1957-06-13,Paraguay,Bolivia,0,1,Copa Paz del Chaco,Asunción,Paraguay,False
1957-08-18,Bolivia,Paraguay,3,3,Copa Paz del Chaco,La Paz,Bolivia,False
1957-08-21,Bolivia,Paraguay,2,1,Copa Paz del Chaco,La Paz,Bolivia,False
1957-09-22,Chile,Bolivia,2,1,FIFA World Cup qualification,Santiago,Chile,False
1957-09-29,Bolivia,Chile,3,0,FIFA World Cup qualification,La Paz,Bolivia,False
1957-10-06,Bolivia,Argentina,2,0,FIFA World Cup qualification,La Paz,Bolivia,False
1957-10-27,Argentina,Bolivia,4,0,FIFA World Cup qualification,Avellaneda,Argentina,False
1959-03-08,Bolivia,Uruguay,0,7,Copa América,Buenos Aires,Argentina,True
1959-03-11,Argentina,Bolivia,2,0,Copa América,Buenos Aires,Argentina,False
1959-03-15,Bolivia,Paraguay,0,5,Copa América,Buenos Aires,Argentina,True
1959-03-21,Bolivia,Brazil,2,4,Copa América,Buenos Aires,Argentina,True
1959-03-26,Bolivia,Chile,2,5,Copa América,Buenos Aires,Argentina,True
1959-03-29,Bolivia,Peru,0,0,Copa América,Buenos Aires,Argentina,True
