Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1995-11-30,Albania,Bosnia and Herzegovina,2,0,Friendly,Tirana,Albania,False
1996-04-21,Paraguay,Bosnia and Herzegovina,3,0,Friendly,Asunción,Paraguay,False
1996-04-24,Bosnia and Herzegovina,Albania,0,0,Friendly,Zenica,Bosnia and Herzegovina,False
1996-09-01,Greece,Bosnia and Herzegovina,3,0,FIFA World Cup qualification,Kalamáta,Greece,False
1996-10-08,Bosnia and Herzegovina,Croatia,1,4,FIFA World Cup qualification,Bologna,Italy,True
1996-11-06,Bosnia and Herzegovina,Italy,2,1,Friendly,Sarajevo,Bosnia and Herzegovina,False
1996-11-10,Slovenia,Bosnia and Herzegovina,1,2,FIFA World Cup qualification,Ljubljana,Slovenia,False
1996-12-18,Brazil,Bosnia and Herzegovina,1,0,Friendly,Manaus,Brazil,False
1997-02-22,Bosnia and Herzegovina,Vietnam,4,0,Dunhill Cup,Kuala Lumpur,Malaysia,True
1997-02-24,Bosnia and Herzegovina,Zimbabwe,2,2,Dunhill Cup,Kuala Lumpur,Malaysia,True
1997-02-26,Bosnia and Herzegovina,Indonesia,2,0,Dunhill Cup,Kuala Lumpur,Malaysia,True
1997-02-28,Malaysia,Bosnia and Herzegovina,0,1,Dunhill Cup,Kuala Lumpur,Malaysia,False
1997-03-02,Bosnia and Herzegovina,China PR,0,3,Dunhill Cup,Kuala Lumpur,Malaysia,True
1997-04-02,Bosnia and Herzegovina,Greece,0,1,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
1997-06-08,Denmark,Bosnia and Herzegovina,2,0,FIFA World Cup qualification,Copenhagen,Denmark,False
1997-08-20,Bosnia and Herzegovina,Denmark,3,0,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
1997-09-06,Croatia,Bosnia and Herzegovina,3,2,FIFA World Cup qualification,Zagreb,Croatia,False
1997-09-10,Bosnia and Herzegovina,Slovenia,1,0,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
1997-11-05,Tunisia,Bosnia and Herzegovina,2,1,Friendly,Tunis,Tunisia,False
1998-05-14,Argentina,Bosnia and Herzegovina,5,0,Friendly,Córdoba,Argentina,False
1998-06-03,North Macedonia,Bosnia and Herzegovina,1,1,Friendly,Skopje,North Macedonia,False
1998-08-19,Bosnia and Herzegovina,Faroe Islands,1,0,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
1998-09-05,Bosnia and Herzegovina,Estonia,1,1,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
1998-10-10,Bosnia and Herzegovina,Czech Republic,1,3,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
1998-10-14,Lithuania,Bosnia and Herzegovina,4,2,UEFA Euro qualification,Vilnius,Lithuania,False
1999-01-27,Malta,Bosnia and Herzegovina,2,1,Friendly,Attard,Malta,False
1999-03-10,Hungary,Bosnia and Herzegovina,1,1,Friendly,Budapest,Hungary,False
1999-06-05,Bosnia and Herzegovina,Lithuania,2,0,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
1999-06-09,Faroe Islands,Bosnia and Herzegovina,2,2,UEFA Euro qualification,Toftir,Faroe Islands,False
1999-08-18,Liechtenstein,Bosnia and Herzegovina,0,0,Friendly,Vaduz,Liechtenstein,False
1999-09-04,Bosnia and Herzegovina,Scotland,1,2,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
1999-09-08,Czech Republic,Bosnia and Herzegovina,3,0,UEFA Euro qualification,Teplice,Czech Republic,False
1999-10-05,Scotland,Bosnia and Herzegovina,1,0,UEFA Euro qualification,Glasgow,Scotland,False
1999-10-09,Estonia,Bosnia and Herzegovina,1,4,UEFA Euro qualification,Tallinn,Estonia,False
2000-01-24,Qatar,Bosnia and Herzegovina,2,0,Friendly,Doha,Qatar,False
2000-03-11,Jordan,Bosnia and Herzegovina,0,0,Friendly,Zarqa,Jordan,False
2000-03-15,Jordan,Bosnia and Herzegovina,1,2,Friendly,Zarqa,Jordan,False
2000-03-29,Bosnia and Herzegovina,North Macedonia,1,0,Friendly,Zenica,Bosnia and Herzegovina,False
2000-08-16,Bosnia and Herzegovina,Turkey,2,0,Friendly,Sarajevo,Bosnia and Herzegovina,False
2000-09-02,Bosnia and Herzegovina,Spain,1,2,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
2000-10-11,Israel,Bosnia and Herzegovina,3,1,FIFA World Cup qualification,Ramat Gan,Israel,False
2001-01-12,Bosnia and Herzegovina,Bangladesh,2,0,Millennium Cup,Kochi,India,True
2001-01-14,Serbia,Bosnia and Herzegovina,1,1,Millennium Cup,Kochi,India,True
2001-01-22,Bosnia and Herzegovina,Chile,1,0,Millennium Cup,Calcutta,India,True
2001-01-25,Bosnia and Herzegovina,Serbia,0,2,Millennium Cup,Calcutta,India,True
2001-02-28,Bosnia and Herzegovina,Hungary,1,1,Friendly,Zenica,Bosnia and Herzegovina,False
2001-03-24,Bosnia and Herzegovina,Austria,1,1,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
2001-03-28,Liechtenstein,Bosnia and Herzegovina,0,3,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2001-06-02,Spain,Bosnia and Herzegovina,4,1,FIFA World Cup qualification,Oviedo,Spain,False
2001-06-21,Slovakia,Bosnia and Herzegovina,0,1,Merdeka Tournament,Shah Alam,Malaysia,True
2001-06-23,Bahrain,Bosnia and Herzegovina,0,1,Merdeka Tournament,Shah Alam,Malaysia,True
2001-06-25,Malaysia,Bosnia and Herzegovina,2,2,Merdeka Tournament,Shah Alam,Malaysia,False
2001-06-30,Bosnia and Herzegovina,Uzbekistan,1,2,Merdeka Tournament,Shah Alam,Malaysia,True
2001-07-22,Bosnia and Herzegovina,Iran,2,2,Friendly,Bihać,Bosnia and Herzegovina,False
2001-08-10,Iran,Bosnia and Herzegovina,4,0,Friendly,Tehran,Iran,False
2001-08-15,Bosnia and Herzegovina,Malta,2,0,Friendly,Sarajevo,Bosnia and Herzegovina,False
2001-09-01,Bosnia and Herzegovina,Israel,0,0,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
2001-09-05,Austria,Bosnia and Herzegovina,2,0,FIFA World Cup qualification,Vienna,Austria,False
2001-10-07,Bosnia and Herzegovina,Liechtenstein,5,0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False
2002-03-27,Bosnia and Herzegovina,North Macedonia,4,4,Friendly,Sarajevo,Bosnia and Herzegovina,False
2002-04-17,Croatia,Bosnia and Herzegovina,2,0,Friendly,Zagreb,Croatia,False
2002-08-21,Bosnia and Herzegovina,Serbia,0,2,Friendly,Sarajevo,Bosnia and Herzegovina,False
2002-09-07,Bosnia and Herzegovina,Romania,0,3,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
2002-10-11,Bosnia and Herzegovina,Germany,1,1,Friendly,Sarajevo,Bosnia and Herzegovina,False
2002-10-16,Norway,Bosnia and Herzegovina,2,0,UEFA Euro qualification,Oslo,Norway,False
2003-02-12,Wales,Bosnia and Herzegovina,2,2,Friendly,Cardiff,Wales,False
2003-03-29,Bosnia and Herzegovina,Luxembourg,2,0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False
2003-04-02,Denmark,Bosnia and Herzegovina,0,2,UEFA Euro qualification,Copenhagen,Denmark,False
2003-06-07,Romania,Bosnia and Herzegovina,2,0,UEFA Euro qualification,Craiova,Romania,False
2003-09-06,Bosnia and Herzegovina,Norway,1,0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False
2003-09-10,Luxembourg,Bosnia and Herzegovina,0,1,UEFA Euro qualification,Luxembourg,Luxembourg,False
2003-10-11,Bosnia and Herzegovina,Denmark,1,1,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
2004-02-18,North Macedonia,Bosnia and Herzegovina,1,0,Friendly,Skopje,North Macedonia,False
2004-03-31,Luxembourg,Bosnia and Herzegovina,1,2,Friendly,Luxembourg,Luxembourg,False
2004-04-28,Bosnia and Herzegovina,Finland,1,0,Friendly,Zenica,Bosnia and Herzegovina,False
2004-08-18,France,Bosnia and Herzegovina,1,1,Friendly,Rennes,France,False
2004-09-08,Bosnia and Herzegovina,Spain,1,1,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False
2004-10-09,Bosnia and Herzegovina,Serbia,0,0,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
2005-02-02,Iran,Bosnia and Herzegovina,2,1,Friendly,Tehran,Iran,False
2005-03-26,Belgium,Bosnia and Herzegovina,4,1,FIFA World Cup qualification,Brussels,Belgium,False
