Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1971-05-22,Malaysia,Brunei,8,0,AFC Asian Cup qualification,Bangkok,Thailand,True
1971-05-24,Thailand,Brunei,10,0,AFC Asian Cup qualification,Bangkok,Thailand,False
1971-05-28,Indonesia,Brunei,9,0,AFC Asian Cup qualification,Bangkok,Thailand,True
1975-06-19,China PR,Brunei,10,1,AFC Asian Cup qualification,So Kon Po,Hong Kong,True
1977-11-20,Philippines,Brunei,4,1,Southeast Asian Games,Kuala Lumpur,Malaysia,True
1977-11-22,Indonesia,Brunei,4,0,Southeast Asian Games,Kuala Lumpur,Malaysia,True
1977-11-23,Malaysia,Brunei,7,0,Southeast Asian Games,Kuala Lumpur,Malaysia,False
1980-11-16,Brunei,Western Australia,0,2,King's Cup,Bangkok,Thailand,True
1980-11-20,Brunei,Singapore,0,3,King's Cup,Bangkok,Thailand,True
1982-10-07,Singapore,Brunei,7,0,Merlion Cup,Kallang,Singapore,False
1982-10-10,Brunei,Malaysia,0,4,Merlion Cup,Kallang,Singapore,True
1983-05-29,Myanmar,Brunei,1,2,Southeast Asian Games,Singapore,Singapore,True
1983-05-31,Thailand,Brunei,2,1,Southeast Asian Games,Singapore,Singapore,True
1983-06-02,Indonesia,Brunei,1,1,Southeast Asian Games,Singapore,Singapore,True
1983-06-04,Singapore,Brunei,4,0,Southeast Asian Games,Singapore,Singapore,False
1983-06-05,Malaysia,Brunei,5,0,Southeast Asian Games,Singapore,Singapore,True
1983-12-11,Singapore,Brunei,4,0,Merlion Cup,Kallang,Singapore,False
1984-03-06,Brunei,Japan,1,7,Friendly,Bandar Seri Begawan,Brunei,False
1985-02-17,Macau,Brunei,2,0,FIFA World Cup qualification,Macau,Macau,False
1985-02-23,Hong Kong,Brunei,8,0,FIFA World Cup qualification,Siu Sai Wan,Hong Kong,False
1985-02-26,China PR,Brunei,8,0,FIFA World Cup qualification,Macau,Macau,True
1985-03-01,Brunei,China PR,0,4,FIFA World Cup qualification,Siu Sai Wan,Hong Kong,True
1985-03-24,Brunei,Philippines,4,1,Friendly,Bandar Seri Begawan,Brunei,False
1985-04-06,Brunei,Hong Kong,1,5,FIFA World Cup qualification,Bandar Seri Begawan,Brunei,False
1985-04-13,Brunei,Macau,1,2,FIFA World Cup qualification,Bandar Seri Begawan,Brunei,False
1985-10-13,Brunei,Malaysia,0,4,Merlion Cup,Kallang,Singapore,True
1985-10-16,Singapore,Brunei,2,1,Merlion Cup,Kallang,Singapore,False
1985-12-11,Brunei,Indonesia,1,1,Southeast Asian Games,Bangkok,Thailand,True
1985-12-13,Singapore,Brunei,3,0,Southeast Asian Games,Bangkok,Thailand,True
1987-09-10,Thailand,Brunei,3,1,Southeast Asian Games,Jakarta,Indonesia,True
1987-09-12,Indonesia,Brunei,2,0,Southeast Asian Games,Jakarta,Indonesia,False
1989-08-21,Indonesia,Brunei,6,0,Southeast Asian Games,Kuala Lumpur,Malaysia,True
1989-08-23,Malaysia,Brunei,2,1,Southeast Asian Games,Kuala Lumpur,Malaysia,False
1989-08-25,Brunei,Philippines,2,0,Southeast Asian Games,Kuala Lumpur,Malaysia,True
1991-06-22,Philippines,Brunei,2,1,Friendly,Manila,Philippines,False
1993-06-07,Laos,Brunei,3,2,Southeast Asian Games,Singapore,Singapore,True
1993-06-09,Malaysia,Brunei,3,1,Southeast Asian Games,Jurong Stadium,Singapore,True
1993-06-11,Thailand,Brunei,5,2,Southeast Asian Games,Jurong Stadium,Singapore,True
1993-06-15,Myanmar,Brunei,6,0,Southeast Asian Games,Jurong Stadium,Singapore,True
1995-12-04,Singapore,Brunei,2,2,Southeast Asian Games,Chiang Mai,Thailand,True
1995-12-08,Laos,Brunei,3,0,Southeast Asian Games,Chiang Mai,Thailand,True
1995-12-10,Myanmar,Brunei,2,0,Southeast Asian Games,Chiang Mai,Thailand,True
1995-12-12,Philippines,Brunei,1,0,Southeast Asian Games,Chiang Mai,Thailand,True
1996-09-04,Singapore,Brunei,3,0,AFF Championship,Singapore,Singapore,False
1996-09-06,Thailand,Brunei,6,0,AFF Championship,Singapore,Singapore,True
1996-09-08,Brunei,Philippines,1,0,AFF Championship,Singapore,Singapore,True
1996-09-10,Brunei,Malaysia,0,6,AFF Championship,Singapore,Singapore,True
1997-10-05,Brunei,Cambodia,0,4,Southeast Asian Games,Jakarta,Indonesia,True
1997-10-07,Brunei,Thailand,0,6,Southeast Asian Games,Jakarta,Indonesia,True
1997-10-09,Brunei,Myanmar,1,6,Southeast Asian Games,Jakarta,Indonesia,True
1997-10-12,Singapore,Brunei,1,0,Southeast Asian Games,Jakarta,Indonesia,True
1998-03-14,Myanmar,Brunei,4,1,AFF Championship qualification,Yangon,Myanmar,False
1998-03-16,Laos,Brunei,2,1,AFF Championship qualification,Yangon,Myanmar,True
1999-08-02,Brunei,Cambodia,3,3,Southeast Asian Games,Bandar Seri Begawan,Brunei,False
1999-08-04,Brunei,Singapore,1,3,Southeast Asian Games,Bandar Seri Begawan,Brunei,False
1999-08-06,Brunei,Malaysia,0,2,Southeast Asian Games,Bandar Seri Begawan,Brunei,False
1999-08-09,Brunei,Indonesia,0,3,Southeast Asian Games,Bandar Seri Begawan,Brunei,False
2000-02-13,Macau,Brunei,1,0,AFC Asian Cup qualification,Macau,Macau,False
2000-02-16,Japan,Brunei,9,0,AFC Asian Cup qualification,Macau,Macau,True
2000-02-20,Singapore,Brunei,1,0,AFC Asian Cup qualification,Macau,Macau,True
2001-04-07,Brunei,Yemen,0,5,FIFA World Cup qualification,Bandar Seri Begawan,Brunei,False
2001-04-14,Brunei,United Arab Emirates,0,12,FIFA World Cup qualification,Bandar Seri Begawan,Brunei,False
2001-04-27,Yemen,Brunei,1,0,FIFA World Cup qualification,Sana'a,Yemen,False
