Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1924-05-21,Austria,Bulgaria,6,0,Friendly,Vienna,Austria,False
1924-05-28,Republic of Ireland,Bulgaria,1,0,Olympic Games,Colombes,France,True
1925-04-10,Turkey,Bulgaria,2,1,Friendly,Istanbul,Turkey,False
1925-05-31,Bulgaria,Romania,2,4,Friendly,Sofia,Bulgaria,False
1926-04-25,Romania,Bulgaria,6,1,Friendly,Bucharest,Romania,False
1926-05-30,Yugoslavia,Bulgaria,3,1,Friendly,Zagreb,Yugoslavia,False
1927-05-15,Bulgaria,Yugoslavia,0,2,Friendly,Sofia,Bulgaria,False
1927-07-17,Bulgaria,Turkey,3,3,Friendly,Sofia,Bulgaria,False
1927-10-14,Turkey,Bulgaria,3,1,Friendly,Istanbul,Turkey,False
1929-04-21,Romania,Bulgaria,3,0,Friendly,Bucharest,Romania,False
1929-06-30,Bulgaria,Greece,1,1,Friendly,Sofia,Bulgaria,False
1929-09-15,Bulgaria,Romania,2,3,Friendly,Sofia,Bulgaria,False
1930-04-13,Yugoslavia,Bulgaria,6,1,Friendly,Belgrade,Yugoslavia,False
1930-06-15,Bulgaria,Yugoslavia,2,2,Friendly,Sofia,Bulgaria,False
1930-10-12,Bulgaria,Romania,5,3,Balkan Cup,Sofia,Bulgaria,False
1930-11-16,Bulgaria,Yugoslavia,0,3,Balkan Cup,Sofia,Bulgaria,False
1930-12-07,Greece,Bulgaria,6,1,Balkan Cup,Athens,Greece,False
1931-04-19,Yugoslavia,Bulgaria,1,0,Balkan Cup,Belgrade,Yugoslavia,False
1931-05-10,Romania,Bulgaria,5,2,Balkan Cup,Bucharest,Romania,False
1931-09-27,Bulgaria,Turkey,5,1,Balkan Cup,Sofia,Bulgaria,False
1931-10-04,Bulgaria,Yugoslavia,3,2,Balkan Cup,Sofia,Bulgaria,False
1931-10-25,Bulgaria,Greece,2,1,Balkan Cup,Sofia,Bulgaria,False
1932-03-27,Greece,Bulgaria,1,2,Friendly,Athens,Greece,False
1932-03-30,Greece,Bulgaria,2,2,Friendly,Athens,Greece,False
1932-06-09,Bulgaria,France,3,5,Friendly,Sofia,Bulgaria,False
1932-06-26,Bulgaria,Romania,2,0,Balkan Cup,Belgrade,Yugoslavia,True
1932-06-30,Yugoslavia,Bulgaria,2,3,Balkan Cup,Belgrade,Yugoslavia,False
1932-07-02,Bulgaria,Greece,2,0,Balkan Cup,Belgrade,Yugoslavia,True
1932-11-04,Turkey,Bulgaria,2,3,Friendly,Istanbul,Turkey,False
1933-05-21,Spain,Bulgaria,13,0,Friendly,Madrid,Spain,False
1933-06-04,Romania,Bulgaria,7,0,Balkan Cup,Bucharest,Romania,False
1933-06-07,Bulgaria,Yugoslavia,0,4,Balkan Cup,Bucharest,Romania,True
1933-06-10,Bulgaria,Greece,2,0,Balkan Cup,Bucharest,Romania,True
1934-03-18,Bulgaria,Yugoslavia,1,2,Friendly,Sofia,Bulgaria,False
1934-03-25,Bulgaria,Hungary,1,4,FIFA World Cup qualification,Sofia,Bulgaria,False
1934-04-01,Yugoslavia,Bulgaria,2,3,Friendly,Belgrade,Yugoslavia,False
1934-04-25,Austria,Bulgaria,6,1,FIFA World Cup qualification,Vienna,Austria,False
1934-04-29,Hungary,Bulgaria,4,1,FIFA World Cup qualification,Budapest,Hungary,False
1934-12-25,Bulgaria,Yugoslavia,3,4,Balkan Cup,Athens,Greece,True
1934-12-30,Bulgaria,Romania,2,3,Balkan Cup,Athens,Greece,True
1935-01-01,Greece,Bulgaria,1,2,Balkan Cup,Athens,Greece,False
1935-06-16,Bulgaria,Greece,5,2,Balkan Cup,Sofia,Bulgaria,False
1935-06-19,Bulgaria,Romania,4,0,Balkan Cup,Sofia,Bulgaria,False
1935-06-24,Bulgaria,Yugoslavia,3,3,Balkan Cup,Sofia,Bulgaria,False
1935-10-20,Germany,Bulgaria,4,2,Friendly,Leipzig,Germany,False
1936-05-21,Bulgaria,Greece,5,4,Balkan Cup,Bucharest,Romania,True
1936-05-24,Romania,Bulgaria,4,1,Balkan Cup,Bucharest,Romania,False
1937-09-12,Bulgaria,Poland,3,3,Friendly,Sofia,Bulgaria,False
1937-11-07,Bulgaria,Czechoslovakia,1,1,FIFA World Cup qualification,Sofia,Bulgaria,False
1938-03-24,France,Bulgaria,6,1,Friendly,Paris,France,False
1938-04-24,Czechoslovakia,Bulgaria,6,0,FIFA World Cup qualification,Prague,Czechoslovakia,False
1939-05-24,Bulgaria,Latvia,3,0,Friendly,Sofia,Bulgaria,False
1939-10-22,Bulgaria,Germany,1,2,Friendly,Sofia,Bulgaria,False
1940-06-06,Bulgaria,Slovakia,1,4,Friendly,Sofia,Bulgaria,False
1940-10-20,Germany,Bulgaria,7,3,Friendly,Munich,Germany,False
1942-07-19,Bulgaria,Germany,0,3,Friendly,Sofia,Bulgaria,False
