Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1953-09-19,Uganda,Burundi,9,1,Friendly,Kampala,Uganda,False
1964-10-09,Uganda,Burundi,7,5,Friendly,Kampala,Uganda,False
1971-12-05,Tanzania,Burundi,4,1,Friendly,Dar es Salaam,Tanzania,False
1974-08-10,Somalia,Burundi,0,2,African Cup of Nations qualification,Mogadishu,Somalia,False
1974-08-24,Burundi,Somalia,0,1,African Cup of Nations qualification,Bujumbura,Burundi,False
1975-03-24,Burundi,Egypt,0,3,African Cup of Nations qualification,Bujumbura,Burundi,False
1975-04-19,Egypt,Burundi,2,0,African Cup of Nations qualification,Cairo,Egypt,False
1976-07-07,Burundi,DR Congo,0,1,Friendly,Libreville,Gabon,True
1976-10-09,Uganda,Burundi,2,0,Friendly,Kampala,Uganda,False
1976-10-11,Uganda,Burundi,1,0,Friendly,Kampala,Uganda,False
1981-08-06,Uganda,Burundi,2,2,Friendly,Kampala,Uganda,False
1981-10-31,Burundi,Tanzania,1,2,Friendly,Bujumbura,Burundi,False
1981-11-02,Burundi,Tanzania,0,1,Friendly,Bujumbura,Burundi,False
1982-08-30,Burundi,Rwanda,1,0,Friendly,Bujumbura,Burundi,False
1987-07-06,Malawi,Burundi,1,1,Friendly,Blantyre,Malawi,False
1987-07-08,Malawi,Burundi,1,1,Friendly,Lilongwe,Malawi,False
1987-07-11,Malawi,Burundi,2,4,Friendly,Mzuzu,Malawi,False
1992-06-21,Gabon,Burundi,0,1,Friendly,Libreville,Gabon,False
1992-08-16,Burundi,Congo,1,0,African Cup of Nations qualification,Bujumbura,Burundi,False
1992-08-30,Guinea,Burundi,2,2,African Cup of Nations qualification,Conakry,Guinea,False
1992-10-09,Algeria,Burundi,3,1,FIFA World Cup qualification,Tlemcen,Algeria,False
1992-10-25,Burundi,Ghana,1,0,FIFA World Cup qualification,Bujumbura,Burundi,False
1993-01-17,Burundi,Algeria,0,0,FIFA World Cup qualification,Bujumbura,Burundi,False
1993-01-31,Ghana,Burundi,1,0,FIFA World Cup qualification,Kumasi,Ghana,False
1993-04-25,Congo,Burundi,0,0,African Cup of Nations qualification,Pointe-Noire,Congo,False
1993-07-11,Burundi,Guinea,2,2,African Cup of Nations qualification,Bujumbura,Burundi,False
1993-10-24,Burundi,Guinea,0,0,African Cup of Nations qualification,Libreville,Gabon,True
1996-06-02,Burundi,Sierra Leone,1,0,FIFA World Cup qualification,Bujumbura,Burundi,False
1996-06-16,Sierra Leone,Burundi,0,1,FIFA World Cup qualification,Freetown,Sierra Leone,False
1998-08-02,Burundi,Tanzania,1,0,African Cup of Nations qualification,Bujumbura,Burundi,False
1998-08-15,Tanzania,Burundi,0,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1998-12-13,Burundi,Senegal,1,0,African Cup of Nations qualification,Bujumbura,Burundi,False
1999-02-28,Burundi,Burkina Faso,1,2,African Cup of Nations qualification,Bujumbura,Burundi,False
1999-04-11,Burkina Faso,Burundi,3,1,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False
1999-06-19,Senegal,Burundi,1,0,African Cup of Nations qualification,Dakar,Senegal,False
1999-07-25,Burundi,Uganda,0,0,CECAFA Cup,Kigali,Rwanda,True
1999-07-27,Burundi,Somalia,3,0,CECAFA Cup,Kigali,Rwanda,True
1999-07-31,Burundi,Tanzania,1,0,CECAFA Cup,Kigali,Rwanda,True
1999-08-07,Rwanda,Burundi,0,0,Friendly,Kigali,Rwanda,False
2000-06-30,Djibouti,Burundi,1,3,African Cup of Nations qualification,Djibouti,Djibouti,False
2000-07-15,Burundi,Djibouti,1,0,African Cup of Nations qualification,Bujumbura,Burundi,False
2000-09-03,Burundi,Angola,0,0,African Cup of Nations qualification,Bujumbura,Burundi,False
2000-09-30,Kenya,Burundi,1,0,Friendly,Nairobi,Kenya,False
2000-10-03,Kenya,Burundi,2,3,Friendly,Nairobi,Kenya,False
2000-10-07,Burkina Faso,Burundi,1,0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False
2000-11-20,Uganda,Burundi,2,1,CECAFA Cup,Kampala,Uganda,False
2000-11-23,Djibouti,Burundi,2,4,CECAFA Cup,Kampala,Uganda,True
2000-11-27,Ethiopia,Burundi,1,0,CECAFA Cup,Kampala,Uganda,True
2001-01-12,Algeria,Burundi,2,1,African Cup of Nations qualification,Algiers,Algeria,False
2001-03-25,Burundi,Algeria,0,1,African Cup of Nations qualification,Bujumbura,Burundi,False
2001-06-03,Burundi,Burkina Faso,0,0,African Cup of Nations qualification,Bujumbura,Burundi,False
2001-06-17,Angola,Burundi,2,1,African Cup of Nations qualification,Cabinda,Angola,False
2001-12-09,Burundi,Tanzania,1,2,CECAFA Cup,Kigali,Rwanda,True
2001-12-11,Burundi,Djibouti,3,1,CECAFA Cup,Kigali,Rwanda,True
2001-12-14,Uganda,Burundi,0,2,CECAFA Cup,Kigali,Rwanda,True
2001-12-18,Ethiopia,Burundi,2,2,Friendly,Kigali,Rwanda,True
2002-10-13,South Africa,Burundi,2,0,African Cup of Nations qualification,Bloemfontein,South Africa,False
2002-12-01,Burundi,Eritrea,1,1,CECAFA Cup,Mwanza,Tanzania,True
2002-12-03,Kenya,Burundi,1,1,CECAFA Cup,Mwanza,Tanzania,True
2002-12-05,Tanzania,Burundi,2,0,CECAFA Cup,Mwanza,Tanzania,False
2002-12-07,Sudan,Burundi,2,1,CECAFA Cup,Mwanza,Tanzania,True
2003-03-15,Rwanda,Burundi,4,2,Friendly,Kigali,Rwanda,False
2003-03-26,Burundi,Burkina Faso,0,0,Friendly,Bujumbura,Burundi,False
2003-03-30,Burundi,Ivory Coast,0,1,African Cup of Nations qualification,Bujumbura,Burundi,False
2003-06-08,Ivory Coast,Burundi,6,1,African Cup of Nations qualification,Abidjan,Ivory Coast,False
2003-07-06,Burundi,South Africa,0,2,African Cup of Nations qualification,Bujumbura,Burundi,False
2003-10-12,Burundi,Gabon,0,0,FIFA World Cup qualification,Bujumbura,Burundi,False
2003-11-15,Gabon,Burundi,4,1,FIFA World Cup qualification,Libreville,Gabon,False
2004-12-11,Ethiopia,Burundi,2,1,CECAFA Cup,Addis Ababa,Ethiopia,False
2004-12-13,Burundi,Rwanda,3,1,CECAFA Cup,Addis Ababa,Ethiopia,True
2004-12-15,Tanzania,Burundi,0,2,CECAFA Cup,Addis Ababa,Ethiopia,True
2004-12-17,Burundi,Zanzibar,2,1,CECAFA Cup,Addis Ababa,Ethiopia,True
2004-12-22,Sudan,Burundi,1,2,CECAFA Cup,Addis Ababa,Ethiopia,True
