Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1954-11-01,Cambodia,Thailand,7,1,Friendly,Phnom Penh,Cambodia,False
1956-03-17,Malaysia,Cambodia,9,2,AFC Asian Cup qualification,Kuala Lumpur,Malaya,True
1956-04-24,Cambodia,Malaysia,3,2,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
1957-09-01,Cambodia,Thailand,0,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-03,Myanmar,Cambodia,2,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-05,Cambodia,Singapore,1,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-10-31,Cambodia,Malaysia,1,3,Friendly,Phnom Penh,Cambodia,False
1961-12-11,Myanmar,Cambodia,4,0,Southeast Asian Peninsular Games,Rangoon,Burma,False
1961-12-12,Malaysia,Cambodia,4,0,Southeast Asian Peninsular Games,Rangoon,Burma,True
1963-04-26,Cambodia,North Vietnam,2,3,Friendly,Jakarta,Indonesia,True
1963-04-27,Cambodia,China PR,0,6,Friendly,Jakarta,Indonesia,True
1964-08-23,Cambodia,Taiwan,0,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-08-27,Cambodia,India,0,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-09-01,Cambodia,Thailand,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-03,Cambodia,North Vietnam,1,1,Friendly,Pyongyang,North Korea,True
1965-08-06,Cambodia,Indonesia,0,0,Friendly,Pyongyang,North Korea,True
1965-08-07,Cambodia,China PR,1,3,Friendly,Pyongyang,North Korea,True
1965-08-10,North Korea,Cambodia,4,0,Friendly,Pyongyang,North Korea,False
1965-11-26,Cambodia,Australia,0,0,Friendly,Phnom Penh,Cambodia,False
1966-11-26,Cambodia,North Korea,0,2,GaNEFo,Phnom Penh,Cambodia,False
1966-11-27,Cambodia,China PR,0,4,GaNEFo,Phnom Penh,Cambodia,False
1966-11-29,Cambodia,Yemen,8,0,GaNEFo,Phnom Penh,Cambodia,False
1966-11-30,Cambodia,North Vietnam,2,2,GaNEFo,Phnom Penh,Cambodia,False
1967-11-16,Myanmar,Cambodia,1,0,AFC Asian Cup qualification,Yangon,Burma,False
1970-11-09,Cambodia,Malaysia,1,1,King's Cup,Bangkok,Thailand,True
1970-11-13,Cambodia,Vietnam Republic,2,2,King's Cup,Bangkok,Thailand,True
1970-11-15,Indonesia,Cambodia,4,1,King's Cup,Bangkok,Thailand,True
1970-12-10,Myanmar,Cambodia,2,1,Asian Games,Bangkok,Thailand,True
1970-12-12,Japan,Cambodia,1,0,Asian Games,Bangkok,Thailand,True
1970-12-14,Malaysia,Cambodia,0,2,Asian Games,Bangkok,Thailand,True
1971-05-03,Cambodia,Malaysia,1,3,Korea Cup,Seoul,South Korea,True
1971-05-05,Cambodia,Thailand,3,4,Korea Cup,Seoul,South Korea,True
1971-05-09,South Korea,Cambodia,2,0,Korea Cup,Seoul,South Korea,False
1971-05-21,Thailand,Cambodia,1,1,AFC Asian Cup qualification,Bangkok,Thailand,False
1971-05-24,Cambodia,Hong Kong,2,1,AFC Asian Cup qualification,Bangkok,Thailand,True
1971-05-26,Malaysia,Cambodia,2,1,AFC Asian Cup qualification,Bangkok,Thailand,True
1971-05-30,Cambodia,Indonesia,2,0,AFC Asian Cup qualification,Bangkok,Thailand,True
1971-06-01,Thailand,Cambodia,4,2,AFC Asian Cup qualification,Bangkok,Thailand,False
1971-06-06,Cambodia,Western Australia,2,2,Indonesia Tournament,Jakarta,Indonesia,True
1971-06-08,Cambodia,Malaysia,1,1,Indonesia Tournament,Jakarta,Indonesia,True
1971-06-12,Cambodia,Thailand,3,0,Indonesia Tournament,Jakarta,Indonesia,True
1971-06-13,Indonesia,Cambodia,1,0,Indonesia Tournament,Jakarta,Indonesia,False
1971-06-14,Myanmar,Cambodia,8,0,Indonesia Tournament,Jakarta,Indonesia,True
1971-06-15,Cambodia,Malaysia,1,2,Indonesia Tournament,Jakarta,Indonesia,True
1971-12-12,Cambodia,Thailand,1,1,Southeast Asian Peninsular Games,Malaysia,Malaysia,True
1971-12-14,Laos,Cambodia,0,2,Southeast Asian Peninsular Games,Malaysia,Malaysia,True
1971-12-14,Malaysia,Cambodia,3,0,Southeast Asian Peninsular Games,Malaysia,Malaysia,False
1972-05-07,Iran,Cambodia,2,0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-10,Cambodia,South Korea,1,4,AFC Asian Cup,Bangkok,Thailand,True
1972-05-14,Cambodia,Kuwait,4,0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-16,Iran,Cambodia,2,1,AFC Asian Cup,Bangkok,Thailand,True
1972-05-19,Thailand,Cambodia,2,2,AFC Asian Cup,Bangkok,Thailand,False
