Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1953-09-24,DR Congo,Cameroon,2,3,Friendly,Léopoldville,Belgian Congo,False
1956-01-02,DR Congo,Cameroon,2,4,Friendly,Léopoldville,Belgian Congo,False
1960-04-14,Cameroon,Djibouti,9,2,Friendly,Antananarivo,Madagascar,True
1960-04-14,Cameroon,Djibouti,9,2,African Friendship Games,Tananarive,Madagascar,True
1960-04-15,Cameroon,Mali,3,2,Friendly,Antananarivo,Madagascar,True
1960-04-15,Cameroon,Mali,3,2,African Friendship Games,Tananarive,Madagascar,True
1960-04-17,Congo,Cameroon,4,5,Friendly,Antananarivo,Madagascar,True
1960-04-17,Cameroon,Congo,5,4,African Friendship Games,Tananarive,Madagascar,True
1960-04-26,Cameroon,Nigeria,0,0,Friendly,Lomé,Togo,True
1961-12-26,Cameroon,Gabon,6,0,African Friendship Games,Abidjan,Ivory Coast,True
1961-12-27,Senegal,Cameroon,4,0,African Friendship Games,Abidjan,Ivory Coast,True
1962-08-20,Gabon,Cameroon,1,1,Friendly,Libreville,Gabon,False
1962-12-08,Nigeria,Cameroon,3,1,Friendly,Lagos,Nigeria,False
1962-12-24,Central African Republic,Cameroon,1,4,Friendly,Bangui,Central African Republic,False
1962-12-27,Cameroon,Congo,0,3,Friendly,Bangui,Central African Republic,True
1963-01-01,Cameroon,Nigeria,1,2,Friendly,Yaoundé,Cameroon,False
1963-04-12,Senegal,Cameroon,1,0,African Friendship Games,Dakar,Senegal,False
1963-04-14,Cameroon,Niger,3,2,African Friendship Games,Dakar,Senegal,True
1963-10-31,Cameroon,Togo,2,1,Friendly,Yaoundé,Cameroon,False
1963-12-31,Cameroon,Guinea,1,5,Friendly,Yaoundé,Cameroon,False
1964-01-31,Cameroon,Benin,2,4,Friendly,Yaoundé,Cameroon,False
1964-02-02,Cameroon,Congo,7,1,Friendly,Yaoundé,Cameroon,False
1964-02-14,Congo,Cameroon,4,4,Friendly,Brazzaville,Congo,False
1964-04-22,Cameroon,DR Congo,2,2,Friendly,Yaoundé,Cameroon,False
1964-07-13,Cameroon,DR Congo,1,1,Friendly,Yaoundé,Cameroon,False
1964-07-14,Cameroon,Central African Republic,2,1,Friendly,Yaoundé,Cameroon,False
1964-07-17,Cameroon,Congo,3,1,Friendly,Yaoundé,Cameroon,False
1964-07-19,Cameroon,DR Congo,2,1,Friendly,Yaoundé,Cameroon,False
1966-07-31,Cameroon,Congo,2,3,Friendly,Yaoundé,Cameroon,False
1966-08-28,Guinea,Cameroon,2,2,Friendly,Conakry,Guinea,False
1966-10-31,Cameroon,Togo,2,0,Friendly,Yaoundé,Cameroon,False
1967-02-05,Tunisia,Cameroon,4,0,African Cup of Nations qualification,Tunis,Tunisia,False
1967-02-26,Cameroon,Congo,1,1,African Cup of Nations qualification,Yaoundé,Cameroon,False
1967-05-21,Congo,Cameroon,2,1,African Cup of Nations qualification,Brazzaville,Congo,False
1968-12-01,Cameroon,Tunisia,4,2,Friendly,Douala,Cameroon,False
1968-12-07,Nigeria,Cameroon,1,1,FIFA World Cup qualification,Lagos,Nigeria,False
1968-12-22,Cameroon,Nigeria,2,3,FIFA World Cup qualification,Douala,Cameroon,False
1969-01-24,Senegal,Cameroon,3,2,Friendly,Dakar,Senegal,False
1969-01-30,DR Congo,Cameroon,2,1,Friendly,Kinshasa,Congo-Kinshasa,False
1969-02-02,Uganda,Cameroon,2,1,African Cup of Nations qualification,Kampala,Uganda,False
1969-02-02,Cameroon,Uganda,2,0,African Cup of Nations qualification,Yaoundé,Cameroon,False
1969-06-29,Zambia,Cameroon,2,2,African Cup of Nations qualification,Ndola,Zambia,False
1969-06-29,Cameroon,Zambia,2,1,African Cup of Nations qualification,Yaoundé,Cameroon,False
1970-02-06,Cameroon,Ivory Coast,3,2,African Cup of Nations,Khartoum,Sudan,True
1970-02-08,Cameroon,Ethiopia,3,2,African Cup of Nations,Khartoum,Sudan,True
1970-02-10,Sudan,Cameroon,2,1,African Cup of Nations,Khartoum,Sudan,False
1970-07-11,Gabon,Cameroon,1,1,Friendly,Libreville,Gabon,False
