Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1959-12-20,Gambia,Cape Verde,3,2,Friendly,Bathurst,Gambia,False
1979-01-07,Guinea-Bissau,Cape Verde,3,0,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
1979-01-09,Cape Verde,Senegal,0,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1981-02-03,Cape Verde,Senegal,0,1,Amílcar Cabral Cup,Bamako,Mali,True
1981-02-07,Cape Verde,Guinea-Bissau,3,0,Amílcar Cabral Cup,Bamako,Mali,True
1981-02-09,Mali,Cape Verde,2,0,Amílcar Cabral Cup,Bamako,Mali,False
1981-02-12,Cape Verde,Senegal,1,5,Amílcar Cabral Cup,Bamako,Mali,True
1982-02-11,Cape Verde,Gambia,2,0,Amílcar Cabral Cup,Praia,Cape Verde,False
1982-02-13,Cape Verde,Mali,1,0,Amílcar Cabral Cup,Praia,Cape Verde,False
1982-02-15,Cape Verde,Mauritania,1,2,Amílcar Cabral Cup,Praia,Cape Verde,False
1982-02-17,Cape Verde,Guinea,0,1,Amílcar Cabral Cup,Praia,Cape Verde,False
1982-02-19,Cape Verde,Mali,1,2,Amílcar Cabral Cup,Praia,Cape Verde,False
1983-07-20,Mauritania,Cape Verde,2,0,Amílcar Cabral Cup,Nouakchott,Mauritania,False
1983-07-22,Cape Verde,Mali,1,0,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1984-02-08,Sierra Leone,Cape Verde,2,0,Amílcar Cabral Cup,Freetown,Sierra Leone,False
1984-02-10,Cape Verde,Guinea,1,1,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1984-02-12,Cape Verde,Gambia,0,2,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1985-02-11,Gambia,Cape Verde,1,2,Amílcar Cabral Cup,Banjul,Gambia,False
1985-02-13,Cape Verde,Sierra Leone,2,2,Amílcar Cabral Cup,Bakau,Gambia,True
1985-02-15,Cape Verde,Guinea-Bissau,2,0,Amílcar Cabral Cup,Banjul,Gambia,True
1985-02-19,Cape Verde,Senegal,0,1,Amílcar Cabral Cup,Bakau,Gambia,True
1985-02-21,Cape Verde,Mali,0,1,Amílcar Cabral Cup,Bakau,Gambia,True
1985-07-09,Cape Verde,Angola,0,0,Friendly,Mindelo,Cape Verde,False
1987-02-25,Cape Verde,Senegal,0,2,Amílcar Cabral Cup,Conakry,Guinea,True
1987-02-27,Cape Verde,Sierra Leone,0,2,Amílcar Cabral Cup,Conakry,Guinea,True
1988-04-29,Cape Verde,Mali,1,3,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1988-05-01,Cape Verde,Mauritania,3,2,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1988-05-03,Cape Verde,Guinea,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1988-11-17,Cape Verde,Senegal,0,1,Friendly,Praia,Cape Verde,False
1988-11-19,Cape Verde,Angola,2,3,Friendly,Praia,Cape Verde,False
1989-05-25,Mali,Cape Verde,1,1,Amílcar Cabral Cup,Bamako,Mali,False
1989-05-27,Cape Verde,Guinea-Bissau,2,3,Amílcar Cabral Cup,Bamako,Mali,True
1989-05-30,Cape Verde,Senegal,2,1,Amílcar Cabral Cup,Bamako,Mali,True
1989-06-02,Cape Verde,Guinea,0,1,Amílcar Cabral Cup,Bamako,Mali,True
1989-06-03,Cape Verde,Sierra Leone,1,0,Amílcar Cabral Cup,Bamako,Mali,True
1991-11-22,Cape Verde,Guinea-Bissau,2,1,Amílcar Cabral Cup,Dakar,Senegal,True
1991-11-27,Senegal,Cape Verde,0,0,Amílcar Cabral Cup,Dakar,Senegal,False
1991-11-30,Cape Verde,Sierra Leone,0,0,Amílcar Cabral Cup,Dakar,Senegal,True
1991-12-02,Senegal,Cape Verde,1,0,Amílcar Cabral Cup,Dakar,Senegal,False
1992-06-14,Guinea-Bissau,Cape Verde,3,1,African Cup of Nations qualification,Bissau,Guinea-Bissau,False
1992-06-28,Cape Verde,Guinea-Bissau,1,0,African Cup of Nations qualification,Praia,Cape Verde,False
1992-07-05,Guinea-Bissau,Cape Verde,1,0,African Cup of Nations qualification,Bissau,Guinea-Bissau,False
1995-11-17,Cape Verde,Mali,1,0,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1995-11-19,Mauritania,Cape Verde,1,1,Amílcar Cabral Cup,Nouakchott,Mauritania,False
1995-11-25,Sierra Leone,Cape Verde,2,0,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1995-11-27,Cape Verde,Guinea-Bissau,1,0,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1997-11-28,Gambia,Cape Verde,3,1,Amílcar Cabral Cup,Banjul,Gambia,False
1997-11-30,Senegal,Cape Verde,2,0,Amílcar Cabral Cup,Banjul,Gambia,True
1997-12-02,Cape Verde,Mauritania,2,2,Amílcar Cabral Cup,Banjul,Gambia,True
1998-07-22,Senegal,Cape Verde,1,0,Friendly,Dakar,Senegal,False
1998-08-02,Mali,Cape Verde,3,0,African Cup of Nations qualification,Bamako,Mali,False
1998-08-16,Cape Verde,Mali,0,0,African Cup of Nations qualification,Praia,Cape Verde,False
2000-04-09,Cape Verde,Algeria,0,0,FIFA World Cup qualification,Mindelo,Cape Verde,False
2000-04-21,Algeria,Cape Verde,2,0,FIFA World Cup qualification,Annaba,Algeria,False
2000-05-04,Cape Verde,Gambia,1,1,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-06,Cape Verde,Sierra Leone,1,0,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-08,Cape Verde,Senegal,2,2,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-11,Cape Verde,Guinea,2,0,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-14,Cape Verde,Senegal,1,0,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-07-06,Cape Verde,Angola,1,1,Friendly,Praia,Cape Verde,False
2001-04-07,Mauritania,Cape Verde,0,1,Friendly,Nouakchott,Mauritania,False
2001-11-07,Cape Verde,Gambia,1,1,Amílcar Cabral Cup,Sikasso,Mali,True
2002-09-06,Mauritania,Cape Verde,0,2,African Cup of Nations qualification,Nouakchott,Mauritania,False
2002-10-12,Cape Verde,Kenya,0,1,African Cup of Nations qualification,Praia,Cape Verde,False
2002-11-20,Luxembourg,Cape Verde,0,0,Friendly,Hesperange,Luxembourg,False
2003-03-29,Cape Verde,Togo,2,1,African Cup of Nations qualification,Praia,Cape Verde,False
2003-05-31,Senegal,Cape Verde,2,1,Friendly,Dakar,Senegal,False
2003-06-08,Togo,Cape Verde,5,2,African Cup of Nations qualification,Lomé,Togo,False
2003-06-21,Cape Verde,Mauritania,3,0,African Cup of Nations qualification,Praia,Cape Verde,False
2003-07-05,Kenya,Cape Verde,1,0,African Cup of Nations qualification,Nairobi,Kenya,False
2003-10-12,Eswatini,Cape Verde,1,1,FIFA World Cup qualification,Lobamba,Swaziland,False
2003-11-16,Cape Verde,Eswatini,3,0,FIFA World Cup qualification,Praia,Cape Verde,False
2004-06-05,South Africa,Cape Verde,2,1,FIFA World Cup qualification,Bloemfontein,South Africa,False
2004-06-13,Cape Verde,Senegal,1,3,Friendly,Praia,Cape Verde,False
2004-06-19,Cape Verde,Uganda,1,0,FIFA World Cup qualification,Praia,Cape Verde,False
2004-07-03,Cape Verde,DR Congo,1,1,FIFA World Cup qualification,Praia,Cape Verde,False
2004-09-05,Ghana,Cape Verde,2,0,FIFA World Cup qualification,Kumasi,Ghana,False
2004-10-09,Cape Verde,Burkina Faso,1,0,FIFA World Cup qualification,Praia,Cape Verde,False
2005-03-26,Burkina Faso,Cape Verde,1,2,FIFA World Cup qualification,Ouagadougou,Burkina Faso,False
2005-06-04,Cape Verde,South Africa,1,2,FIFA World Cup qualification,Praia,Cape Verde,False
2005-06-18,Uganda,Cape Verde,1,0,FIFA World Cup qualification,Kampala,Uganda,False
2005-08-17,Angola,Cape Verde,2,1,Friendly,Lisbon,Portugal,True
2005-09-04,DR Congo,Cape Verde,2,1,FIFA World Cup qualification,Kinshasa,DR Congo,False
2005-10-08,Cape Verde,Ghana,0,4,FIFA World Cup qualification,Praia,Cape Verde,False
2006-05-27,Portugal,Cape Verde,4,1,Friendly,Évora,Portugal,False
2006-09-03,Gambia,Cape Verde,2,0,African Cup of Nations qualification,Bakau,Gambia,False
2006-10-07,Cape Verde,Guinea,1,0,African Cup of Nations qualification,Praia,Cape Verde,False
2007-03-24,Algeria,Cape Verde,2,0,African Cup of Nations qualification,Algiers,Algeria,False
2007-06-02,Cape Verde,Algeria,2,2,African Cup of Nations qualification,Praia,Cape Verde,False
2007-06-16,Cape Verde,Gambia,0,0,African Cup of Nations qualification,Praia,Cape Verde,False
2007-09-09,Guinea,Cape Verde,4,0,African Cup of Nations qualification,Conakry,Guinea,False
2007-12-03,Cape Verde,Gambia,0,0,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
2007-12-07,Guinea-Bissau,Cape Verde,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
2008-05-24,Burkina Faso,Cape Verde,0,1,Friendly,Alcochete,Portugal,True
2008-05-27,Luxembourg,Cape Verde,1,1,Friendly,Luxembourg,Luxembourg,False
2008-05-31,Cameroon,Cape Verde,2,0,FIFA World Cup qualification,Yaoundé,Cameroon,False
2008-06-07,Cape Verde,Tanzania,1,0,FIFA World Cup qualification,Praia,Cape Verde,False
2008-06-15,Mauritius,Cape Verde,0,1,FIFA World Cup qualification,Curepipe,Mauritius,False
2008-06-22,Cape Verde,Mauritius,3,1,FIFA World Cup qualification,Praia,Cape Verde,False
2008-09-06,Cape Verde,Cameroon,1,2,FIFA World Cup qualification,Praia,Cape Verde,False
2008-10-11,Tanzania,Cape Verde,3,1,FIFA World Cup qualification,Dar es Salaam,Tanzania,False
2009-03-25,Angola,Cape Verde,0,1,Friendly,Olhão,Portugal,True
2009-03-28,Cape Verde,Equatorial Guinea,5,0,Friendly,Espargos,Cape Verde,False
2009-09-04,Malta,Cape Verde,0,2,Friendly,Attard,Malta,False
2009-09-09,Angola,Cape Verde,1,1,Friendly,Lisbon,Portugal,True
2010-05-24,Portugal,Cape Verde,0,0,Friendly,Covilhã,Portugal,False
2010-08-11,Senegal,Cape Verde,1,0,Friendly,Dakar,Senegal,False
2010-09-04,Cape Verde,Mali,1,0,African Cup of Nations qualification,Praia,Cape Verde,False
2010-10-10,Zimbabwe,Cape Verde,0,0,African Cup of Nations qualification,Harare,Zimbabwe,False
2010-11-16,Cape Verde,Guinea-Bissau,2,1,Friendly,Lisbon,Portugal,True
2011-02-09,Cape Verde,Burkina Faso,1,0,Friendly,Óbidos,Portugal,True
2011-03-26,Cape Verde,Liberia,4,2,African Cup of Nations qualification,Praia,Cape Verde,False
2011-06-05,Liberia,Cape Verde,1,0,African Cup of Nations qualification,Paynesville,Liberia,False
2011-09-03,Mali,Cape Verde,3,0,African Cup of Nations qualification,Bamako,Mali,False
2011-10-08,Cape Verde,Zimbabwe,2,1,African Cup of Nations qualification,Praia,Cape Verde,False
2012-02-29,Madagascar,Cape Verde,0,4,African Cup of Nations qualification,Antananarivo,Madagascar,False
2012-06-02,Sierra Leone,Cape Verde,2,1,FIFA World Cup qualification,Freetown,Sierra Leone,False
2012-06-09,Cape Verde,Tunisia,1,2,FIFA World Cup qualification,Praia,Cape Verde,False
2012-06-16,Cape Verde,Madagascar,3,1,African Cup of Nations qualification,Praia,Cape Verde,False
2012-09-08,Cape Verde,Cameroon,2,0,African Cup of Nations qualification,Praia,Cape Verde,False
2012-10-14,Cameroon,Cape Verde,2,1,African Cup of Nations qualification,Yaoundé,Cameroon,False
2012-11-14,Cape Verde,Ghana,0,1,Friendly,Lisbon,Portugal,True
2013-01-09,Cape Verde,Nigeria,0,0,Friendly,Faro,Portugal,True
2013-01-19,South Africa,Cape Verde,0,0,African Cup of Nations,Johannesburg,South Africa,False
2013-01-23,Morocco,Cape Verde,1,1,African Cup of Nations,Durban,South Africa,True
2013-01-27,Cape Verde,Angola,2,1,African Cup of Nations,Port Elizabeth,South Africa,True
2013-02-02,Ghana,Cape Verde,2,0,African Cup of Nations,Port Elizabeth,South Africa,True
2013-03-24,Equatorial Guinea,Cape Verde,0,3,FIFA World Cup qualification,Malabo,Equatorial Guinea,False
2013-06-08,Cape Verde,Equatorial Guinea,3,0,FIFA World Cup qualification,Praia,Cape Verde,False
2013-06-15,Cape Verde,Sierra Leone,1,0,FIFA World Cup qualification,Praia,Cape Verde,False
2013-08-14,Gabon,Cape Verde,1,1,Friendly,Sintra,Portugal,True
2013-09-07,Tunisia,Cape Verde,3,0,FIFA World Cup qualification,Radès,Tunisia,False
2013-12-30,Catalonia,Cape Verde,4,1,Friendly,Barcelona,Spain,False
2014-03-05,Luxembourg,Cape Verde,0,0,Friendly,Luxembourg,Luxembourg,False
2014-09-06,Niger,Cape Verde,1,3,African Cup of Nations qualification,Niamey,Niger,False
2014-09-10,Cape Verde,Zambia,2,1,African Cup of Nations qualification,Praia,Cape Verde,False
2014-10-11,Mozambique,Cape Verde,2,0,African Cup of Nations qualification,Maputo,Mozambique,False
2014-10-15,Cape Verde,Mozambique,1,0,African Cup of Nations qualification,Praia,Cape Verde,False
2014-11-15,Cape Verde,Niger,3,1,African Cup of Nations qualification,Praia,Cape Verde,False
2014-11-19,Zambia,Cape Verde,1,0,African Cup of Nations qualification,Ndola,Zambia,False
2015-01-10,Cape Verde,Congo,3,2,Friendly,Dakar,Senegal,True
2015-01-18,Tunisia,Cape Verde,1,1,African Cup of Nations,Ebebiyín,Equatorial Guinea,True
2015-01-22,Cape Verde,DR Congo,0,0,African Cup of Nations,Ebebiyín,Equatorial Guinea,True
2015-01-26,Cape Verde,Zambia,0,0,African Cup of Nations,Ebebiyín,Equatorial Guinea,True
2015-03-31,Portugal,Cape Verde,0,2,Friendly,Estoril,Portugal,False
2015-06-13,Cape Verde,São Tomé and Príncipe,7,1,African Cup of Nations qualification,Praia,Cape Verde,False
2015-09-06,Libya,Cape Verde,1,2,African Cup of Nations qualification,Cairo,Egypt,True
2015-11-13,Kenya,Cape Verde,1,0,FIFA World Cup qualification,Nairobi,Kenya,False
2015-11-17,Cape Verde,Kenya,2,0,FIFA World Cup qualification,Praia,Cape Verde,False
2016-03-26,Cape Verde,Morocco,0,1,African Cup of Nations qualification,Praia,Cape Verde,False
2016-03-29,Morocco,Cape Verde,2,0,African Cup of Nations qualification,Marrakech,Morocco,False
2016-06-04,São Tomé and Príncipe,Cape Verde,1,2,African Cup of Nations qualification,São Tomé,São Tomé and Príncipe,False
2016-09-03,Cape Verde,Libya,0,1,African Cup of Nations qualification,Praia,Cape Verde,False
2016-10-08,Senegal,Cape Verde,2,0,FIFA World Cup qualification,Dakar,Senegal,False
2016-11-12,Cape Verde,Burkina Faso,0,2,FIFA World Cup qualification,Praia,Cape Verde,False
2017-03-28,Luxembourg,Cape Verde,0,2,Friendly,Hesperange,Luxembourg,False
2017-06-11,Cape Verde,Uganda,0,1,African Cup of Nations qualification,Praia,Cape Verde,False
2017-09-01,Cape Verde,South Africa,2,1,FIFA World Cup qualification,Praia,Cape Verde,False
2017-09-05,South Africa,Cape Verde,1,2,FIFA World Cup qualification,Durban,South Africa,False
2017-10-07,Cape Verde,Senegal,0,2,FIFA World Cup qualification,Praia,Cape Verde,False
2017-11-14,Burkina Faso,Cape Verde,4,0,FIFA World Cup qualification,Ouagadougou,Burkina Faso,False
2018-06-01,Algeria,Cape Verde,2,3,Friendly,Algiers,Algeria,False
2018-06-03,Andorra,Cape Verde,0,0,Friendly,Almada,Portugal,True
2018-09-09,Lesotho,Cape Verde,1,1,African Cup of Nations qualification,Maseru,Lesotho,False
2018-10-12,Cape Verde,Tanzania,3,0,African Cup of Nations qualification,Praia,Cape Verde,False
2018-10-16,Tanzania,Cape Verde,2,0,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
2018-11-17,Uganda,Cape Verde,1,0,African Cup of Nations qualification,Kira,Uganda,False
2019-03-24,Cape Verde,Lesotho,0,0,African Cup of Nations qualification,Praia,Cape Verde,False
2019-10-10,Cape Verde,Togo,2,1,Friendly,Fos-sur-Mer,Cape Verde,False
2019-11-13,Cameroon,Cape Verde,0,0,African Cup of Nations qualification,Yaoundé,Cameroon,False
2019-11-18,Cape Verde,Mozambique,2,2,African Cup of Nations qualification,Praia,Cape Verde,False
2020-10-07,Andorra,Cape Verde,1,2,Friendly,Andorra la Vella,Andorra,False
2020-10-10,Cape Verde,Guinea,1,2,Friendly,Faro-Loulé,Portugal,True
2020-11-12,Cape Verde,Rwanda,0,0,African Cup of Nations qualification,Praia,Cape Verde,False
2020-11-17,Rwanda,Cape Verde,0,0,African Cup of Nations qualification,Kigali,Rwanda,False
2021-03-26,Cape Verde,Cameroon,3,1,African Cup of Nations qualification,Praia,Cape Verde,False
2021-03-30,Mozambique,Cape Verde,0,1,African Cup of Nations qualification,Maputo,Mozambique,False
2021-06-08,Senegal,Cape Verde,2,0,Friendly,Thiès,Senegal,False
2021-09-01,Central African Republic,Cape Verde,1,1,FIFA World Cup qualification,Douala,Cameroon,True
2021-09-07,Cape Verde,Nigeria,1,2,FIFA World Cup qualification,Mindelo,Cape Verde,False
2021-10-07,Liberia,Cape Verde,1,2,FIFA World Cup qualification,Accra,Ghana,True
