Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1912-02-10,France,Catalonia,7,0,Friendly,Paris,France,False
1912-12-01,Catalonia,France,1,0,Friendly,Barcelona,Spain,False
1915-01-03,Basque Country,Catalonia,6,1,Friendly,Bilbao,Spain,False
1915-02-07,Catalonia,Basque Country,2,2,Friendly,Barcelona,Spain,False
1915-05-13,Basque Country,Catalonia,1,0,Friendly,Madrid,Spain,False
1916-05-21,Catalonia,Basque Country,1,3,Friendly,Barcelona,Spain,False
1916-05-22,Catalonia,Basque Country,0,0,Friendly,Barcelona,Spain,False
1916-06-04,Basque Country,Catalonia,5,0,Friendly,Bilbao,Spain,False
1921-04-03,Catalonia,Provence,4,0,Friendly,Barcelona,Spain,False
1921-04-04,Catalonia,Provence,1,0,Friendly,Barcelona,Spain,False
1924-03-13,Catalonia,Spain,0,7,Friendly,Barcelona,Spain,False
1924-06-15,Catalonia,Basque Country,1,2,Friendly,Barcelona,Spain,False
1925-12-13,Catalonia,Czechoslovakia,2,1,Friendly,Barcelona,Spain,False
1926-07-07,Czechoslovakia,Catalonia,2,1,Friendly,Prague,Czechoslovakia,False
1930-06-08,Catalonia,Basque Country,0,1,Friendly,Barcelona,Spain,False
1931-01-01,Basque Country,Catalonia,3,2,Friendly,Bilbao,Spain,False
1934-02-02,Catalonia,Spain,0,2,Friendly,Barcelona,Spain,False
1934-06-17,Catalonia,Brazil,2,1,Friendly,Barcelona,Spain,False
1934-06-24,Catalonia,Brazil,2,2,Friendly,Girona,Spain,False
1947-10-19,Catalonia,Spain,3,1,Friendly,Barcelona,Spain,False
1953-08-09,Catalonia,Spain,0,6,Friendly,Barcelona,Spain,False
1971-02-21,Basque Country,Catalonia,1,2,Friendly,Bilbao,Spain,False
1976-06-06,Catalonia,Russia,1,1,Friendly,Barcelona,Spain,False
1997-12-23,Catalonia,Bulgaria,1,1,Friendly,Barcelona,Spain,False
1998-12-22,Catalonia,Nigeria,5,0,Friendly,Barcelona,Spain,False
1999-12-23,Catalonia,Yugoslavia,1,0,Friendly,Barcelona,Spain,False
2000-12-22,Catalonia,Lithuania,5,0,Friendly,Barcelona,Spain,False
2001-12-28,Catalonia,Chile,1,0,Friendly,Barcelona,Spain,False
2002-05-18,Catalonia,Brazil,1,3,Friendly,Barcelona,Spain,False
2002-12-28,Catalonia,China PR,2,0,Friendly,Barcelona,Spain,False
2003-12-28,Catalonia,Ecuador,4,2,Friendly,Barcelona,Spain,False
2004-05-25,Catalonia,Brazil,2,5,Friendly,Barcelona,Spain,False
2004-12-29,Catalonia,Argentina,0,3,Friendly,Barcelona,Spain,False
2005-12-28,Catalonia,Paraguay,1,1,Friendly,Barcelona,Spain,False
2006-05-24,Catalonia,Costa Rica,2,0,Friendly,Terrassa,Spain,False
2006-10-08,Catalonia,Basque Country,2,2,Friendly,Barcelona,Spain,False
2007-12-29,Basque Country,Catalonia,1,1,Friendly,Bilbao,Spain,False
2008-05-24,Catalonia,Argentina,0,1,Friendly,Barcelona,Spain,False
2008-12-28,Catalonia,Colombia,2,1,Friendly,Barcelona,Spain,False
2009-12-22,Catalonia,Argentina,4,2,Friendly,Barcelona,Spain,False
2010-12-28,Catalonia,Honduras,4,0,Friendly,Barcelona,Spain,False
2011-12-30,Catalonia,Tunisia,0,0,Friendly,Barcelona,Spain,False
2013-01-02,Catalonia,Nigeria,1,1,Friendly,Cornellà de Llobregat,Spain,False
2013-12-30,Catalonia,Cape Verde,4,1,Friendly,Barcelona,Spain,False
2014-12-28,Basque Country,Catalonia,1,1,Friendly,Bilbao,Spain,False
2015-12-26,Catalonia,Basque Country,0,1,Friendly,Barcelona,Spain,False
2016-12-28,Catalonia,Tunisia,3,3,Friendly,Girona,Spain,False
2019-03-25,Catalonia,Venezuela,2,1,Friendly,Girona,Spain,False
