Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1985-03-03,Dominica,Cayman Islands,2,1,CFU Caribbean Cup qualification,Roseau,Dominica,False
1987-02-07,Cayman Islands,Jamaica,1,3,Friendly,George Town,Cayman Islands,False
1990-03-24,Sint Maarten,Cayman Islands,1,1,CFU Caribbean Cup qualification,Marigot,Saint Martin,True
1990-05-06,Cayman Islands,Jamaica,1,2,Friendly,George Town,Cayman Islands,False
1991-05-10,Cayman Islands,British Virgin Islands,2,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1991-05-12,Saint Kitts and Nevis,Cayman Islands,1,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1991-05-26,Jamaica,Cayman Islands,3,2,CFU Caribbean Cup,Kingston,Jamaica,False
1991-05-28,Cayman Islands,Guyana,1,2,CFU Caribbean Cup,Kingston,Jamaica,True
1992-04-01,Cayman Islands,Martinique,0,7,CFU Caribbean Cup qualification,Philipsburg,Sint Maarten,True
1992-04-03,Sint Maarten,Cayman Islands,4,2,CFU Caribbean Cup qualification,Philipsburg,Sint Maarten,False
1993-03-11,Guyana,Cayman Islands,3,2,CFU Caribbean Cup qualification,Georgetown,Guyana,False
1993-03-12,Cayman Islands,Barbados,1,6,CFU Caribbean Cup qualification,Georgetown,Guyana,True
1993-03-14,Puerto Rico,Cayman Islands,4,0,CFU Caribbean Cup qualification,Georgetown,Guyana,True
1993-11-14,United States,Cayman Islands,8,1,Friendly,Mission Viejo,United States,False
1994-03-02,Cayman Islands,British Virgin Islands,5,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,False
1994-03-04,Cayman Islands,Sint Maarten,5,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,False
1994-03-06,Cayman Islands,Jamaica,3,2,CFU Caribbean Cup qualification,West Bay,Cayman Islands,False
1994-04-07,Cayman Islands,Haiti,2,3,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,True
1994-04-09,Suriname,Cayman Islands,2,0,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,True
1994-04-11,Martinique,Cayman Islands,1,1,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,True
1995-07-21,Cayman Islands,Antigua and Barbuda,2,0,CFU Caribbean Cup,George Town,Cayman Islands,False
1995-07-23,Cayman Islands,French Guiana,1,0,CFU Caribbean Cup,George Town,Cayman Islands,False
1995-07-28,Cayman Islands,Trinidad and Tobago,2,9,CFU Caribbean Cup,George Town,Cayman Islands,False
1995-07-30,Cayman Islands,Cuba,0,3,CFU Caribbean Cup,George Town,Cayman Islands,False
1995-10-22,Cayman Islands,Jamaica,1,5,Friendly,George Town,Cayman Islands,False
1995-10-24,Cayman Islands,Trinidad and Tobago,0,7,Friendly,George Town,Cayman Islands,False
1996-04-26,Cayman Islands,Cuba,0,4,CFU Caribbean Cup qualification,George Town,Cayman Islands,False
1996-05-12,Cayman Islands,Cuba,0,1,FIFA World Cup qualification,George Town,Cayman Islands,False
1996-05-14,Cayman Islands,Cuba,0,5,FIFA World Cup qualification,George Town,Cayman Islands,False
1998-05-06,Cayman Islands,Cuba,2,2,CFU Caribbean Cup qualification,George Town,Cayman Islands,False
1998-05-10,Cayman Islands,Bermuda,2,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,False
