Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1960-04-14,Central African Republic,Mali,3,4,Friendly,Antananarivo,Madagascar,True
1960-04-14,Mali,Central African Republic,4,3,African Friendship Games,Tananarive,Madagascar,True
1961-12-25,Central African Republic,Liberia,1,1,African Friendship Games,Abidjan,Ivory Coast,True
1961-12-27,Ivory Coast,Central African Republic,1,0,African Friendship Games,Abidjan,Ivory Coast,False
1962-12-24,Central African Republic,Cameroon,1,4,Friendly,Bangui,Central African Republic,False
1962-12-31,Central African Republic,Madagascar,4,1,Friendly,Bangui,Central African Republic,False
1964-07-14,Cameroon,Central African Republic,2,1,Friendly,Yaoundé,Cameroon,False
1966-08-07,DR Congo,Central African Republic,5,0,Friendly,Kinshasa,Congo-Kinshasa,False
1966-12-03,Central African Republic,DR Congo,1,4,Friendly,Bangui,Central African Republic,False
1973-04-08,Central African Republic,Ivory Coast,4,2,African Cup of Nations qualification,Bangui,Central African Republic,False
1973-07-29,Ivory Coast,Central African Republic,5,1,African Cup of Nations qualification,Lagos,Nigeria,True
1984-12-12,Congo,Central African Republic,2,1,UDEAC Cup,Brazzaville,Congo,False
1984-12-14,Central African Republic,Equatorial Guinea,1,1,UDEAC Cup,Brazzaville,Congo,True
1984-12-17,Central African Republic,Cameroon,1,7,UDEAC Cup,Brazzaville,Congo,True
1984-12-19,Central African Republic,Gabon,2,2,UDEAC Cup,Brazzaville,Congo,True
1985-12-09,Central African Republic,Congo,1,4,UDEAC Cup,Libreville,Gabon,True
1985-12-11,Gabon,Central African Republic,4,0,UDEAC Cup,Libreville,Gabon,False
1986-10-05,Central African Republic,Congo,1,2,African Cup of Nations qualification,Bangui,Central African Republic,False
1986-10-19,Congo,Central African Republic,5,1,African Cup of Nations qualification,Brazzaville,Congo,False
1986-12-12,Central African Republic,Congo,1,3,UDEAC Cup,Malabo,Equatorial Guinea,True
1986-12-14,Central African Republic,Gabon,0,1,UDEAC Cup,Malabo,Equatorial Guinea,True
1987-11-08,Mali,Central African Republic,3,1,Friendly,Bamako,Mali,False
1987-11-18,Togo,Central African Republic,1,0,Friendly,Lomé,Togo,False
1987-12-07,Chad,Central African Republic,2,1,UDEAC Cup,N'Djamena,Chad,False
1987-12-09,Central African Republic,Gabon,1,1,UDEAC Cup,N'Djamena,Chad,True
1988-12-02,Central African Republic,Chad,2,1,UDEAC Cup,Douala,Cameroon,True
1988-12-04,Central African Republic,Congo,0,1,UDEAC Cup,Douala,Cameroon,True
1988-12-06,Central African Republic,Gabon,0,0,UDEAC Cup,Douala,Cameroon,True
1988-12-08,Central African Republic,Congo,0,3,UDEAC Cup,Douala,Cameroon,True
1989-11-21,Senegal,Central African Republic,3,0,Friendly,Dakar,Senegal,False
1989-12-02,Central African Republic,Chad,1,1,UDEAC Cup,Bangui,Central African Republic,False
1989-12-04,Central African Republic,Cameroon,1,2,UDEAC Cup,Bangui,Central African Republic,False
1989-12-10,Central African Republic,Gabon,2,0,UDEAC Cup,Bangui,Central African Republic,False
1989-12-13,Central African Republic,Cameroon,1,2,UDEAC Cup,Bangui,Central African Republic,False
1990-12-11,Central African Republic,Gabon,0,1,UDEAC Cup,Brazzaville,Congo,True
1990-12-13,Central African Republic,Cameroon,0,3,UDEAC Cup,Brazzaville,Congo,True
1990-12-17,Central African Republic,Equatorial Guinea,3,3,UDEAC Cup,Brazzaville,Congo,True
1999-11-08,Central African Republic,Chad,4,1,UNIFFAC Cup,Libreville,Gabon,True
1999-11-10,Gabon,Central African Republic,1,0,UNIFFAC Cup,Libreville,Gabon,False
1999-11-11,Equatorial Guinea,Central African Republic,4,2,UNIFFAC Cup,Libreville,Gabon,True
1999-11-13,Central African Republic,São Tomé and Príncipe,3,0,UNIFFAC Cup,Libreville,Gabon,True
1999-11-14,Central African Republic,Congo,4,2,UNIFFAC Cup,Libreville,Gabon,True
2000-04-08,Central African Republic,Zimbabwe,0,1,FIFA World Cup qualification,Bangui,Central African Republic,False
2000-04-23,Zimbabwe,Central African Republic,3,1,FIFA World Cup qualification,Harare,Zimbabwe,False
2000-07-02,Central African Republic,DR Congo,1,1,African Cup of Nations qualification,Bangui,Central African Republic,False
2000-07-16,DR Congo,Central African Republic,2,0,African Cup of Nations qualification,Kinshasa,DR Congo,False
2002-09-09,Central African Republic,Mozambique,1,1,African Cup of Nations qualification,Bangui,Central African Republic,False
2002-10-13,Burkina Faso,Central African Republic,2,1,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False
2003-05-04,Congo,Central African Republic,2,1,African Cup of Nations qualification,Brazzaville,Congo,False
2003-06-08,Central African Republic,Congo,0,0,African Cup of Nations qualification,Bangui,Central African Republic,False
2003-06-22,Mozambique,Central African Republic,1,0,African Cup of Nations qualification,Maputo,Mozambique,False
2003-07-06,Central African Republic,Burkina Faso,0,3,African Cup of Nations qualification,Bangui,Central African Republic,False
2010-09-04,Morocco,Central African Republic,0,0,African Cup of Nations qualification,Rabat,Morocco,False
2010-10-10,Central African Republic,Algeria,2,0,African Cup of Nations qualification,Bangui,Central African Republic,False
2011-03-26,Tanzania,Central African Republic,2,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
2011-05-29,Tunisia,Central African Republic,3,0,Friendly,Sousse,Tunisia,False
2011-06-04,Central African Republic,Tanzania,2,1,African Cup of Nations qualification,Bangui,Central African Republic,False
2011-08-10,Malta,Central African Republic,2,1,Friendly,Attard,Malta,False
2011-09-04,Central African Republic,Morocco,0,0,African Cup of Nations qualification,Bangui,Central African Republic,False
2011-09-07,Equatorial Guinea,Central African Republic,3,0,Friendly,Malabo,Equatorial Guinea,False
2011-10-09,Algeria,Central African Republic,2,0,African Cup of Nations qualification,Algiers,Algeria,False
2012-06-02,Central African Republic,Botswana,2,0,FIFA World Cup qualification,Bangui,Central African Republic,False
2012-06-10,Ethiopia,Central African Republic,2,0,FIFA World Cup qualification,Addis Ababa,Ethiopia,False
2012-06-15,Egypt,Central African Republic,2,3,African Cup of Nations qualification,Alexandria,Egypt,False
2012-06-30,Central African Republic,Egypt,1,1,African Cup of Nations qualification,Bangui,Central African Republic,False
2012-09-08,Central African Republic,Burkina Faso,1,0,African Cup of Nations qualification,Bangui,Central African Republic,False
2012-10-14,Burkina Faso,Central African Republic,3,1,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False
2013-03-23,South Africa,Central African Republic,2,0,FIFA World Cup qualification,Cape Town,South Africa,False
2013-06-08,Central African Republic,South Africa,0,3,FIFA World Cup qualification,Yaoundé,Cameroon,True
2013-06-15,Botswana,Central African Republic,3,2,FIFA World Cup qualification,Lobatse,Botswana,False
2013-08-14,Libya,Central African Republic,0,0,Friendly,Tripoli,Libya,False
