Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1961-12-25,Chad,Niger,2,2,African Friendship Games,Abidjan,Ivory Coast,True
1963-04-12,Liberia,Chad,2,1,African Friendship Games,Dakar,Senegal,True
1963-04-14,Madagascar,Chad,2,1,African Friendship Games,Dakar,Senegal,True
1963-04-16,Benin,Chad,6,2,African Friendship Games,Dakar,Senegal,True
1964-03-28,Congo,Chad,11,0,Friendly,Brazzaville,Congo,False
1976-01-25,Chad,Gabon,4,0,Friendly,N'Djamena,Chad,False
1976-02-22,Gabon,Chad,0,1,Friendly,Libreville,Gabon,False
1984-12-10,Chad,Cameroon,0,2,UDEAC Cup,Brazzaville,Congo,True
1984-12-12,Chad,Gabon,3,3,UDEAC Cup,Brazzaville,Congo,True
1984-12-16,Chad,Equatorial Guinea,1,1,UDEAC Cup,Brazzaville,Congo,True
1985-12-10,Chad,Equatorial Guinea,1,1,UDEAC Cup,Libreville,Gabon,True
1985-12-12,Chad,Cameroon,2,2,UDEAC Cup,Libreville,Gabon,True
1985-12-14,Gabon,Chad,3,0,UDEAC Cup,Libreville,Gabon,False
1985-12-18,Chad,Cameroon,1,2,UDEAC Cup,Libreville,Gabon,True
1986-12-11,Chad,Cameroon,1,3,UDEAC Cup,Malabo,Equatorial Guinea,True
1986-12-13,Equatorial Guinea,Chad,0,1,UDEAC Cup,Malabo,Equatorial Guinea,False
1986-12-17,Chad,Gabon,0,0,UDEAC Cup,Malabo,Equatorial Guinea,True
1986-12-19,Chad,Cameroon,1,4,UDEAC Cup,Malabo,Equatorial Guinea,True
1987-12-07,Chad,Central African Republic,2,1,UDEAC Cup,N'Djamena,Chad,False
1987-12-11,Chad,Gabon,1,1,UDEAC Cup,N'Djamena,Chad,False
1987-12-15,Chad,Equatorial Guinea,4,0,UDEAC Cup,N'Djamena,Chad,False
1987-12-18,Chad,Cameroon,0,1,UDEAC Cup,N'Djamena,Chad,False
1988-11-30,Congo,Chad,2,1,UDEAC Cup,Douala,Cameroon,True
1988-12-02,Central African Republic,Chad,2,1,UDEAC Cup,Douala,Cameroon,True
1989-12-02,Central African Republic,Chad,1,1,UDEAC Cup,Bangui,Central African Republic,False
1989-12-06,Chad,Cameroon,0,1,UDEAC Cup,Bangui,Central African Republic,True
1989-12-08,Chad,Congo,2,1,UDEAC Cup,Bangui,Central African Republic,True
1989-12-11,Chad,Cameroon,0,0,UDEAC Cup,Bangui,Central African Republic,True
1989-12-12,Chad,Gabon,0,2,UDEAC Cup,Bangui,Central African Republic,True
1990-08-19,Tunisia,Chad,2,1,African Cup of Nations qualification,Tunis,Tunisia,False
1990-09-02,Chad,Egypt,0,0,African Cup of Nations qualification,N'Djamena,Chad,False
1990-12-08,Congo,Chad,3,0,UDEAC Cup,Brazzaville,Congo,False
1990-12-12,Chad,Equatorial Guinea,1,0,UDEAC Cup,Brazzaville,Congo,True
1990-12-15,Chad,Cameroon,0,1,UDEAC Cup,Brazzaville,Congo,True
1990-12-17,Chad,Gabon,2,1,UDEAC Cup,Brazzaville,Congo,True
1991-04-28,Chad,Tunisia,0,0,African Cup of Nations qualification,N'Djamena,Chad,False
1991-07-12,Egypt,Chad,5,1,African Cup of Nations qualification,Cairo,Egypt,False
1992-06-28,Chad,Eritrea,0,1,Friendly,Khartoum,Sudan,True
