Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1960-04-14,Congo,Réunion,4,1,African Friendship Games,Tananarive,Madagascar,True
1960-04-15,Congo,Ivory Coast,3,2,Friendly,Antananarivo,Madagascar,True
1960-04-15,Congo,Ivory Coast,3,2,African Friendship Games,Tananarive,Madagascar,True
1960-04-17,Congo,Cameroon,4,5,Friendly,Antananarivo,Madagascar,True
1960-04-17,Cameroon,Congo,5,4,African Friendship Games,Tananarive,Madagascar,True
1960-04-18,Madagascar,Congo,8,1,African Friendship Games,Tananarive,Madagascar,False
1962-07-14,Gabon,Congo,3,1,Friendly,Libreville,Gabon,False
1962-09-16,Congo,Gabon,3,1,Friendly,Brazzaville,Congo,False
1962-12-24,Congo,Madagascar,6,1,Friendly,Bangui,Central African Republic,True
1962-12-27,Cameroon,Congo,0,3,Friendly,Bangui,Central African Republic,True
1963-04-12,Congo,Ivory Coast,3,2,African Friendship Games,Dakar,Senegal,True
1963-04-13,Congo,DR Congo,2,1,African Friendship Games,Dakar,Senegal,True
1963-04-14,Tunisia,Congo,2,0,African Friendship Games,Dakar,Senegal,True
1963-04-16,Congo,Mauritania,7,0,African Friendship Games,Dakar,Senegal,True
1964-02-02,Cameroon,Congo,7,1,Friendly,Yaoundé,Cameroon,False
1964-02-14,Congo,Cameroon,4,4,Friendly,Brazzaville,Congo,False
1964-02-24,Congo,DR Congo,0,0,Friendly,Brazzaville,Congo,False
1964-03-28,Congo,Chad,11,0,Friendly,Brazzaville,Congo,False
1964-06-20,Congo,Guinea,1,2,Friendly,Brazzaville,Congo,False
1964-07-17,Cameroon,Congo,3,1,Friendly,Yaoundé,Cameroon,False
1964-08-15,Congo,Mali,1,0,Friendly,Brazzaville,Congo,False
1965-02-01,Congo,DR Congo,0,3,Friendly,Brazzaville,Congo,False
1965-05-03,Mali,Congo,1,1,Friendly,Bamako,Mali,False
1965-06-27,Congo,Benin,1,6,Friendly,Brazzaville,Congo,False
1965-07-19,Congo,Uganda,2,1,All-African Games,Brazzaville,Congo,False
1965-07-20,Congo,Togo,7,2,All-African Games,Brazzaville,Congo,False
1965-07-21,Congo,Mali,1,2,All-African Games,Brazzaville,Congo,False
1965-07-23,Congo,Ivory Coast,1,0,All-African Games,Brazzaville,Congo,False
1965-07-25,Congo,Mali,0,0,All-African Games,Brazzaville,Congo,False
1965-10-14,Ghana,Congo,5,0,Friendly,Accra,Ghana,False
