Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1971-09-11,Cook Islands,Papua New Guinea,1,16,South Pacific Games,Papeete,Tahiti,True
1971-09-13,Tahiti,Cook Islands,30,0,South Pacific Games,Papeete,Tahiti,False
1971-09-15,Cook Islands,Fiji,1,15,South Pacific Games,Papeete,Tahiti,True
1995-08-16,Cook Islands,New Caledonia,0,9,South Pacific Games,Papeete,Tahiti,True
1995-08-19,Cook Islands,Wallis Islands and Futuna,2,1,South Pacific Games,Papeete,Tahiti,True
1995-08-21,Cook Islands,Solomon Islands,0,16,South Pacific Games,Papeete,Tahiti,True
1995-08-22,Tahiti,Cook Islands,11,0,South Pacific Games,Papeete,Tahiti,True
1996-11-11,Tonga,Cook Islands,2,0,FIFA World Cup qualification,Nuku'alofa,Tonga,False
1996-11-13,Samoa,Cook Islands,2,1,FIFA World Cup qualification,Nuku'alofa,Tonga,True
1998-09-02,Cook Islands,Samoa,2,1,Oceania Nations Cup qualification,Avarua,Cook Islands,False
1998-09-03,Cook Islands,American Samoa,4,3,Oceania Nations Cup qualification,Avarua,Cook Islands,False
1998-09-05,Cook Islands,Tonga,2,2,Oceania Nations Cup qualification,Avarua,Cook Islands,False
1998-09-08,Cook Islands,Tahiti,0,5,Oceania Nations Cup qualification,Avarua,Cook Islands,False
1998-09-28,Australia,Cook Islands,16,0,Oceania Nations Cup,Brisbane,Australia,False
1998-09-30,Fiji,Cook Islands,3,0,Oceania Nations Cup,Brisbane,Australia,True
2000-06-08,Tonga,Cook Islands,1,2,Oceania Nations Cup qualification,Papeete,Tahiti,True
2000-06-19,Australia,Cook Islands,17,0,Oceania Nations Cup,Papeete,Tahiti,True
2000-06-21,Solomon Islands,Cook Islands,5,1,Oceania Nations Cup,Papeete,Tahiti,True
2001-06-04,Solomon Islands,Cook Islands,9,1,FIFA World Cup qualification,North Shore,New Zealand,True
2001-06-06,Cook Islands,Vanuatu,1,8,FIFA World Cup qualification,North Shore,New Zealand,True
2001-06-08,New Zealand,Cook Islands,2,0,FIFA World Cup qualification,North Shore,New Zealand,False
2001-06-11,Cook Islands,Tahiti,0,6,FIFA World Cup qualification,North Shore,New Zealand,True
2004-05-05,Cook Islands,Samoa,0,0,Friendly,Auckland,New Zealand,True
2004-05-10,Tahiti,Cook Islands,2,0,FIFA World Cup qualification,Honiara,Solomon Islands,True
2004-05-12,Solomon Islands,Cook Islands,5,0,FIFA World Cup qualification,Honiara,Solomon Islands,False
2004-05-15,Tonga,Cook Islands,2,1,FIFA World Cup qualification,Honiara,Solomon Islands,True
2004-05-17,New Caledonia,Cook Islands,8,0,FIFA World Cup qualification,Honiara,Solomon Islands,True
2007-08-27,Fiji,Cook Islands,4,0,South Pacific Games,Apia,Samoa,True
2007-08-29,New Caledonia,Cook Islands,3,0,South Pacific Games,Apia,Samoa,True
2007-09-01,Cook Islands,Tuvalu,4,1,South Pacific Games,Apia,Samoa,True
2007-09-03,Cook Islands,Tahiti,0,1,South Pacific Games,Apia,Samoa,True
2009-06-11,Tonga,Cook Islands,1,1,Friendly,Ha'ateiho,Tonga,False
2009-06-13,Tonga,Cook Islands,1,2,Friendly,Ha'ateiho,Tonga,False
2011-08-27,Papua New Guinea,Cook Islands,4,0,Pacific Games,Boulari,New Caledonia,True
2011-08-30,Tahiti,Cook Islands,7,0,Pacific Games,Boulari,New Caledonia,True
2011-09-01,Cook Islands,Kiribati,3,0,Pacific Games,Boulari,New Caledonia,True
2011-09-03,Cook Islands,Fiji,1,4,Pacific Games,Boulari,New Caledonia,True
2011-11-22,Samoa,Cook Islands,3,2,FIFA World Cup qualification,Apia,Samoa,False
2011-11-24,American Samoa,Cook Islands,1,1,FIFA World Cup qualification,Apia,Samoa,True
2011-11-26,Tonga,Cook Islands,2,1,FIFA World Cup qualification,Apia,Samoa,True
2015-08-31,Tonga,Cook Islands,0,3,FIFA World Cup qualification,‘Atele,Tonga,False
2015-09-02,Cook Islands,Samoa,1,0,FIFA World Cup qualification,‘Atele,Tonga,True
2015-09-04,American Samoa,Cook Islands,2,0,FIFA World Cup qualification,‘Atele,Tonga,True
2022-03-17,Cook Islands,Solomon Islands,0,2,FIFA World Cup qualification,Doha,Qatar,True
2023-08-28,Tahiti,Cook Islands,9,1,Friendly,Pirae,Tahiti,False
2023-08-31,Tahiti,Cook Islands,3,0,Friendly,Pirae,Tahiti,False
2023-11-21,Tonga,Cook Islands,1,2,Pacific Games,Honiara,Solomon Islands,True
2023-11-24,Cook Islands,New Caledonia,0,8,Pacific Games,Honiara,Solomon Islands,True
2023-11-27,Cook Islands,Papua New Guinea,0,3,Pacific Games,Solomon Islands,Solomon Islands,True
2023-11-30,Samoa,Cook Islands,3,0,Pacific Games,Solomon Islands,Solomon Islands,True
2024-03-23,Samoa,Cook Islands,1,0,Oceania Nations Cup qualification,Nuku'alofa,Tonga,True
2024-03-26,Tonga,Cook Islands,0,1,Oceania Nations Cup qualification,Nuku'alofa,Tonga,False
2024-09-06,Cook Islands,Tonga,1,3,FIFA World Cup qualification,Apia,Samoa,True
