Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1921-09-14,Costa Rica,El Salvador,7,0,Friendly,Guatemala City,Guatemala,True
1921-09-18,Guatemala,Costa Rica,0,6,Friendly,Guatemala City,Guatemala,False
1930-03-17,Costa Rica,Guatemala,8,1,Central American and Caribbean Games,Havana,Cuba,True
1930-03-22,Costa Rica,El Salvador,9,2,Central American and Caribbean Games,Havana,Cuba,True
1930-03-26,Costa Rica,El Salvador,5,0,Central American and Caribbean Games,Havana,Cuba,True
1930-03-30,Cuba,Costa Rica,2,1,Central American and Caribbean Games,Havana,Cuba,False
1930-04-04,Costa Rica,Honduras,8,0,Central American and Caribbean Games,Havana,Cuba,True
1935-03-25,Costa Rica,Guatemala,4,3,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-03-30,El Salvador,Costa Rica,1,6,Central American and Caribbean Games,San Salvador,El Salvador,False
1935-03-31,Costa Rica,Cuba,2,1,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-04-02,Mexico,Costa Rica,2,0,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-04-03,Costa Rica,Honduras,6,0,Central American and Caribbean Games,San Salvador,El Salvador,True
1938-02-12,Costa Rica,El Salvador,7,0,Central American and Caribbean Games,Panama City,Panama,True
1938-02-16,Panama,Costa Rica,0,11,Central American and Caribbean Games,Panama City,Panama,False
1938-02-18,Colombia,Costa Rica,1,2,Central American and Caribbean Games,Panama City,Panama,True
1938-02-20,Venezuela,Costa Rica,0,3,Central American and Caribbean Games,Panama City,Panama,True
1938-02-22,Mexico,Costa Rica,2,1,Central American and Caribbean Games,Panama City,Panama,True
1941-05-10,Costa Rica,Nicaragua,7,2,CCCF Championship,San José,Costa Rica,False
1941-05-11,Costa Rica,Panama,7,0,CCCF Championship,San José,Costa Rica,False
1941-05-13,Costa Rica,Curaçao,6,2,CCCF Championship,San José,Costa Rica,False
1941-05-18,Costa Rica,El Salvador,3,1,CCCF Championship,San José,Costa Rica,False
1943-12-05,Costa Rica,Nicaragua,7,0,CCCF Championship,San Salvador,El Salvador,True
1943-12-07,Costa Rica,Guatemala,2,3,CCCF Championship,San Salvador,El Salvador,True
1943-12-09,El Salvador,Costa Rica,4,2,CCCF Championship,San Salvador,El Salvador,False
1943-12-12,Nicaragua,Costa Rica,2,3,CCCF Championship,San Salvador,El Salvador,True
1943-12-16,Guatemala,Costa Rica,4,2,CCCF Championship,San Salvador,El Salvador,True
1943-12-19,El Salvador,Costa Rica,2,4,CCCF Championship,San Salvador,El Salvador,False
1946-02-24,Costa Rica,Nicaragua,7,1,CCCF Championship,San José,Costa Rica,False
1946-02-26,Costa Rica,Panama,7,0,CCCF Championship,San José,Costa Rica,False
1946-03-07,Costa Rica,Honduras,5,1,CCCF Championship,San José,Costa Rica,False
1946-03-10,Costa Rica,Guatemala,1,4,CCCF Championship,San José,Costa Rica,False
1946-03-13,Costa Rica,El Salvador,4,0,CCCF Championship,San José,Costa Rica,False
1946-12-10,Costa Rica,Puerto Rico,12,0,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-14,Costa Rica,Venezuela,4,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-16,Costa Rica,Guatemala,6,0,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-18,Colombia,Costa Rica,4,1,Central American and Caribbean Games,Barranquilla,Colombia,False
1946-12-20,Curaçao,Costa Rica,4,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-21,Panama,Costa Rica,2,0,Central American and Caribbean Games,Barranquilla,Colombia,True
1948-02-29,Costa Rica,El Salvador,3,1,CCCF Championship,Guatemala City,Guatemala,True
1948-03-04,Guatemala,Costa Rica,1,1,CCCF Championship,Guatemala City,Guatemala,False
1948-03-07,Costa Rica,Curaçao,2,1,CCCF Championship,Guatemala City,Guatemala,True
1948-03-11,Costa Rica,Panama,3,1,CCCF Championship,Guatemala City,Guatemala,True
1948-03-16,Guatemala,Costa Rica,3,2,CCCF Championship,Guatemala City,Guatemala,False
1948-03-18,El Salvador,Costa Rica,0,6,CCCF Championship,Guatemala City,Guatemala,True
1948-03-20,Curaçao,Costa Rica,4,1,CCCF Championship,Guatemala City,Guatemala,True
1951-02-25,Costa Rica,Nicaragua,8,1,CCCF Championship,Panama City,Panama,True
1951-02-27,Panama,Costa Rica,2,0,CCCF Championship,Panama City,Panama,False
1951-03-02,Panama,Costa Rica,1,1,CCCF Championship,Panama City,Panama,False
1951-03-03,Nicaragua,Costa Rica,1,4,CCCF Championship,Panama City,Panama,True
1953-03-08,Costa Rica,El Salvador,5,1,CCCF Championship,San José,Costa Rica,False
1953-03-10,Costa Rica,Panama,3,0,CCCF Championship,San José,Costa Rica,False
1953-03-13,Costa Rica,Honduras,4,1,CCCF Championship,San José,Costa Rica,False
1953-03-15,Costa Rica,Curaçao,1,0,CCCF Championship,San José,Costa Rica,False
1953-03-17,Costa Rica,Nicaragua,3,0,CCCF Championship,San José,Costa Rica,False
1953-03-21,Costa Rica,Guatemala,3,0,CCCF Championship,San José,Costa Rica,False
1955-07-24,Costa Rica,Guatemala,9,1,Friendly,San José,Costa Rica,False
1955-07-31,Guatemala,Costa Rica,3,1,Friendly,Guatemala City,Guatemala,False
1955-08-14,Costa Rica,Aruba,3,2,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-16,Costa Rica,Cuba,6,0,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-19,Costa Rica,El Salvador,4,0,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-21,Guatemala,Costa Rica,0,2,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-24,Costa Rica,Curaçao,2,1,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-28,Honduras,Costa Rica,1,2,CCCF Championship,Tegucigalpa,Honduras,False
1956-02-26,Mexico,Costa Rica,1,1,Pan American Championship,Mexico City,Mexico,False
1956-03-06,Argentina,Costa Rica,4,3,Pan American Championship,Mexico City,Mexico,True
