Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1930-03-16,Cuba,Jamaica,3,1,Central American and Caribbean Games,Havana,Cuba,False
1930-03-20,Cuba,Honduras,7,0,Central American and Caribbean Games,Havana,Cuba,False
1930-03-23,Cuba,Honduras,5,0,Central American and Caribbean Games,Havana,Cuba,False
1930-03-30,Cuba,Costa Rica,2,1,Central American and Caribbean Games,Havana,Cuba,False
1930-04-01,Cuba,El Salvador,5,2,Central American and Caribbean Games,Havana,Cuba,False
1934-01-28,Haiti,Cuba,1,3,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1934-02-01,Haiti,Cuba,1,1,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1934-02-04,Haiti,Cuba,0,6,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1934-03-04,Mexico,Cuba,3,2,FIFA World Cup qualification,Mexico City,Mexico,False
1934-03-11,Mexico,Cuba,5,0,FIFA World Cup qualification,Mexico City,Mexico,False
1934-03-18,Mexico,Cuba,4,1,FIFA World Cup qualification,Mexico City,Mexico,False
1935-03-24,El Salvador,Cuba,4,1,Central American and Caribbean Games,San Salvador,El Salvador,False
1935-03-25,Cuba,Honduras,3,0,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-03-27,Cuba,Guatemala,2,1,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-03-30,Mexico,Cuba,6,1,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-03-31,Costa Rica,Cuba,2,1,Central American and Caribbean Games,San Salvador,El Salvador,True
1938-05-29,Cuba,Basque Country,0,4,Friendly,Havana,Cuba,False
1938-06-05,Cuba,Romania,3,3,FIFA World Cup,Toulouse,France,True
1938-06-09,Cuba,Romania,2,1,FIFA World Cup,Toulouse,France,True
1938-06-12,Cuba,Sweden,0,8,FIFA World Cup,Antibes,France,True
1938-06-20,Cuba,Basque Country,3,4,Friendly,Havana,Cuba,False
1939-08-06,Panama,Cuba,0,4,Friendly,Panama City,Panama,False
1940-11-12,Cuba,Puerto Rico,1,1,Friendly,Havana,Cuba,False
1942-01-26,Cuba,Puerto Rico,1,0,Friendly,Havana,Cuba,False
1942-01-29,Cuba,Puerto Rico,1,0,Friendly,Havana,Cuba,False
1947-07-17,Cuba,Mexico,1,3,NAFC Championship,Havana,Cuba,False
1947-07-20,Cuba,United States,5,2,NAFC Championship,Havana,Cuba,False
1947-12-06,Cuba,Puerto Rico,4,0,Friendly,Havana,Cuba,False
1947-12-10,Cuba,Puerto Rico,0,0,Friendly,Havana,Cuba,False
1948-06-09,Jamaica,Cuba,3,0,Friendly,Kingston,Jamaica,False
1948-06-12,Jamaica,Cuba,1,1,Friendly,Kingston,Jamaica,False
1949-05-09,Cuba,Martinique,0,0,Friendly,Paramaribo,Dutch Guyana,True
1949-05-12,Suriname,Cuba,0,1,Friendly,Paramaribo,Dutch Guyana,False
1949-05-14,Cuba,Dominican Republic,0,1,Friendly,Paramaribo,Dutch Guyana,True
1949-09-11,Mexico,Cuba,2,0,NAFC Championship,Mexico City,Mexico,False
1949-09-14,Cuba,United States,1,1,NAFC Championship,Mexico City,Mexico,True
1949-09-21,United States,Cuba,5,2,FIFA World Cup qualification,Mexico City,Mexico,True
1949-09-25,Mexico,Cuba,3,0,FIFA World Cup qualification,Mexico City,Mexico,False
1949-12-18,Cuba,Jamaica,2,5,Friendly,Port-au-Prince,Haiti,True
1949-12-20,Haiti,Cuba,3,0,Friendly,Port-au-Prince,Haiti,False
1955-08-14,Honduras,Cuba,3,0,CCCF Championship,Tegucigalpa,Honduras,False
1955-08-16,Costa Rica,Cuba,6,0,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-19,Aruba,Cuba,4,1,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-20,El Salvador,Cuba,2,1,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-28,Curaçao,Cuba,2,0,CCCF Championship,Tegucigalpa,Honduras,True
1957-08-14,Cuba,Panama,0,1,CCCF Championship,Willemstad,Curaçao,True
1957-08-18,Curaçao,Cuba,2,0,CCCF Championship,Willemstad,Curaçao,False
1957-08-21,Cuba,Honduras,0,2,CCCF Championship,Willemstad,Curaçao,True
1957-08-23,Cuba,Haiti,1,6,CCCF Championship,Willemstad,Curaçao,True
1960-02-23,Cuba,Curaçao,3,4,CCCF Championship,Havana,Cuba,False
1961-03-05,Costa Rica,Cuba,4,1,CCCF Championship,San José,Costa Rica,False
1961-03-07,Cuba,Haiti,1,2,CCCF Championship,San José,Costa Rica,True
1961-03-10,Cuba,Panama,0,1,CCCF Championship,San José,Costa Rica,True
1961-03-12,Cuba,Guatemala,0,2,CCCF Championship,San José,Costa Rica,True
