Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1949-07-30,Israel,Cyprus,3,1,Friendly,Tel Aviv,Israel,False
1960-11-13,Cyprus,Israel,1,1,FIFA World Cup qualification,Nicosia,Cyprus,False
1960-11-27,Israel,Cyprus,6,1,FIFA World Cup qualification,Ramat Gan,Israel,False
1963-11-27,Cyprus,Greece,3,1,Friendly,Nicosia,Cyprus,False
1965-03-20,Cyprus,Lebanon,2,0,Friendly,Nicosia,Cyprus,False
1965-04-24,Germany,Cyprus,5,0,FIFA World Cup qualification,Karlsruhe,Germany,False
1965-05-05,Sweden,Cyprus,3,0,FIFA World Cup qualification,Norrköping,Sweden,False
1965-11-07,Cyprus,Sweden,0,5,FIFA World Cup qualification,Famagusta,Cyprus,False
1965-11-14,Cyprus,Germany,0,6,FIFA World Cup qualification,Nicosia,Cyprus,False
1966-12-03,Cyprus,Romania,1,5,UEFA Euro qualification,Nicosia,Cyprus,False
1967-03-22,Cyprus,Italy,0,2,UEFA Euro qualification,Nicosia,Cyprus,False
1967-04-23,Romania,Cyprus,7,0,UEFA Euro qualification,Bucharest,Romania,False
1967-11-01,Italy,Cyprus,5,0,UEFA Euro qualification,Cosenza,Italy,False
1967-11-08,Switzerland,Cyprus,5,0,UEFA Euro qualification,Lugano,Switzerland,False
1968-02-17,Cyprus,Switzerland,2,1,UEFA Euro qualification,Nicosia,Cyprus,False
1968-05-19,Austria,Cyprus,7,1,FIFA World Cup qualification,Vienna,Austria,False
1968-11-23,Cyprus,Germany,0,1,FIFA World Cup qualification,Nicosia,Cyprus,False
1968-12-11,Cyprus,Scotland,0,5,FIFA World Cup qualification,Nicosia,Cyprus,False
1969-03-25,Greece,Cyprus,1,0,Friendly,Athens,Greece,False
1969-04-19,Cyprus,Austria,1,2,FIFA World Cup qualification,Nicosia,Cyprus,False
1969-05-17,Scotland,Cyprus,8,0,FIFA World Cup qualification,Glasgow,Scotland,False
1969-05-21,Germany,Cyprus,12,0,FIFA World Cup qualification,Essen,Germany,False
1970-11-15,Cyprus,Russia,1,3,UEFA Euro qualification,Nicosia,Cyprus,False
1970-12-09,Greece,Cyprus,1,1,Friendly,Piraeus,Greece,False
1971-02-03,Cyprus,Northern Ireland,0,3,UEFA Euro qualification,Nicosia,Cyprus,False
1971-04-21,Northern Ireland,Cyprus,5,0,UEFA Euro qualification,Belfast,Northern Ireland,False
1971-05-09,Cyprus,Spain,0,2,UEFA Euro qualification,Nicosia,Cyprus,False
1971-06-07,Russia,Cyprus,6,1,UEFA Euro qualification,Moscow,Soviet Union,False
1971-07-05,Zambia,Cyprus,3,0,Friendly,Lusaka,Zambia,False
1971-07-08,Zambia,Cyprus,3,0,Friendly,Kitwe,Zambia,False
1971-07-11,Zambia,Cyprus,3,0,Friendly,Ndola,Zambia,False
1971-11-24,Spain,Cyprus,7,0,UEFA Euro qualification,Granada,Spain,False
1972-03-29,Portugal,Cyprus,4,0,FIFA World Cup qualification,Lisbon,Portugal,False
1972-05-10,Cyprus,Portugal,0,1,FIFA World Cup qualification,Nicosia,Cyprus,False
1972-11-19,Cyprus,Bulgaria,0,4,FIFA World Cup qualification,Akdoğan,Cyprus,False
1973-01-28,Cyprus,Bulgaria,0,3,Friendly,Akdoğan,Cyprus,False
1973-02-14,Cyprus,Northern Ireland,1,0,FIFA World Cup qualification,Akdoğan,Cyprus,False
1973-05-08,Northern Ireland,Cyprus,3,0,FIFA World Cup qualification,London,England,True
1973-11-18,Bulgaria,Cyprus,2,0,FIFA World Cup qualification,Sofia,Bulgaria,False
1974-02-06,Cyprus,Bulgaria,1,4,Friendly,Morphou,Cyprus,False
1974-11-15,Greece,Cyprus,3,1,Friendly,Piraeus,Greece,False
1975-04-01,Cyprus,Greece,1,2,Friendly,Nicosia,Cyprus,False
