Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1903-04-05,Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary,False
1906-04-01,Hungary,Czechoslovakia,1,1,Friendly,Budapest,Hungary,False
1906-10-07,Czechoslovakia,Hungary,4,4,Friendly,Prague,Bohemia,False
1907-04-07,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,False
1907-10-06,Czechoslovakia,Hungary,5,3,Friendly,Prague,Bohemia,False
1908-04-05,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,False
1908-06-13,Czechoslovakia,England,0,4,Friendly,Prague,Bohemia,False
1910-10-16,Russia,Czechoslovakia,5,4,Friendly,Saint Petersburg,Russia,False
1910-10-23,Russia,Czechoslovakia,1,0,Friendly,Moscow,Russia,False
1919-06-24,Czechoslovakia,Belgium,4,1,Inter-Allied Games,Paris,France,True
1919-06-26,Czechoslovakia,United States,8,2,Inter-Allied Games,Paris,France,True
1919-06-28,Czechoslovakia,Canada,3,2,Inter-Allied Games,Paris,France,True
1919-06-29,France,Czechoslovakia,2,3,Inter-Allied Games,Paris,France,False
1920-08-28,Czechoslovakia,Yugoslavia,7,0,Olympic Games,Antwerp,Belgium,True
1920-08-29,Czechoslovakia,Norway,4,0,Olympic Games,Brussels,Belgium,True
1920-08-31,France,Czechoslovakia,1,4,Olympic Games,Antwerp,Belgium,True
1920-09-02,Belgium,Czechoslovakia,2,0,Olympic Games,Antwerp,Belgium,False
1921-10-28,Czechoslovakia,Yugoslavia,6,1,Friendly,Prague,Czechoslovakia,False
1921-11-13,Czechoslovakia,Sweden,2,2,Friendly,Prague,Czechoslovakia,False
1922-02-26,Italy,Czechoslovakia,1,1,Friendly,Turin,Italy,False
1922-06-11,Denmark,Czechoslovakia,0,3,Friendly,Copenhagen,Denmark,False
1922-06-28,Yugoslavia,Czechoslovakia,4,3,Friendly,Zagreb,Yugoslavia,False
1922-08-13,Sweden,Czechoslovakia,0,2,Friendly,Stockholm,Sweden,False
1923-05-06,Czechoslovakia,Denmark,2,0,Friendly,Prague,Czechoslovakia,False
1923-05-27,Czechoslovakia,Italy,5,1,Friendly,Prague,Czechoslovakia,False
1923-07-01,Romania,Czechoslovakia,0,6,Friendly,Cluj,Romania,False
1923-10-28,Czechoslovakia,Yugoslavia,4,4,Friendly,Prague,Czechoslovakia,False
1924-05-25,Czechoslovakia,Turkey,5,2,Olympic Games,Paris,France,True
1924-05-28,Switzerland,Czechoslovakia,1,1,Olympic Games,Paris,France,True
1924-05-30,Switzerland,Czechoslovakia,1,0,Olympic Games,Paris,France,True
1924-08-31,Czechoslovakia,Romania,4,1,Friendly,Prague,Czechoslovakia,False
1924-09-28,Yugoslavia,Czechoslovakia,0,2,Friendly,Zagreb,Yugoslavia,False
1925-05-24,Czechoslovakia,Austria,3,1,Friendly,Prague,Czechoslovakia,False
1925-10-11,Czechoslovakia,Hungary,2,0,Friendly,Prague,Czechoslovakia,False
1925-10-28,Czechoslovakia,Yugoslavia,7,0,Friendly,Prague,Czechoslovakia,False
1925-12-13,Catalonia,Czechoslovakia,2,1,Friendly,Barcelona,Spain,False
1926-01-17,Italy,Czechoslovakia,3,1,Friendly,Turin,Italy,False
1926-03-14,Austria,Czechoslovakia,2,0,Friendly,Vienna,Austria,False
1926-06-06,Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary,False
1926-06-13,Sweden,Czechoslovakia,2,2,Friendly,Stockholm,Sweden,False
