Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1948-05-25,DR Congo,Zambia,2,3,Friendly,Brazzaville,Belgian Congo,False
1950-01-24,Zambia,DR Congo,1,0,Friendly,Kitwe,Northern Rhodesia,False
1953-09-24,DR Congo,Cameroon,2,3,Friendly,Léopoldville,Belgian Congo,False
1956-01-02,DR Congo,Cameroon,2,4,Friendly,Léopoldville,Belgian Congo,False
1963-04-12,DR Congo,Mauritania,6,0,African Friendship Games,Dakar,Senegal,True
1963-04-13,Congo,DR Congo,2,1,African Friendship Games,Dakar,Senegal,True
1963-04-15,Ivory Coast,DR Congo,1,0,African Friendship Games,Dakar,Senegal,True
1963-04-16,DR Congo,Tunisia,1,0,African Friendship Games,Dakar,Senegal,True
1964-02-24,Congo,DR Congo,0,0,Friendly,Brazzaville,Congo,False
1964-04-22,Cameroon,DR Congo,2,2,Friendly,Yaoundé,Cameroon,False
1964-07-13,Cameroon,DR Congo,1,1,Friendly,Yaoundé,Cameroon,False
1964-07-19,Cameroon,DR Congo,2,1,Friendly,Yaoundé,Cameroon,False
1965-01-09,Togo,DR Congo,0,3,Friendly,Lomé,Togo,False
1965-01-17,Ivory Coast,DR Congo,2,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1965-02-01,Congo,DR Congo,0,3,Friendly,Brazzaville,Congo,False
1965-04-14,Ghana,DR Congo,4,1,Friendly,Accra,Ghana,False
1965-07-19,Madagascar,DR Congo,0,7,All-African Games,Brazzaville,Congo,True
1965-07-20,Algeria,DR Congo,4,1,All-African Games,Brazzaville,Congo,True
1965-07-21,Ivory Coast,DR Congo,1,1,All-African Games,Brazzaville,Congo,True
1965-07-25,DR Congo,Togo,5,1,All-African Games,Brazzaville,Congo,True
1965-07-26,DR Congo,Uganda,6,2,All-African Games,Brazzaville,Congo,True
1965-08-14,Liberia,DR Congo,2,1,African Cup of Nations qualification,Monrovia,Liberia,False
1965-09-05,DR Congo,Ivory Coast,4,2,African Cup of Nations qualification,Brazzaville,Congo,True
1965-09-21,DR Congo,Liberia,3,2,African Cup of Nations qualification,Brazzaville,Congo,True
1965-11-12,DR Congo,Ghana,2,5,African Cup of Nations,Sousse,Tunisia,True
1965-11-14,DR Congo,Ivory Coast,0,3,African Cup of Nations,Sfax,Tunisia,True
1966-02-27,Niger,DR Congo,2,1,Friendly,Niamey,Niger,False
1966-06-30,DR Congo,Ghana,0,3,Friendly,Brazzaville,Congo,True
1966-08-07,DR Congo,Central African Republic,5,0,Friendly,Kinshasa,Congo-Kinshasa,False
1966-11-05,Nigeria,DR Congo,3,2,Friendly,Lagos,Nigeria,False
1966-11-25,DR Congo,Nigeria,1,0,Friendly,Kinshasa,Congo-Kinshasa,False
1966-12-02,DR Congo,Gabon,4,3,Friendly,Bangui,Central African Republic,True
1966-12-03,Central African Republic,DR Congo,1,4,Friendly,Bangui,Central African Republic,False
1967-01-04,Gabon,DR Congo,1,0,Friendly,Libreville,Gabon,False
1967-01-22,DR Congo,Congo,4,1,Friendly,Kinshasa,Congo-Kinshasa,False
1967-02-18,Togo,DR Congo,2,4,Friendly,Lomé,Togo,False
1967-02-24,Uganda,DR Congo,0,5,Friendly,Kampala,Uganda,False
1967-03-18,DR Congo,Sudan,3,2,African Cup of Nations qualification,Kinshasa,Congo-Kinshasa,False
1967-04-02,Sudan,DR Congo,1,0,African Cup of Nations qualification,Khartoum,Sudan,False
1967-04-19,Congo,DR Congo,3,1,Friendly,Brazzaville,Congo,False
1967-05-24,Ghana,DR Congo,2,0,Friendly,Accra,Ghana,False
1967-08-02,DR Congo,Ethiopia,1,0,Friendly,Kinshasa,Congo-Kinshasa,False
1967-08-10,DR Congo,Mali,2,2,Friendly,Kinshasa,Congo-Kinshasa,False
1967-08-13,DR Congo,Sudan,2,1,African Cup of Nations qualification,Kampala,Uganda,True
1967-08-19,Kenya,DR Congo,5,4,Friendly,Nairobi,Kenya,False
1967-08-20,Kenya,DR Congo,1,1,Friendly,Nairobi,Kenya,False
1967-09-01,DR Congo,Ghana,0,2,Friendly,Kinshasa,Congo-Kinshasa,False
1967-09-17,DR Congo,Tanzania,1,0,African Cup of Nations qualification,Kinshasa,Congo-Kinshasa,False
1967-10-14,Tanzania,DR Congo,0,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1967-10-20,Liberia,DR Congo,1,4,Friendly,Monrovia,Liberia,False
1967-11-24,Benin,DR Congo,2,5,Friendly,Cotonou,Dahomey,False
