Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1908-10-22,France,Denmark,1,17,Olympic Games,London,England,True
1912-06-30,Denmark,Norway,7,0,Olympic Games,Stockholm,Sweden,True
1912-07-02,Denmark,Netherlands,4,1,Olympic Games,Stockholm,Sweden,True
1912-10-06,Denmark,Germany,3,1,Friendly,Copenhagen,Denmark,False
1913-05-25,Denmark,Sweden,8,0,Friendly,Copenhagen,Denmark,False
1913-10-05,Sweden,Denmark,0,10,Friendly,Stockholm,Sweden,False
1913-10-26,Germany,Denmark,1,4,Friendly,Hamburg,Germany,False
1914-05-17,Denmark,Netherlands,4,3,Friendly,Copenhagen,Denmark,False
1915-06-06,Denmark,Sweden,2,0,Friendly,Copenhagen,Denmark,False
1915-09-19,Denmark,Norway,8,1,Friendly,Copenhagen,Denmark,False
1915-10-31,Sweden,Denmark,0,2,Friendly,Stockholm,Sweden,False
1916-06-04,Denmark,Sweden,2,0,Friendly,Copenhagen,Denmark,False
1916-06-25,Norway,Denmark,0,2,Friendly,Kristiania,Norway,False
1916-10-08,Sweden,Denmark,4,0,Friendly,Stockholm,Sweden,False
1916-10-15,Denmark,Norway,8,0,Friendly,Copenhagen,Denmark,False
1917-06-03,Denmark,Sweden,1,1,Friendly,Copenhagen,Denmark,False
1917-06-17,Norway,Denmark,1,2,Friendly,Kristiania,Norway,False
1917-10-07,Denmark,Norway,12,0,Friendly,Copenhagen,Denmark,False
1917-10-14,Sweden,Denmark,1,2,Friendly,Stockholm,Sweden,False
1918-06-02,Denmark,Sweden,3,0,Friendly,Copenhagen,Denmark,False
1918-06-16,Norway,Denmark,3,1,Friendly,Kristiania,Norway,False
1918-10-06,Denmark,Norway,4,0,Friendly,Copenhagen,Denmark,False
1918-10-20,Sweden,Denmark,1,2,Friendly,Gothenburg,Sweden,False
1919-06-05,Denmark,Sweden,3,0,Friendly,Copenhagen,Denmark,False
1919-06-12,Denmark,Norway,5,1,Friendly,Copenhagen,Denmark,False
1919-09-21,Norway,Denmark,3,2,Friendly,Kristiania,Norway,False
1919-10-12,Sweden,Denmark,3,0,Friendly,Stockholm,Sweden,False
1920-04-05,Netherlands,Denmark,2,0,Friendly,Amsterdam,Netherlands,False
1920-06-13,Norway,Denmark,1,1,Friendly,Kristiania,Norway,False
1920-08-28,Spain,Denmark,1,0,Olympic Games,Brussels,Belgium,True
1920-10-10,Sweden,Denmark,0,2,Friendly,Stockholm,Sweden,False
1921-06-12,Denmark,Netherlands,1,1,Friendly,Copenhagen,Denmark,False
1921-10-02,Denmark,Norway,3,1,Friendly,Copenhagen,Denmark,False
1921-10-09,Sweden,Denmark,0,0,Friendly,Stockholm,Sweden,False
1922-04-15,Belgium,Denmark,0,0,Friendly,Liège,Belgium,False
1922-04-17,Netherlands,Denmark,2,0,Friendly,Amsterdam,Netherlands,False
1922-06-11,Denmark,Czechoslovakia,0,3,Friendly,Copenhagen,Denmark,False
1922-09-10,Norway,Denmark,3,3,Friendly,Fredrikstad,Norway,False
1922-10-01,Denmark,Sweden,1,2,Friendly,Copenhagen,Denmark,False
1923-05-06,Czechoslovakia,Denmark,2,0,Friendly,Prague,Czechoslovakia,False
1923-06-17,Denmark,Switzerland,3,2,Friendly,Copenhagen,Denmark,False
1923-09-30,Denmark,Norway,2,1,Friendly,Copenhagen,Denmark,False
1923-10-14,Sweden,Denmark,1,3,Friendly,Stockholm,Sweden,False
1924-04-21,Switzerland,Denmark,2,0,Friendly,Basel,Switzerland,False
1924-06-15,Denmark,Sweden,2,3,Nordic Championship,Copenhagen,Denmark,False
1924-09-14,Norway,Denmark,1,3,Nordic Championship,Kristiania,Norway,False
1924-10-05,Denmark,Belgium,2,1,Friendly,Copenhagen,Denmark,False
1925-06-14,Sweden,Denmark,0,2,Nordic Championship,Stockholm,Sweden,False
1925-06-21,Denmark,Norway,5,1,Nordic Championship,Copenhagen,Denmark,False
1925-09-27,Denmark,Finland,3,3,Friendly,Aarhus,Denmark,False
1925-10-25,Netherlands,Denmark,4,2,Friendly,Amsterdam,Netherlands,False
1926-06-13,Denmark,Netherlands,4,1,Friendly,Copenhagen,Denmark,False
1926-06-20,Finland,Denmark,3,2,Friendly,Helsinki,Finland,False
1926-09-19,Norway,Denmark,2,2,Nordic Championship,Oslo,Norway,False
1926-10-03,Denmark,Sweden,2,0,Nordic Championship,Copenhagen,Denmark,False
1927-05-29,Norway,Denmark,0,1,Friendly,Oslo,Norway,False
1927-06-12,Denmark,Netherlands,1,1,Friendly,Copenhagen,Denmark,False
1927-06-19,Sweden,Denmark,0,0,Nordic Championship,Stockholm,Sweden,False
1927-10-02,Denmark,Germany,3,1,Friendly,Copenhagen,Denmark,False
1927-10-30,Denmark,Norway,3,1,Nordic Championship,Copenhagen,Denmark,False
1928-04-22,Netherlands,Denmark,2,0,Friendly,Amsterdam,Netherlands,False
1928-06-17,Norway,Denmark,2,3,Nordic Championship,Oslo,Norway,False
1928-09-16,Germany,Denmark,2,1,Friendly,Nuremberg,Germany,False
1928-10-07,Denmark,Sweden,3,1,Nordic Championship,Copenhagen,Denmark,False
1929-06-16,Sweden,Denmark,3,2,Nordic Championship,Gothenburg,Sweden,False
1929-06-23,Denmark,Norway,2,5,Nordic Championship,Copenhagen,Denmark,False
1929-10-13,Denmark,Finland,8,0,Nordic Championship,Copenhagen,Denmark,False
1930-06-16,Finland,Denmark,1,6,Nordic Championship,Helsinki,Finland,False
1930-06-22,Denmark,Sweden,6,1,Nordic Championship,Copenhagen,Denmark,False
1930-09-07,Denmark,Germany,6,3,Friendly,Copenhagen,Denmark,False
1930-09-21,Norway,Denmark,1,0,Nordic Championship,Oslo,Norway,False
1931-05-25,Denmark,Norway,3,1,Nordic Championship,Copenhagen,Denmark,False
1931-06-14,Denmark,Netherlands,0,2,Friendly,Copenhagen,Denmark,False
1931-06-28,Sweden,Denmark,3,1,Nordic Championship,Stockholm,Sweden,False
1931-09-27,Germany,Denmark,4,2,Friendly,Hanover,Germany,False
1931-10-11,Denmark,Finland,2,3,Nordic Championship,Copenhagen,Denmark,False
1932-06-05,Denmark,Belgium,3,4,Friendly,Copenhagen,Denmark,False
1932-06-19,Denmark,Sweden,3,1,Nordic Championship,Copenhagen,Denmark,False
1932-08-30,Finland,Denmark,4,2,Nordic Championship,Helsinki,Finland,False
1932-09-25,Norway,Denmark,1,2,Nordic Championship,Oslo,Norway,False
1933-06-11,Denmark,Norway,2,2,Nordic Championship,Copenhagen,Denmark,False
1933-06-18,Sweden,Denmark,2,3,Nordic Championship,Stockholm,Sweden,False
1933-10-08,Denmark,Finland,2,0,Nordic Championship,Copenhagen,Denmark,False
1933-11-26,Belgium,Denmark,2,2,Friendly,Brussels,Belgium,False
1934-05-21,Denmark,Poland,4,2,Friendly,Copenhagen,Denmark,False
1934-06-17,Denmark,Sweden,3,5,Nordic Championship,Copenhagen,Denmark,False
1934-07-03,Finland,Denmark,2,1,Nordic Championship,Helsinki,Finland,False
1934-09-23,Norway,Denmark,3,1,Nordic Championship,Oslo,Norway,False
1934-10-07,Denmark,Germany,2,5,Friendly,Copenhagen,Denmark,False
1935-06-16,Sweden,Denmark,3,1,Nordic Championship,Gothenburg,Sweden,False
1935-06-23,Denmark,Norway,1,0,Nordic Championship,Copenhagen,Denmark,False
1935-10-06,Denmark,Finland,5,1,Nordic Championship,Copenhagen,Denmark,False
1935-11-03,Netherlands,Denmark,3,0,Friendly,Amsterdam,Netherlands,False
1936-06-14,Denmark,Sweden,4,3,Nordic Championship,Copenhagen,Denmark,False
1936-06-30,Finland,Denmark,1,4,Nordic Championship,Helsinki,Finland,False
1936-09-20,Norway,Denmark,3,3,Nordic Championship,Oslo,Norway,False
1936-10-04,Denmark,Poland,2,1,Friendly,Copenhagen,Denmark,False
1937-05-16,Germany,Denmark,8,0,Friendly,Breslau,Germany,False
1937-06-13,Denmark,Norway,5,1,Nordic Championship,Copenhagen,Denmark,False
1937-08-29,Denmark,Basque Country,1,11,Friendly,Copenhagen,Denmark,False
