Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1932-03-23,Dominica,Martinique,1,0,Friendly,Roseau,Dominica,False
1938-01-09,Dominica,Saint Lucia,4,1,Friendly,Roseau,Dominica,False
1938-01-10,Dominica,Saint Lucia,1,3,Friendly,Roseau,Dominica,False
1938-01-11,Dominica,Saint Lucia,1,0,Friendly,Roseau,Dominica,False
1939-01-12,Dominica,Martinique,3,1,Friendly,Roseau,Dominica,False
1948-09-01,Martinique,Dominica,5,0,Friendly,Fort-de-France,Martinique,False
1948-12-16,Dominica,Martinique,0,6,Friendly,Basse-Terre,Guadeloupe,True
1961-01-15,Saint Lucia,Dominica,4,1,Windward Islands Tournament,Castries,Saint Lucia,False
1961-01-18,Dominica,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Castries,Saint Lucia,True
1961-01-19,Dominica,Grenada,1,8,Windward Islands Tournament,Castries,Saint Lucia,True
1964-01-07,Dominica,Saint Vincent and the Grenadines,2,2,Windward Islands Tournament,Castries,Saint Lucia,True
1964-01-08,Saint Lucia,Dominica,4,2,Windward Islands Tournament,Castries,Saint Lucia,False
1964-01-11,Dominica,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Castries,Saint Lucia,True
1964-01-12,Saint Lucia,Dominica,5,0,Windward Islands Tournament,Castries,Saint Lucia,False
1965-11-21,Dominica,Grenada,2,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1965-11-23,Dominica,Saint Lucia,1,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1965-11-26,Saint Vincent and the Grenadines,Dominica,3,1,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1966-11-05,Dominica,Saint Vincent and the Grenadines,0,1,Windward Islands Tournament,St. George's,Grenada,True
1966-11-08,Grenada,Dominica,3,3,Windward Islands Tournament,St. George's,Grenada,False
1966-11-10,Dominica,Saint Lucia,5,3,Windward Islands Tournament,St. George's,Grenada,True
1967-11-27,Dominica,Saint Lucia,2,4,Windward Islands Tournament,Roseau,Dominica,False
1967-11-30,Dominica,Grenada,2,4,Windward Islands Tournament,Roseau,Dominica,False
1967-12-03,Dominica,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,Roseau,Dominica,False
1968-11-18,Saint Lucia,Dominica,4,0,Windward Islands Tournament,Castries,Saint Lucia,False
1968-11-20,Dominica,Grenada,2,6,Windward Islands Tournament,Castries,Saint Lucia,True
1968-11-23,Dominica,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Castries,Saint Lucia,True
1969-10-14,Dominica,Suriname,1,3,Friendly,Roseau,Dominica,False
1969-10-16,Dominica,Suriname,1,9,Friendly,Roseau,Dominica,False
1969-11-09,Saint Vincent and the Grenadines,Dominica,1,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1969-11-13,Dominica,Grenada,0,1,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1969-11-14,Dominica,Saint Lucia,1,3,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1970-11-21,Dominica,Saint Lucia,1,1,Windward Islands Tournament,St. George's,Grenada,True
1970-11-24,Dominica,Saint Vincent and the Grenadines,0,1,Windward Islands Tournament,St. George's,Grenada,True
1970-11-27,Grenada,Dominica,2,1,Windward Islands Tournament,St. George's,Grenada,False
1971-11-28,Dominica,Saint Vincent and the Grenadines,3,0,Windward Islands Tournament,Roseau,Dominica,False
1971-12-01,Dominica,Saint Lucia,2,2,Windward Islands Tournament,Roseau,Dominica,False
1971-12-04,Dominica,Grenada,3,0,Windward Islands Tournament,Roseau,Dominica,False
