Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1920-08-28,Italy,Egypt,2,1,Olympic Games,Ghent,Belgium,True
1920-09-03,Egypt,Yugoslavia,4,2,Friendly,Antwerp,Belgium,True
1924-05-27,Egypt,Lithuania,10,0,Friendly,Vincennes,France,True
1924-05-29,Egypt,Hungary,3,0,Olympic Games,Paris,France,True
1924-06-01,Sweden,Egypt,5,0,Olympic Games,Paris,France,True
1924-06-22,Austria,Egypt,3,1,Friendly,Vienna,Austria,False
1924-06-29,Sweden,Egypt,5,0,Friendly,Stockholm,Sweden,False
1928-05-28,Egypt,Turkey,7,1,Olympic Games,Amsterdam,Netherlands,True
1928-06-04,Egypt,Portugal,2,1,Olympic Games,Amsterdam,Netherlands,True
1928-06-06,Argentina,Egypt,6,0,Olympic Games,Amsterdam,Netherlands,True
1928-06-09,Italy,Egypt,11,3,Olympic Games,Amsterdam,Netherlands,True
1928-06-14,Netherlands,Egypt,1,2,Friendly,Rotterdam,Netherlands,False
1928-06-28,Luxembourg,Egypt,1,1,Friendly,Esch-sur-Alzette,Luxembourg,False
1932-02-19,Egypt,Hungary,0,0,Friendly,Cairo,Egypt,False
1934-03-16,Egypt,Israel,7,1,FIFA World Cup qualification,Cairo,Egypt,False
1934-04-06,Israel,Egypt,1,4,FIFA World Cup qualification,Tel Aviv,Mandatory Palestine,False
1934-05-27,Egypt,Hungary,2,4,FIFA World Cup,Naples,Italy,True
1936-06-19,Egypt,Greece,3,1,Friendly,Cairo,Egypt,False
1948-12-24,Egypt,Norway,1,1,Friendly,Cairo,Egypt,False
1949-05-12,Egypt,Turkey,2,3,Friendly,Athens,Greece,True
1949-05-18,Greece,Egypt,1,3,Friendly,Athens,Greece,False
1950-02-17,Egypt,Greece,2,0,Friendly,Cairo,Egypt,False
1951-11-25,Greece,Egypt,1,0,Friendly,Athens,Greece,False
1952-08-10,Netherlands,Egypt,1,1,Friendly,Amsterdam,Netherlands,False
1952-11-02,Yugoslavia,Egypt,5,0,Friendly,Belgrade,Yugoslavia,False
1953-01-16,Egypt,Yugoslavia,1,3,Friendly,Cairo,Egypt,False
1953-11-13,Egypt,Italy,1,2,FIFA World Cup qualification,Cairo,Egypt,False
1954-01-24,Italy,Egypt,5,1,FIFA World Cup qualification,Milan,Italy,False
1954-02-12,Egypt,Hungary,0,3,Friendly,Cairo,Egypt,False
1954-11-07,Greece,Egypt,1,1,Friendly,Athens,Greece,False
1955-01-07,Egypt,Bulgaria,1,0,Friendly,Cairo,Egypt,False
1955-05-22,Bulgaria,Egypt,2,1,Friendly,Sofia,Bulgaria,False
1955-12-23,Egypt,Portugal,0,4,Friendly,Cairo,Egypt,False
1957-02-10,Sudan,Egypt,1,2,African Cup of Nations,Khartoum,Sudan,False
1957-02-16,Egypt,Ethiopia,4,0,African Cup of Nations,Khartoum,Sudan,True
1957-02-17,Sudan,Egypt,3,4,Friendly,Khartoum,Sudan,False
1957-12-13,Egypt,Czechoslovakia,1,2,Friendly,Cairo,Egypt,False
1958-12-28,Egypt,Germany,2,1,Friendly,Cairo,United Arab Republic,True
1959-05-22,Egypt,Ethiopia,4,0,African Cup of Nations,Cairo,United Arab Republic,True
1959-05-29,Egypt,Sudan,2,1,African Cup of Nations,Cairo,United Arab Republic,True
1960-01-08,Egypt,Yugoslavia,0,1,Friendly,Cairo,United Arab Republic,True
1960-04-29,Egypt,Brazil,0,5,Friendly,Cairo,United Arab Republic,True
1960-05-01,Egypt,Brazil,1,3,Friendly,Alexandria,United Arab Republic,True
1960-05-06,Egypt,Brazil,0,3,Friendly,Cairo,United Arab Republic,True
1960-07-03,Ghana,Egypt,2,2,Friendly,Accra,Ghana,False
1961-02-17,Egypt,Hungary,0,2,Friendly,Cairo,Egypt,False
1962-01-05,Egypt,Austria,1,0,Friendly,Cairo,Egypt,False
1962-01-18,Egypt,Uganda,2,1,African Cup of Nations,Addis Ababa,Ethiopia,True
1962-01-21,Ethiopia,Egypt,4,2,African Cup of Nations,Addis Ababa,Ethiopia,False
1963-04-26,Indonesia,Egypt,1,3,Friendly,Jakarta,Indonesia,False
1963-04-27,Indonesia,Egypt,2,2,Friendly,Jakarta,Indonesia,False
1963-04-30,Egypt,China PR,2,0,Friendly,Jakarta,Indonesia,True
1963-05-17,Egypt,Brazil,0,1,Friendly,Cairo,Egypt,False
1963-07-07,Algeria,Egypt,2,2,Friendly,Oran,Algeria,False
1963-11-12,Egypt,North Vietnam,4,1,Friendly,Jakarta,Indonesia,True
1963-11-15,Egypt,Laos,15,0,Friendly,Jakarta,Indonesia,True
1963-11-18,Egypt,Saudi Arabia,7,0,Friendly,Jakarta,Indonesia,True
1963-11-22,Egypt,North Korea,1,1,Friendly,Jakarta,Indonesia,True
1963-11-24,Egypt,Nigeria,6,3,African Cup of Nations,Kumasi,Ghana,True
1963-11-26,Egypt,Sudan,2,2,African Cup of Nations,Kumasi,Ghana,True
1963-11-30,Egypt,Ethiopia,3,0,African Cup of Nations,Accra,Ghana,True
1964-03-20,Egypt,Algeria,1,0,Friendly,Cairo,Egypt,False
1966-02-25,Egypt,Bulgaria,2,2,Friendly,Cairo,Egypt,False
1966-09-04,German DR,Egypt,6,0,Friendly,Karl-Marx-Stadt,German DR,False
1966-12-09,Libya,Egypt,2,2,African Cup of Nations qualification,Tripoli,Libya,False
1967-01-17,Egypt,German DR,1,2,Friendly,Cairo,United Arab Republic,True
1967-01-20,Egypt,German DR,0,3,Friendly,Cairo,United Arab Republic,True
1967-01-24,Egypt,German DR,2,2,Friendly,Alexandria,United Arab Republic,True
1967-03-24,Egypt,Libya,3,2,African Cup of Nations qualification,Cairo,Egypt,False
1967-06-04,Uganda,Egypt,0,1,African Cup of Nations qualification,Kampala,Uganda,False
1969-07-09,German DR,Egypt,7,0,Friendly,Rostock,German DR,False
1969-09-19,Egypt,Algeria,1,0,African Cup of Nations qualification,Cairo,Egypt,False
1969-09-28,Algeria,Egypt,1,1,African Cup of Nations qualification,Algiers,Algeria,False
1969-11-02,Egypt,Sudan,3,1,Friendly,Cairo,Egypt,False
1969-12-19,Egypt,German DR,1,3,Friendly,Cairo,Egypt,False
1970-02-07,Egypt,Guinea,4,1,African Cup of Nations,Wad Madani,Sudan,True
1970-02-09,Egypt,Ghana,1,1,African Cup of Nations,Wad Madani,Sudan,True
1970-02-11,DR Congo,Egypt,0,1,African Cup of Nations,Wad Madani,Sudan,True
1970-02-14,Sudan,Egypt,2,1,African Cup of Nations,Khartoum,Sudan,False
1970-02-16,Egypt,Ivory Coast,3,1,African Cup of Nations,Khartoum,Sudan,True
1970-12-27,Libya,Egypt,0,1,African Cup of Nations qualification,Tripoli,Libya,False
1971-01-03,Egypt,Libya,2,1,African Cup of Nations qualification,Cairo,Egypt,False
1971-07-11,Egypt,Syria,1,0,Friendly,Benghazi,Libya,True
1971-07-13,Libya,Egypt,0,2,Friendly,Benghazi,Libya,False
1971-07-18,Libya,Egypt,2,0,Friendly,Tripoli,Libya,False
1971-10-13,Morocco,Egypt,3,0,African Cup of Nations qualification,Casablanca,Morocco,False
1971-10-27,Egypt,Morocco,3,2,African Cup of Nations qualification,Cairo,Egypt,False
1972-01-01,Iraq,Egypt,0,0,Palestine Cup,Baghdad,Iraq,False
1972-01-05,Egypt,Kuwait,2,0,Palestine Cup,Baghdad,Iraq,True
1972-01-07,Egypt,Libya,1,1,Palestine Cup,Baghdad,Iraq,True
1972-01-12,Egypt,Syria,4,2,Palestine Cup,Baghdad,Iraq,True
1972-01-14,Iraq,Egypt,1,3,Palestine Cup,Baghdad,Iraq,False
1972-12-08,Egypt,Tunisia,2,1,FIFA World Cup qualification,Cairo,Egypt,False
1972-12-17,Tunisia,Egypt,2,0,FIFA World Cup qualification,Tunis,Tunisia,False
1973-01-08,Guinea,Egypt,4,1,All-African Games,Ibadan,Nigeria,True
1973-01-10,Egypt,Congo,3,1,All-African Games,Ibadan,Nigeria,True
1973-01-12,Egypt,Burkina Faso,4,2,All-African Games,Ibadan,Nigeria,True
1973-01-14,Nigeria,Egypt,4,2,All-African Games,Lagos,Nigeria,False
1973-01-16,Egypt,Ghana,2,1,All-African Games,Lagos,Nigeria,True
1973-07-16,Egypt,Tanzania,10,1,Friendly,Tunis,Tunisia,True
1973-08-12,Egypt,Yemen DPR,6,1,Palestine Cup,Tripoli,Libya,True
1973-08-15,Egypt,Tunisia,0,1,Palestine Cup,Tripoli,Libya,True
1973-08-16,Egypt,Palestine,2,0,Palestine Cup,Tripoli,Libya,True
1973-08-20,Egypt,Syria,0,2,Palestine Cup,Tripoli,Libya,True
1974-03-01,Egypt,Uganda,2,1,African Cup of Nations,Cairo,Egypt,False
1974-03-04,Egypt,Zambia,3,1,African Cup of Nations,Cairo,Egypt,False
1974-03-06,Egypt,Ivory Coast,2,0,African Cup of Nations,Cairo,Egypt,False
1974-03-09,Egypt,DR Congo,2,3,African Cup of Nations,Cairo,Egypt,False
1974-03-11,Egypt,Congo,4,0,African Cup of Nations,Cairo,Egypt,False
1975-03-24,Burundi,Egypt,0,3,African Cup of Nations qualification,Bujumbura,Burundi,False
1975-04-19,Egypt,Burundi,2,0,African Cup of Nations qualification,Cairo,Egypt,False
1975-07-12,Egypt,DR Congo,3,2,Friendly,Tehran,Iran,True
1975-12-19,Egypt,Yemen DPR,5,0,Palestine Cup,Tunis,Tunisia,True
1975-12-23,Egypt,Saudi Arabia,2,1,Palestine Cup,Tunis,Tunisia,True
1975-12-26,Egypt,Sudan,3,1,Palestine Cup,Tunis,Tunisia,True
1975-12-28,Egypt,Iraq,1,0,Palestine Cup,Tunis,Tunisia,True
1976-02-29,Egypt,Guinea,1,1,African Cup of Nations,Addis Ababa,Ethiopia,True
1976-03-03,Egypt,Uganda,2,1,African Cup of Nations,Addis Ababa,Ethiopia,True
1976-03-05,Ethiopia,Egypt,1,1,African Cup of Nations,Addis Ababa,Ethiopia,False
1976-03-09,Egypt,Morocco,1,2,African Cup of Nations,Addis Ababa,Ethiopia,True
1976-03-11,Egypt,Guinea,2,4,African Cup of Nations,Addis Ababa,Ethiopia,True
1976-03-14,Egypt,Nigeria,2,3,African Cup of Nations,Addis Ababa,Ethiopia,True
1976-10-29,Egypt,Ethiopia,3,0,FIFA World Cup qualification,Cairo,Egypt,False
1976-11-14,Ethiopia,Egypt,1,2,FIFA World Cup qualification,Addis Ababa,Ethiopia,False
1977-02-06,Kenya,Egypt,0,0,FIFA World Cup qualification,Nairobi,Kenya,False
