Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1921-09-14,Costa Rica,El Salvador,7,0,Friendly,Guatemala City,Guatemala,True
1927-11-07,Honduras,El Salvador,1,0,Friendly,Tegucigalpa,Honduras,False
1927-11-08,Honduras,El Salvador,0,0,Friendly,Tegucigalpa,Honduras,False
1928-12-07,El Salvador,Honduras,5,0,Friendly,San Salvador,El Salvador,False
1929-05-01,El Salvador,Nicaragua,9,0,Friendly,San Salvador,El Salvador,False
1930-03-19,El Salvador,Guatemala,8,2,Central American and Caribbean Games,Havana,Cuba,True
1930-03-22,Costa Rica,El Salvador,9,2,Central American and Caribbean Games,Havana,Cuba,True
1930-03-26,Costa Rica,El Salvador,5,0,Central American and Caribbean Games,Havana,Cuba,True
1930-03-29,El Salvador,Honduras,1,4,Central American and Caribbean Games,Havana,Cuba,True
1930-04-01,Cuba,El Salvador,5,2,Central American and Caribbean Games,Havana,Cuba,False
1935-03-24,El Salvador,Cuba,4,1,Central American and Caribbean Games,San Salvador,El Salvador,False
1935-03-27,El Salvador,Mexico,1,8,Central American and Caribbean Games,San Salvador,El Salvador,False
1935-03-28,El Salvador,Honduras,3,4,Central American and Caribbean Games,San Salvador,El Salvador,False
1935-03-30,El Salvador,Costa Rica,1,6,Central American and Caribbean Games,San Salvador,El Salvador,False
1935-04-03,El Salvador,Guatemala,6,1,Central American and Caribbean Games,San Salvador,El Salvador,False
1937-10-11,El Salvador,Honduras,3,2,Friendly,San Salvador,El Salvador,False
1938-02-12,Costa Rica,El Salvador,7,0,Central American and Caribbean Games,Panama City,Panama,True
1938-02-16,El Salvador,Venezuela,3,2,Central American and Caribbean Games,Panama City,Panama,True
1938-02-18,Mexico,El Salvador,6,0,Central American and Caribbean Games,Panama City,Panama,True
1938-02-21,Colombia,El Salvador,3,2,Central American and Caribbean Games,Panama City,Panama,True
1938-02-23,Panama,El Salvador,1,2,Central American and Caribbean Games,Panama City,Panama,False
1941-05-11,Curaçao,El Salvador,2,2,CCCF Championship,San José,Costa Rica,True
1941-05-13,El Salvador,Nicaragua,8,0,CCCF Championship,San José,Costa Rica,True
1941-05-15,El Salvador,Panama,4,3,CCCF Championship,San José,Costa Rica,True
1941-05-18,Costa Rica,El Salvador,3,1,CCCF Championship,San José,Costa Rica,False
1943-12-05,El Salvador,Guatemala,2,2,CCCF Championship,San Salvador,El Salvador,False
1943-12-07,El Salvador,Nicaragua,8,1,CCCF Championship,San Salvador,El Salvador,False
1943-12-09,El Salvador,Costa Rica,4,2,CCCF Championship,San Salvador,El Salvador,False
1943-12-12,El Salvador,Guatemala,2,1,CCCF Championship,San Salvador,El Salvador,False
1943-12-16,El Salvador,Nicaragua,10,1,CCCF Championship,San Salvador,El Salvador,False
1943-12-19,El Salvador,Costa Rica,2,4,CCCF Championship,San Salvador,El Salvador,False
1946-02-23,El Salvador,Guatemala,1,3,CCCF Championship,San José,Costa Rica,True
1946-02-28,El Salvador,Nicaragua,7,2,CCCF Championship,San José,Costa Rica,True
1946-03-07,El Salvador,Panama,4,1,CCCF Championship,San José,Costa Rica,True
1946-03-10,El Salvador,Honduras,3,1,CCCF Championship,San José,Costa Rica,True
1946-03-13,Costa Rica,El Salvador,4,0,CCCF Championship,San José,Costa Rica,False
1946-11-05,El Salvador,Panama,2,3,Friendly,San Salvador,El Salvador,False
1946-11-10,El Salvador,Panama,3,3,Friendly,San Salvador,El Salvador,False
1948-02-29,Costa Rica,El Salvador,3,1,CCCF Championship,Guatemala City,Guatemala,True
1948-03-02,Guatemala,El Salvador,3,0,CCCF Championship,Guatemala City,Guatemala,False
