Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2014-04-06,Ellan Vannin,Monaco,10,0,Friendly,Douglas,Isle of Man,False
2014-06-01,Ellan Vannin,Artsakh,3,2,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-02,Ellan Vannin,County of Nice,4,2,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-04,Ellan Vannin,Iraqi Kurdistan,1,1,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-06,Arameans Suryoye,Ellan Vannin,1,4,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-08,County of Nice,Ellan Vannin,0,0,CONIFA World Football Cup,Östersund,Sweden,True
2014-12-30,Occitania,Ellan Vannin,5,1,Friendly,Toulouse,France,False
2015-05-30,Ellan Vannin,Panjab,8,1,Niamh Challenge Cup,Douglas,Isle of Man,False
2015-05-31,Ellan Vannin,Felvidék,3,1,Niamh Challenge Cup,Douglas,Isle of Man,False
2015-06-18,Romani people,Ellan Vannin,1,3,CONIFA European Football Cup,Debrecen,Hungary,True
2015-06-19,Padania,Ellan Vannin,1,0,CONIFA European Football Cup,Debrecen,Hungary,True
2015-06-20,County of Nice,Ellan Vannin,3,1,CONIFA European Football Cup,Debrecen,Hungary,True
2015-06-21,Ellan Vannin,Felvidék,1,1,CONIFA European Football Cup,Debrecen,Hungary,True
2017-06-05,Padania,Ellan Vannin,1,0,CONIFA European Football Cup,Morphou,Northern Cyprus,True
2017-06-06,Ellan Vannin,Felvidék,1,0,CONIFA European Football Cup,Morphou,Northern Cyprus,True
2017-06-07,Ellan Vannin,Székely Land,2,4,CONIFA European Football Cup,Kyrenia,Northern Cyprus,True
2017-06-09,Kárpátalja,Ellan Vannin,3,3,CONIFA European Football Cup,Morphou,Northern Cyprus,True
2018-01-28,Yorkshire,Ellan Vannin,1,1,Friendly,Fitzwilliam,England,False
2018-04-29,Ellan Vannin,Panjab,2,1,Friendly,Sandbach,England,True
2018-05-31,Ellan Vannin,Cascadia,4,1,CONIFA World Football Cup,Sutton,England,True
2018-06-02,Ellan Vannin,Tamil Eelam,2,0,CONIFA World Football Cup,Carshalton,England,True
2018-06-03,Barawa,Ellan Vannin,2,0,CONIFA World Football Cup,Rotherhithe,England,False
