Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1992-06-26,Sudan,Eritrea,1,1,Friendly,Khartoum,Sudan,False
1992-06-28,Chad,Eritrea,0,1,Friendly,Khartoum,Sudan,True
1994-12-03,Uganda,Eritrea,0,0,CECAFA Cup,Nairobi,Kenya,True
1994-12-05,Tanzania,Eritrea,1,0,CECAFA Cup,Nairobi,Kenya,True
1994-12-08,Kenya,Eritrea,1,0,CECAFA Cup,Nairobi,Kenya,False
1998-10-04,Mozambique,Eritrea,3,1,African Cup of Nations qualification,Maputo,Mozambique,False
1999-01-23,Eritrea,Cameroon,0,0,African Cup of Nations qualification,Asmara,Eritrea,False
1999-06-06,Cameroon,Eritrea,1,0,African Cup of Nations qualification,Yaoundé,Cameroon,False
1999-06-19,Eritrea,Mozambique,1,0,African Cup of Nations qualification,Asmara,Eritrea,False
1999-07-18,Senegal,Eritrea,6,2,African Cup of Nations qualification,Dakar,Senegal,False
1999-07-28,Kenya,Eritrea,1,0,CECAFA Cup,Kigali,Rwanda,True
1999-08-15,Zimbabwe,Eritrea,4,0,African Cup of Nations qualification,Harare,Zimbabwe,False
2000-04-09,Eritrea,Nigeria,0,0,FIFA World Cup qualification,Asmara,Eritrea,False
2000-04-22,Nigeria,Eritrea,4,0,FIFA World Cup qualification,Lagos,Nigeria,False
2000-07-02,Sudan,Eritrea,5,1,African Cup of Nations qualification,Khartoum,Sudan,False
2000-07-15,Eritrea,Sudan,2,1,African Cup of Nations qualification,Asmara,Eritrea,False
2000-10-28,Eritrea,Rwanda,0,1,Friendly,Lusaka,Zambia,True
2000-11-25,Eritrea,Rwanda,1,1,CECAFA Cup,Mbale,Uganda,True
2001-12-10,Kenya,Eritrea,2,1,CECAFA Cup,Kigali,Rwanda,True
2001-12-12,Rwanda,Eritrea,1,0,CECAFA Cup,Kigali,Rwanda,False
2001-12-14,Eritrea,Somalia,0,0,CECAFA Cup,Kigali,Rwanda,True
2001-12-17,Kenya,Eritrea,1,0,CECAFA Cup,Kigali,Rwanda,True
2002-09-08,Seychelles,Eritrea,1,0,African Cup of Nations qualification,Victoria,Seychelles,False
2002-10-12,Eritrea,Zimbabwe,0,1,African Cup of Nations qualification,Asmara,Eritrea,False
2002-12-01,Burundi,Eritrea,1,1,CECAFA Cup,Mwanza,Tanzania,True
2002-12-04,Eritrea,Sudan,2,1,CECAFA Cup,Mwanza,Tanzania,True
2002-12-06,Kenya,Eritrea,4,1,CECAFA Cup,Mwanza,Tanzania,True
2002-12-08,Tanzania,Eritrea,1,1,CECAFA Cup,Mwanza,Tanzania,False
2003-03-30,Eritrea,Mali,0,2,African Cup of Nations qualification,Asmara,Eritrea,False
2003-06-07,Mali,Eritrea,1,0,African Cup of Nations qualification,Bamako,Mali,False
2003-06-21,Eritrea,Seychelles,1,0,African Cup of Nations qualification,Asmara,Eritrea,False
2003-07-05,Zimbabwe,Eritrea,2,0,African Cup of Nations qualification,Harare,Zimbabwe,False
2003-10-11,Sudan,Eritrea,3,0,FIFA World Cup qualification,Khartoum,Sudan,False
2003-11-16,Eritrea,Sudan,0,0,FIFA World Cup qualification,Asmara,Eritrea,False
2003-11-30,Uganda,Eritrea,2,1,CECAFA Cup,Kassala,Sudan,True
2003-12-02,Kenya,Eritrea,3,2,CECAFA Cup,Kassala,Sudan,True
2005-11-28,Eritrea,Zanzibar,0,3,CECAFA Cup,Kigali,Rwanda,True
2005-11-30,Rwanda,Eritrea,3,2,CECAFA Cup,Kigali,Rwanda,False
2005-12-02,Burundi,Eritrea,0,0,CECAFA Cup,Kigali,Rwanda,True
