Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1920-10-17,Finland,Estonia,6,0,Friendly,Helsinki,Finland,False
1921-07-22,Estonia,Sweden,0,0,Friendly,Tallinn,Estonia,False
1921-08-28,Estonia,Finland,0,3,Friendly,Tallinn,Estonia,False
1922-08-11,Finland,Estonia,10,2,Friendly,Helsinki,Finland,False
1922-09-24,Latvia,Estonia,1,1,Friendly,Riga,Latvia,False
1923-06-24,Lithuania,Estonia,0,5,Friendly,Kaunas,Lithuania,False
1923-07-24,Estonia,Latvia,1,1,Friendly,Tallinn,Estonia,False
1923-09-18,Estonia,Russia,2,4,Friendly,Tallinn,Estonia,False
1923-09-25,Estonia,Poland,1,4,Friendly,Tallinn,Estonia,False
1923-09-30,Estonia,Finland,2,1,Friendly,Tallinn,Estonia,False
1924-05-25,United States,Estonia,1,0,Olympic Games,Vincennes,France,True
1924-06-19,Estonia,Turkey,1,4,Friendly,Tallinn,Estonia,False
1924-07-25,Sweden,Estonia,5,2,Friendly,Stockholm,Sweden,False
1924-08-24,Estonia,Lithuania,1,2,Friendly,Tallinn,Estonia,False
1924-09-14,Finland,Estonia,4,0,Friendly,Helsinki,Finland,False
1924-10-18,Latvia,Estonia,2,0,Friendly,Riga,Latvia,False
1925-06-28,Lithuania,Estonia,0,1,Friendly,Kaunas,Lithuania,False
1925-07-05,Estonia,Finland,2,0,Friendly,Tallinn,Estonia,False
1925-08-26,Estonia,Latvia,2,2,Friendly,Tallinn,Estonia,False
1925-09-02,Estonia,Poland,0,0,Friendly,Tallinn,Estonia,False
1926-06-13,Estonia,Lithuania,3,1,Friendly,Tallinn,Estonia,False
1926-07-04,Poland,Estonia,2,0,Friendly,Warsaw,Poland,False
1926-07-23,Estonia,Sweden,1,7,Friendly,Tallinn,Estonia,False
1926-09-05,Finland,Estonia,1,1,Friendly,Helsinki,Finland,False
1926-09-19,Latvia,Estonia,0,1,Friendly,Riga,Latvia,False
1927-06-16,Estonia,Latvia,4,1,Friendly,Tallinn,Estonia,False
1927-07-01,Sweden,Estonia,3,1,Friendly,Norrköping,Sweden,False
1927-08-10,Estonia,Finland,2,1,Friendly,Tallinn,Estonia,False
1927-08-13,Lithuania,Estonia,0,5,Friendly,Kaunas,Lithuania,False
1927-09-25,Latvia,Estonia,4,1,Friendly,Riga,Latvia,False
1928-07-09,Estonia,Sweden,0,1,Friendly,Tallinn,Estonia,False
1928-07-26,Estonia,Lithuania,6,0,Baltic Cup,Tallinn,Estonia,False
1928-07-27,Estonia,Latvia,0,1,Baltic Cup,Tallinn,Estonia,False
1928-08-12,Finland,Estonia,2,2,Friendly,Helsinki,Finland,False
1928-09-23,Latvia,Estonia,1,1,Friendly,Riga,Latvia,False
1929-07-07,Sweden,Estonia,4,1,Friendly,Landskrona,Sweden,False
1929-07-25,Estonia,Finland,1,1,Friendly,Tallinn,Estonia,False
1929-08-15,Latvia,Estonia,2,2,Baltic Cup,Riga,Latvia,False
1929-08-16,Estonia,Lithuania,5,2,Baltic Cup,Riga,Latvia,True
1929-08-27,Finland,Estonia,2,1,Friendly,Helsinki,Finland,False
1929-09-18,Estonia,Latvia,4,1,Friendly,Tallinn,Estonia,False
1930-06-27,Estonia,Latvia,1,1,Friendly,Tallinn,Estonia,False
1930-07-18,Estonia,Sweden,1,5,Friendly,Tallinn,Estonia,False
1930-08-06,Estonia,Finland,4,0,Friendly,Tallinn,Estonia,False
1930-08-15,Lithuania,Estonia,2,1,Baltic Cup,Kaunas,Lithuania,False
1930-08-16,Latvia,Estonia,3,2,Baltic Cup,Kaunas,Lithuania,True
1930-09-13,Lithuania,Estonia,4,0,Friendly,Klaipėda,Lithuania,False
1931-05-28,Latvia,Estonia,0,1,Friendly,Riga,Latvia,False
1931-06-09,Estonia,Lithuania,4,1,Friendly,Tallinn,Estonia,False
1931-06-17,Finland,Estonia,3,1,Friendly,Helsinki,Finland,False
1931-07-08,Sweden,Estonia,3,1,Friendly,Sandviken,Sweden,False
1931-08-30,Estonia,Lithuania,2,0,Baltic Cup,Tallinn,Estonia,False
1931-09-01,Estonia,Latvia,3,1,Baltic Cup,Tallinn,Estonia,False
1931-09-27,Latvia,Estonia,2,1,Friendly,Riga,Latvia,False
1932-06-01,Estonia,Latvia,3,0,Friendly,Tallinn,Estonia,False
1932-06-05,Norway,Estonia,3,0,Friendly,Oslo,Norway,False
1932-07-15,Estonia,Sweden,1,3,Friendly,Tallinn,Estonia,False
1932-08-06,Lithuania,Estonia,1,0,Friendly,Kaunas,Lithuania,False
1932-08-17,Estonia,Finland,0,3,Friendly,Tallinn,Estonia,False
1932-08-29,Estonia,Lithuania,1,2,Baltic Cup,Riga,Latvia,True
1932-08-30,Latvia,Estonia,1,0,Baltic Cup,Riga,Latvia,False
1933-05-28,Latvia,Estonia,2,0,Friendly,Riga,Latvia,False
1933-06-11,Sweden,Estonia,6,2,FIFA World Cup qualification,Stockholm,Sweden,False
1933-07-20,Estonia,Lithuania,2,1,Friendly,Tallinn,Estonia,False
1933-08-09,Estonia,Latvia,2,1,Friendly,Tallinn,Estonia,False
1933-08-16,Finland,Estonia,2,1,Friendly,Helsinki,Finland,False
1933-09-02,Lithuania,Estonia,1,1,Baltic Cup,Kaunas,Lithuania,False
1933-09-03,Estonia,Latvia,0,1,Baltic Cup,Kaunas,Lithuania,True
1933-09-05,Lithuania,Estonia,0,5,Friendly,Kaunas,Lithuania,False
1934-06-29,Lithuania,Estonia,1,1,Friendly,Kaunas,Lithuania,False
1934-08-08,Estonia,Finland,1,1,Friendly,Tallinn,Estonia,False
1934-08-10,Estonia,Hungary,2,2,Friendly,Tallinn,Estonia,False
1935-06-12,Latvia,Estonia,1,1,Friendly,Riga,Latvia,False
1935-06-19,Estonia,Lithuania,2,2,Friendly,Tallinn,Estonia,False
1935-07-09,Estonia,Sweden,1,2,Friendly,Tallinn,Estonia,False
1935-08-07,Estonia,Finland,2,2,Friendly,Tallinn,Estonia,False
1935-08-20,Estonia,Lithuania,1,2,Baltic Cup,Tallinn,Estonia,False
1935-08-22,Estonia,Latvia,1,1,Baltic Cup,Tallinn,Estonia,False
1935-09-15,Germany,Estonia,5,0,Friendly,Stettin,Germany,False
1935-09-18,Lithuania,Estonia,2,2,Friendly,Kaunas,Lithuania,False
1936-05-28,Estonia,Latvia,3,4,Friendly,Tallinn,Estonia,False
1936-06-30,Lithuania,Estonia,2,0,Friendly,Kaunas,Lithuania,False
1936-08-20,Estonia,Finland,2,2,Friendly,Tallinn,Estonia,False
1936-08-30,Estonia,Lithuania,2,1,Baltic Cup,Riga,Latvia,True
1936-08-31,Latvia,Estonia,2,1,Baltic Cup,Riga,Latvia,False
1937-06-03,Lithuania,Estonia,1,2,Friendly,Kaunas,Lithuania,False
1937-06-20,Sweden,Estonia,7,2,FIFA World Cup qualification,Solna,Sweden,False
1937-07-14,Estonia,Romania,2,1,Friendly,Tallinn,Estonia,False
1937-08-19,Finland,Estonia,0,1,FIFA World Cup qualification,Turku,Finland,False
1937-08-29,Germany,Estonia,4,1,FIFA World Cup qualification,Königsberg,Germany,False
1937-09-04,Latvia,Estonia,1,1,Baltic Cup,Kaunas,Lithuania,True
1937-09-05,Lithuania,Estonia,0,4,Baltic Cup,Kaunas,Lithuania,False
1937-09-07,Estonia,Latvia,0,2,Baltic Cup,Kaunas,Lithuania,True
1937-09-19,Latvia,Estonia,3,1,Friendly,Riga,Latvia,False
1938-05-31,Norway,Estonia,1,0,Friendly,Oslo,Norway,False
1938-06-11,Lithuania,Estonia,0,2,Friendly,Kaunas,Lithuania,False
1938-06-22,Estonia,Hungary,2,3,Friendly,Tallinn,Estonia,False
1938-07-20,Estonia,Latvia,0,2,Friendly,Tallinn,Estonia,False
1938-08-17,Estonia,Finland,1,3,Friendly,Tallinn,Estonia,False
1938-09-03,Estonia,Lithuania,3,1,Baltic Cup,Tallinn,Estonia,False
1938-09-05,Estonia,Latvia,1,1,Baltic Cup,Tallinn,Estonia,False
1939-06-29,Estonia,Germany,0,2,Friendly,Tallinn,Estonia,False
1939-07-27,Latvia,Estonia,3,3,Friendly,Riga,Latvia,False
1939-08-04,Finland,Estonia,4,2,Friendly,Helsinki,Finland,False
1939-08-27,Estonia,Lithuania,0,1,Friendly,Tallinn,Estonia,False
1940-07-18,Estonia,Latvia,2,1,Friendly,Tallinn,Estonia,False
1940-08-11,Lithuania,Estonia,2,0,Friendly,Kaunas,Soviet Union,False
1940-09-07,Estonia,Lithuania,1,1,Baltic Cup,Riga,Soviet Union,True
