Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1947-12-05,Djibouti,Ethiopia,0,5,Friendly,Djibouti,French Somaliland,False
1948-06-01,Djibouti,Ethiopia,1,2,Friendly,Djibouti,French Somaliland,False
1949-05-01,Ethiopia,Djibouti,6,0,Friendly,Addis Ababa,Ethiopia,False
1954-05-01,Ethiopia,Djibouti,10,2,Friendly,Addis Ababa,Ethiopia,False
1954-06-01,Djibouti,Ethiopia,0,2,Friendly,Djibouti,French Somaliland,False
1954-06-02,Djibouti,Ethiopia,1,2,Friendly,Djibouti,French Somaliland,False
1956-11-16,Ethiopia,Sudan,2,1,Friendly,Addis Ababa,Ethiopia,False
1957-02-16,Egypt,Ethiopia,4,0,African Cup of Nations,Khartoum,Sudan,True
1959-05-22,Egypt,Ethiopia,4,0,African Cup of Nations,Cairo,United Arab Republic,True
1959-05-25,Ethiopia,Sudan,0,1,African Cup of Nations,Cairo,United Arab Republic,True
1961-03-14,Israel,Ethiopia,1,0,FIFA World Cup qualification,Ramat Gan,Israel,False
1961-03-19,Israel,Ethiopia,3,2,FIFA World Cup qualification,Ramat Gan,Israel,False
1961-12-31,Ethiopia,Kenya,4,3,Friendly,Addis Ababa,Ethiopia,False
1962-01-07,Ethiopia,Kenya,6,1,Friendly,Addis Ababa,Ethiopia,False
1962-01-14,Ethiopia,Tunisia,4,2,African Cup of Nations,Addis Ababa,Ethiopia,False
1962-01-21,Ethiopia,Egypt,4,2,African Cup of Nations,Addis Ababa,Ethiopia,False
1962-09-19,Yugoslavia,Ethiopia,5,2,Friendly,Belgrade,Yugoslavia,False
1962-10-10,Turkey,Ethiopia,3,0,Friendly,Ankara,Turkey,False
1962-10-18,Greece,Ethiopia,3,2,Friendly,Athens,Greece,False
1962-12-16,Ethiopia,Turkey,0,0,Friendly,Addis Ababa,Ethiopia,False
1963-03-24,Uganda,Ethiopia,1,7,Friendly,Kampala,Uganda,False
1963-05-02,Tanzania,Ethiopia,0,2,Friendly,Dar es Salaam,Tanganyika,False
1963-05-27,Zanzibar,Ethiopia,0,4,Friendly,Zanzibar City,Zanzibar,False
