Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2001-07-08,Isle of Man,Falkland Islands,9,0,Island Games,Douglas,Isle of Man,False
2001-07-09,Guernsey,Falkland Islands,3,0,Island Games,Douglas,Isle of Man,True
2001-07-12,Greenland,Falkland Islands,4,0,Island Games,Braddan,Isle of Man,True
2001-07-13,Orkney,Falkland Islands,1,4,Island Games,Peel,Isle of Man,True
2005-07-10,Shetland,Falkland Islands,4,0,Island Games,Shetland,Scotland,False
2005-07-12,Saare County,Falkland Islands,1,2,Island Games,Shetland,Scotland,True
2005-07-13,Falkland Islands,Isle of Man,0,9,Island Games,Shetland,Scotland,True
2005-07-14,Åland Islands,Falkland Islands,2,1,Island Games,Shetland,Scotland,True
2005-07-15,Orkney,Falkland Islands,2,0,Island Games,Shetland,Scotland,True
2009-06-28,Falkland Islands,Isle of Man,1,2,Island Games,Eckerö,Sweden,True
2009-06-29,Gotland,Falkland Islands,2,0,Island Games,Jomala,Sweden,True
2009-06-30,Western Isles,Falkland Islands,7,1,Island Games,Eckerö,Sweden,True
2009-07-02,Falkland Islands,Frøya,1,3,Island Games,Jomala,Sweden,True
2011-06-26,Guernsey,Falkland Islands,5,0,Island Games,Brading,England,True
2011-06-27,Isle of Man,Falkland Islands,6,0,Island Games,Rookley,England,True
2011-06-28,Falkland Islands,Gotland,1,6,Island Games,Oakfield,England,True
2011-06-30,Alderney,Falkland Islands,0,3,Island Games,Shanklin,England,True
2013-07-14,Frøya,Falkland Islands,1,2,Island Games,Hamilton,Bermuda,True
2013-07-15,Bermuda,Falkland Islands,8,0,Island Games,Hamilton,Bermuda,False
2013-07-17,Falkland Islands,Greenland,0,9,Island Games,Hamilton,Bermuda,True
2013-07-18,Falkland Islands,Frøya,6,0,Island Games,Hamilton,Bermuda,True
2015-06-28,Falkland Islands,Hitra,2,1,Island Games,St. John,Jersey,True
2015-06-29,Isle of Wight,Falkland Islands,3,0,Island Games,St. Ouen,Jersey,True
2015-06-30,Falkland Islands,Shetland,0,5,Island Games,St. Peter,Jersey,True
2015-07-02,Falkland Islands,Western Isles,1,2,Island Games,St. Brelade,Jersey,True
2017-06-25,Ynys Môn,Falkland Islands,3,0,Island Games,Säve,Sweden,True
2017-06-26,Falkland Islands,Isle of Man,2,5,Island Games,Säve,Sweden,True
2017-06-27,Hitra,Falkland Islands,2,1,Island Games,Fardhem,Sweden,True
2017-06-29,Falkland Islands,Alderney,0,3,Island Games,Säve,Sweden,True
2023-07-09,Isle of Man,Falkland Islands,3,0,Island Games,Saint Martin,Guernsey,True
2023-07-10,Falkland Islands,Ynys Môn,1,5,Island Games,Saint Sampson,Guernsey,True
2023-07-11,Falkland Islands,Shetland,1,4,Island Games,Saint Sampson,Guernsey,True
2023-07-13,Åland Islands,Falkland Islands,1,1,Island Games,Saint Sampson,Guernsey,True
