Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1972-07-12,Iceland,Faroe Islands,3,0,Friendly,Reykjavík,Iceland,False
1973-06-08,Faroe Islands,Iceland,0,4,Friendly,Klaksvík,Faroe Islands,False
1974-07-03,Faroe Islands,Iceland,2,3,Friendly,Tórshavn,Faroe Islands,False
1975-06-23,Iceland,Faroe Islands,6,0,Friendly,Reykjavík,Iceland,False
1976-06-16,Faroe Islands,Iceland,1,6,Friendly,Tórshavn,Faroe Islands,False
1980-06-30,Iceland,Faroe Islands,2,1,Friendly,Akureyri,Iceland,False
1980-07-02,Faroe Islands,Greenland,6,0,Friendly,Sauðárkrókur,Iceland,True
1982-08-01,Faroe Islands,Iceland,1,4,Friendly,Tórshavn,Faroe Islands,False
1982-08-02,Faroe Islands,Iceland,0,4,Friendly,Gøta,Faroe Islands,False
1983-06-29,Greenland,Faroe Islands,0,0,Friendly,Nuuk,Greenland,False
1983-07-03,Greenland,Faroe Islands,2,3,Friendly,Nuuk,Greenland,False
1983-08-08,Iceland,Faroe Islands,6,0,Friendly,Njarðvík,Iceland,False
1984-08-01,Faroe Islands,Iceland,0,0,Friendly,Tórshavn,Faroe Islands,False
1984-08-05,Faroe Islands,Greenland,1,0,Friendly,Klaksvík,Faroe Islands,False
1984-08-07,Faroe Islands,Greenland,4,2,Friendly,Tórshavn,Faroe Islands,False
1985-07-10,Iceland,Faroe Islands,9,0,Friendly,Keflavík,Iceland,False
1985-07-12,Iceland,Faroe Islands,1,0,Friendly,Akranes,Iceland,False
1988-08-24,Iceland,Faroe Islands,1,0,Friendly,Akranes,Iceland,False
1989-04-14,Faroe Islands,Canada,1,0,Friendly,Tórshavn,Faroe Islands,False
1989-04-16,Faroe Islands,Canada,0,1,Friendly,Klaksvík,Faroe Islands,False
1989-07-06,Faroe Islands,Ynys Môn,6,0,Island Games,Gøta,Faroe Islands,False
1989-07-08,Faroe Islands,Shetland,4,0,Island Games,Tórshavn,Faroe Islands,False
1989-07-09,Faroe Islands,Greenland,3,0,Island Games,Fuglafjørður,Faroe Islands,False
1989-07-12,Faroe Islands,Åland Islands,7,1,Island Games,Tórshavn,Faroe Islands,False
1990-08-08,Faroe Islands,Iceland,2,3,Friendly,Tórshavn,Faroe Islands,False
1990-09-12,Faroe Islands,Austria,1,0,UEFA Euro qualification,Landskrona,Sweden,True
1990-10-10,Denmark,Faroe Islands,4,1,UEFA Euro qualification,Copenhagen,Denmark,False
1991-05-01,Northern Ireland,Faroe Islands,1,1,UEFA Euro qualification,Belfast,Northern Ireland,False
1991-05-16,Yugoslavia,Faroe Islands,7,0,UEFA Euro qualification,Belgrade,Yugoslavia,False
