Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2015-05-30,Alderney,Felvidék,1,2,Niamh Challenge Cup,Douglas,Isle of Man,True
2015-05-31,Ellan Vannin,Felvidék,3,1,Niamh Challenge Cup,Douglas,Isle of Man,False
2015-06-18,Székely Land,Felvidék,1,3,CONIFA European Football Cup,Debrecen,Hungary,False
2015-06-19,Felvidék,County of Nice,1,4,CONIFA European Football Cup,Debrecen,Hungary,True
2015-06-20,Padania,Felvidék,5,0,CONIFA European Football Cup,Debrecen,Hungary,True
2015-06-21,Ellan Vannin,Felvidék,1,1,CONIFA European Football Cup,Debrecen,Hungary,True
2016-08-01,Felvidék,Kárpátalja,1,1,Hungary Heritage Cup,Szarvas,Hungary,True
2016-08-03,Délvidék,Felvidék,1,2,Hungary Heritage Cup,Szarvas,Hungary,True
2017-06-05,Felvidék,Székely Land,1,0,CONIFA European Football Cup,Famagusta,Northern Cyprus,True
2017-06-06,Ellan Vannin,Felvidék,1,0,CONIFA European Football Cup,Morphou,Northern Cyprus,True
2017-06-07,Padania,Felvidék,2,0,CONIFA European Football Cup,Nicosia,Northern Cyprus,True
2017-06-09,South Ossetia,Felvidék,0,2,CONIFA European Football Cup,Famagusta,Northern Cyprus,True
