Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1951-10-07,Fiji,New Zealand,4,6,Friendly,Suva,Fiji,False
1952-09-07,Fiji,New Zealand,0,2,Friendly,Suva,Fiji,False
1952-09-14,Fiji,New Zealand,0,9,Friendly,Lautoka,Fiji,False
1952-09-16,Fiji,New Zealand,2,5,Friendly,Suva,Fiji,False
1963-08-29,Fiji,Papua New Guinea,3,1,South Pacific Games,Suva,Fiji,False
1963-09-01,Fiji,Solomon Islands,5,0,South Pacific Games,Suva,Fiji,False
1963-09-06,Fiji,New Caledonia,2,8,South Pacific Games,Suva,Fiji,False
1968-09-17,New Zealand,Fiji,5,0,Friendly,Auckland,New Zealand,False
1968-09-19,New Caledonia,Fiji,2,1,Friendly,Nouméa,New Caledonia,False
1969-08-14,Fiji,Solomon Islands,5,1,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-15,Fiji,Vanuatu,5,2,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-16,Fiji,Tahiti,0,2,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-18,Fiji,New Caledonia,0,11,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-20,Papua New Guinea,Fiji,1,1,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-22,Papua New Guinea,Fiji,2,1,South Pacific Games,Port Moresby,Papua New Guinea,False
1971-08-30,Tahiti,Fiji,5,2,Friendly,Papeete,Tahiti,False
1971-09-09,Fiji,New Caledonia,1,5,South Pacific Games,Papeete,Tahiti,True
1971-09-11,Fiji,Vanuatu,4,6,South Pacific Games,Papeete,Tahiti,True
1971-09-15,Cook Islands,Fiji,1,15,South Pacific Games,Papeete,Tahiti,True
1973-02-17,New Zealand,Fiji,5,1,Oceania Nations Cup,Auckland,New Zealand,False
1973-02-20,Fiji,New Caledonia,0,2,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-21,Fiji,Vanuatu,1,2,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-23,Fiji,Tahiti,0,4,Oceania Nations Cup,Auckland,New Zealand,True
1975-07-28,Fiji,China PR,1,4,Friendly,Suva,Fiji,False
1975-08-04,Guam,Fiji,0,11,South Pacific Games,Tamuning,Guam,False
1975-08-05,Fiji,Solomon Islands,1,1,South Pacific Games,Tamuning,Guam,True
1975-08-07,Fiji,Tahiti,0,3,South Pacific Games,Tamuning,Guam,True
1975-08-08,Fiji,Solomon Islands,2,3,South Pacific Games,Tamuning,Guam,True
1977-03-19,Fiji,Australia,1,0,Friendly,Suva,Fiji,False
1979-06-29,Fiji,New Zealand,0,6,Friendly,Suva,Fiji,False
1979-07-01,Fiji,New Zealand,0,3,Friendly,Lautoka,Fiji,False
1979-08-29,Fiji,Papua New Guinea,0,0,South Pacific Games,Suva,Fiji,False
1979-08-30,Fiji,Kiribati,24,0,South Pacific Games,Nausori,Fiji,False
1979-09-03,Fiji,Wallis Islands and Futuna,5,0,South Pacific Games,Nausori,Fiji,False
1979-09-04,Fiji,Solomon Islands,2,0,South Pacific Games,Suva,Fiji,False
1979-09-07,Fiji,Tahiti,0,3,South Pacific Games,Suva,Fiji,False
1980-02-19,Fiji,New Zealand,1,1,Friendly,Suva,Fiji,False
1980-02-21,Fiji,New Zealand,0,2,Friendly,Lautoka,Fiji,False
1980-02-25,Fiji,Solomon Islands,3,1,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-27,Fiji,New Zealand,4,0,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-29,Fiji,Tahiti,3,6,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-03-01,New Caledonia,Fiji,2,1,Oceania Nations Cup,Nouméa,New Caledonia,False
1980-07-10,Fiji,Tahiti,1,1,Friendly,Suva,Fiji,False
1980-08-30,Fiji,Mexico,0,2,Friendly,Suva,Fiji,False
1981-03-02,Tahiti,Fiji,1,0,Friendly,Papeete,Tahiti,False
1981-03-10,Tahiti,Fiji,2,1,Friendly,Papeete,Tahiti,False
1981-05-03,Fiji,New Zealand,0,4,FIFA World Cup qualification,Suva,Fiji,False
1981-05-31,Fiji,Indonesia,0,0,FIFA World Cup qualification,Suva,Fiji,False
1981-06-06,Fiji,Taiwan,2,1,FIFA World Cup qualification,Suva,Fiji,False
1981-07-07,Solomon Islands,Fiji,1,2,South Pacific Mini Games,Honiara,Solomon Islands,False
1981-07-08,Papua New Guinea,Fiji,3,2,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-10,Vanuatu,Fiji,1,1,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-11,Fiji,Samoa,4,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-13,New Caledonia,Fiji,3,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-14,Tahiti,Fiji,6,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-26,Fiji,Australia,1,4,FIFA World Cup qualification,Suva,Fiji,False
1981-08-10,Indonesia,Fiji,3,3,FIFA World Cup qualification,Jakarta,Indonesia,False
1981-08-14,Australia,Fiji,10,0,FIFA World Cup qualification,Melbourne,Australia,False
1981-08-16,New Zealand,Fiji,13,0,FIFA World Cup qualification,Auckland,New Zealand,False
1983-08-16,Fiji,New Zealand,2,0,Friendly,Suva,Fiji,False
1983-08-18,Fiji,New Zealand,0,1,Friendly,Nadi,Fiji,False
1983-08-22,Fiji,Solomon Islands,10,0,South Pacific Games,Apia,Western Samoa,True
1983-08-26,Fiji,Vanuatu,6,0,South Pacific Games,Apia,Western Samoa,True
1983-09-13,Fiji,New Caledonia,5,1,South Pacific Games,Apia,Western Samoa,True
1983-09-14,Fiji,New Caledonia,3,2,South Pacific Games,Apia,Western Samoa,True
1983-09-14,Fiji,Papua New Guinea,2,0,South Pacific Games,Apia,Western Samoa,True
1983-09-15,Fiji,Tahiti,0,1,South Pacific Games,Apia,Western Samoa,True
1984-10-18,Fiji,New Zealand,1,2,Friendly,Lautoka,Fiji,False
1984-10-20,Fiji,New Zealand,1,1,Friendly,Suva,Fiji,False
1985-06-03,New Zealand,Fiji,5,0,Friendly,Mount Maunganui,New Zealand,False
