Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1911-10-22,Finland,Sweden,2,5,Friendly,Helsinki,Finland,False
1912-05-06,Russia,Finland,1,1,Friendly,Moscow,Russia,False
1912-06-27,Sweden,Finland,7,1,Friendly,Solna,Sweden,False
1912-06-29,Finland,Italy,3,2,Olympic Games,Stockholm,Sweden,True
1912-06-30,Finland,Russia,2,1,Olympic Games,Stockholm,Sweden,True
1912-07-04,Netherlands,Finland,9,0,Olympic Games,Stockholm,Sweden,True
1914-05-24,Sweden,Finland,4,3,Friendly,Solna,Sweden,False
1919-05-29,Sweden,Finland,1,0,Friendly,Stockholm,Sweden,False
1919-09-28,Finland,Sweden,3,3,Friendly,Helsinki,Finland,False
1920-05-30,Sweden,Finland,4,0,Friendly,Stockholm,Sweden,False
1920-09-19,Finland,Sweden,1,0,Friendly,Helsinki,Finland,False
1920-10-17,Finland,Estonia,6,0,Friendly,Helsinki,Finland,False
1921-05-25,Norway,Finland,3,2,Friendly,Kristiania,Norway,False
1921-05-29,Sweden,Finland,0,3,Friendly,Stockholm,Sweden,False
1921-07-31,Finland,Austria,2,3,Friendly,Helsinki,Finland,False
1921-08-28,Estonia,Finland,0,3,Friendly,Tallinn,Estonia,False
1921-09-18,Finland,Germany,3,3,Friendly,Helsinki,Finland,False
1922-06-05,Finland,Sweden,1,4,Friendly,Helsinki,Finland,False
1922-07-13,Finland,Hungary,1,5,Friendly,Helsinki,Finland,False
1922-08-11,Finland,Estonia,10,2,Friendly,Helsinki,Finland,False
1922-08-26,Finland,Norway,1,3,Friendly,Helsinki,Finland,False
1923-06-17,Norway,Finland,3,0,Friendly,Kristiania,Norway,False
1923-06-20,Sweden,Finland,5,4,Friendly,Gävle,Sweden,False
1923-08-12,Germany,Finland,1,2,Friendly,Dresden,Germany,False
1923-08-15,Austria,Finland,2,1,Friendly,Vienna,Austria,False
1923-08-19,Hungary,Finland,3,1,Friendly,Budapest,Hungary,False
1923-09-23,Finland,Poland,5,3,Friendly,Helsinki,Finland,False
1923-09-30,Estonia,Finland,2,1,Friendly,Tallinn,Estonia,False
1924-06-17,Finland,Turkey,2,4,Friendly,Helsinki,Finland,False
1924-07-28,Finland,Sweden,5,7,Friendly,Helsinki,Finland,False
1924-08-10,Poland,Finland,1,0,Friendly,Warsaw,Poland,False
1924-08-14,Latvia,Finland,0,2,Friendly,Riga,Latvia,False
1924-08-23,Finland,Norway,2,0,Friendly,Helsinki,Finland,False
1924-09-14,Finland,Estonia,4,0,Friendly,Helsinki,Finland,False
1925-06-07,Norway,Finland,1,0,Friendly,Oslo,Norway,False
1925-06-09,Sweden,Finland,4,0,Friendly,Gothenburg,Sweden,False
1925-06-26,Finland,Germany,3,5,Friendly,Helsinki,Finland,False
1925-07-05,Estonia,Finland,2,0,Friendly,Tallinn,Estonia,False
1925-07-10,Finland,Austria,1,2,Friendly,Helsinki,Finland,False
1925-08-09,Finland,Latvia,3,1,Friendly,Helsinki,Finland,False
1925-08-30,Finland,Poland,2,2,Friendly,Helsinki,Finland,False
1925-09-27,Denmark,Finland,3,3,Friendly,Aarhus,Denmark,False
1926-06-06,Finland,Norway,2,5,Friendly,Helsinki,Finland,False
1926-06-20,Finland,Denmark,3,2,Friendly,Helsinki,Finland,False
1926-07-26,Finland,Sweden,2,3,Friendly,Helsinki,Finland,False
1926-08-08,Poland,Finland,7,1,Friendly,Poznań,Poland,False
1926-08-12,Latvia,Finland,1,4,Friendly,Riga,Latvia,False
1926-09-05,Finland,Estonia,1,1,Friendly,Helsinki,Finland,False
1927-06-12,Sweden,Finland,6,2,Friendly,Stockholm,Sweden,False
1927-06-15,Norway,Finland,3,1,Friendly,Oslo,Norway,False
1927-08-10,Estonia,Finland,2,1,Friendly,Tallinn,Estonia,False
1927-09-11,Finland,Latvia,3,1,Friendly,Helsinki,Finland,False
1928-06-03,Finland,Norway,0,6,Friendly,Helsinki,Finland,False
1928-08-12,Finland,Estonia,2,2,Friendly,Helsinki,Finland,False
1928-08-19,Latvia,Finland,2,1,Friendly,Riga,Latvia,False
1928-08-22,Belarus,Finland,1,2,Friendly,Moscow,Soviet Union,True
1928-09-02,Finland,Sweden,2,3,Friendly,Helsinki,Finland,False
1929-06-14,Sweden,Finland,3,1,Nordic Championship,Stockholm,Sweden,False
1929-06-18,Norway,Finland,4,0,Nordic Championship,Oslo,Norway,False
1929-07-25,Estonia,Finland,1,1,Friendly,Tallinn,Estonia,False
1929-08-27,Finland,Estonia,2,1,Friendly,Helsinki,Finland,False
1929-09-15,Finland,Latvia,3,1,Friendly,Helsinki,Finland,False
1929-10-13,Denmark,Finland,8,0,Nordic Championship,Copenhagen,Denmark,False
1929-10-20,Germany,Finland,4,0,Friendly,Altona,Germany,False
1930-06-01,Norway,Finland,6,2,Nordic Championship,Oslo,Norway,False
1930-06-16,Finland,Denmark,1,6,Nordic Championship,Helsinki,Finland,False
1930-08-04,Latvia,Finland,3,0,Friendly,Riga,Latvia,False
1930-08-06,Estonia,Finland,4,0,Friendly,Tallinn,Estonia,False
1930-09-28,Finland,Sweden,4,4,Nordic Championship,Helsinki,Finland,False
1931-06-17,Finland,Estonia,3,1,Friendly,Helsinki,Finland,False
1931-07-03,Sweden,Finland,8,2,Nordic Championship,Stockholm,Sweden,False
1931-08-19,Finland,Latvia,4,0,Friendly,Helsinki,Finland,False
1931-09-06,Finland,Norway,4,4,Nordic Championship,Helsinki,Finland,False
1931-10-11,Denmark,Finland,2,3,Nordic Championship,Copenhagen,Denmark,False
1932-05-16,Sweden,Finland,7,1,Friendly,Stockholm,Sweden,False
1932-06-10,Finland,Sweden,1,3,Nordic Championship,Helsinki,Finland,False
1932-06-17,Norway,Finland,2,1,Nordic Championship,Oslo,Norway,False
1932-07-01,Finland,Germany,1,4,Friendly,Helsinki,Finland,False
1932-08-17,Estonia,Finland,0,3,Friendly,Tallinn,Estonia,False
1932-08-30,Finland,Denmark,4,2,Nordic Championship,Helsinki,Finland,False
1933-07-14,Sweden,Finland,2,0,Nordic Championship,Stockholm,Sweden,False
1933-08-09,Finland,Lithuania,9,2,Friendly,Helsinki,Finland,False
1933-08-16,Finland,Estonia,2,1,Friendly,Helsinki,Finland,False
