Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1997-06-29,Jersey,Frøya,4,1,Island Games,St. Clement,Jersey,False
1997-06-30,Frøya,Guernsey,1,2,Island Games,St. Peter,Jersey,True
1997-07-01,Frøya,Gibraltar,0,4,Island Games,St. Lawrence,Jersey,True
1997-07-03,Frøya,Greenland,2,1,Island Games,Grouville,Jersey,True
1997-07-03,Frøya,Hitra,4,1,Island Games,Grouville,Jersey,True
1999-06-27,Isle of Wight,Frøya,6,2,Island Games,Fardhem,Sweden,True
1999-06-28,Frøya,Greenland,1,3,Island Games,Dalhem,Sweden,True
1999-06-29,Saare County,Frøya,1,4,Island Games,Dalhem,Sweden,True
1999-07-01,Guernsey,Frøya,4,2,Island Games,Väskinde,Sweden,True
1999-07-02,Gibraltar,Frøya,5,1,Island Games,Visby,Sweden,True
2003-06-29,Frøya,Jersey,1,5,Island Games,Saint Sampson,Guernsey,True
2003-06-30,Gotland,Frøya,2,2,Island Games,Saint Sampson,Guernsey,True
2003-07-01,Shetland,Frøya,3,1,Island Games,Saint Sampson,Guernsey,True
2003-07-03,Frøya,Sark,15,0,Island Games,Alderney,Guernsey,True
2007-07-01,Rhodes,Frøya,3,1,Island Games,Rhodes,Greece,False
2007-07-02,Saare County,Frøya,2,3,Island Games,Rhodes,Greece,True
2007-07-04,Frøya,Gotland,0,3,Island Games,Rhodes,Greece,True
2007-07-05,Åland Islands,Frøya,3,1,Island Games,Rhodes,Greece,True
2009-06-28,Ynys Môn,Frøya,3,0,Island Games,Jomala,Sweden,True
2009-06-29,Frøya,Gibraltar,0,8,Island Games,Eckerö,Sweden,True
2009-06-30,Guernsey,Frøya,8,0,Island Games,Jomala,Sweden,True
2009-07-02,Falkland Islands,Frøya,1,3,Island Games,Jomala,Sweden,True
2013-07-14,Frøya,Falkland Islands,1,2,Island Games,Hamilton,Bermuda,True
2013-07-15,Greenland,Frøya,12,0,Island Games,Hamilton,Bermuda,True
2013-07-17,Bermuda,Frøya,8,0,Island Games,Hamilton,Bermuda,False
2013-07-18,Falkland Islands,Frøya,6,0,Island Games,Hamilton,Bermuda,True
2017-06-25,Gotland,Frøya,7,1,Island Games,Visby,Sweden,False
2017-06-26,Frøya,Greenland,2,2,Island Games,Hemse,Sweden,True
2017-06-27,Frøya,Western Isles,2,4,Island Games,Säve,Sweden,True
2017-06-29,Saare County,Frøya,4,2,Island Games,Fardhem,Sweden,True
2023-07-10,Greenland,Frøya,2,0,Island Games,Saint Sampson,Guernsey,True
2023-07-11,Frøya,Orkney,2,3,Island Games,St. Peter Port,Guernsey,True
2023-07-13,Frøya,Saint Helena,4,2,Island Games,Saint Martin,Guernsey,True
