Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1922-11-19,Galicia,Central Spain,4,1,Friendly,Vigo,Spain,False
1923-01-14,Andalusia,Galicia,1,4,Friendly,Seville,Spain,False
1923-02-25,Galicia,Asturias,1,3,Friendly,Vigo,Spain,False
1923-11-25,Central Spain,Galicia,1,0,Friendly,Madrid,Spain,False
2005-12-25,Galicia,Uruguay,3,2,Friendly,Santiago de Compostela,Spain,False
2006-12-28,Galicia,Ecuador,1,1,Friendly,La Coruña,Spain,False
2007-12-27,Galicia,Cameroon,1,1,Friendly,Vigo,Spain,False
2008-12-27,Galicia,Iran,3,2,Friendly,La Coruña,Spain,False
2013-12-28,Galicia,Occitania,1,7,Friendly,Lugo,Spain,False
2016-05-20,Galicia,Venezuela,1,1,Friendly,La Coruña,Spain,False
