Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1953-02-09,Gambia,Sierra Leone,2,1,Friendly,Banjul,Gambia,False
1953-06-02,Gambia,Guinea-Bissau,1,3,Friendly,Bathurst,Gambia,False
1953-06-08,Guinea-Bissau,Gambia,1,0,Friendly,Bissau,Portuguese Guinea,False
1956-11-10,Sierra Leone,Gambia,1,0,Friendly,Freetown,Sierra Leone,False
1959-12-20,Gambia,Cape Verde,3,2,Friendly,Bathurst,Gambia,False
1960-01-27,Guinea-Bissau,Gambia,3,2,Friendly,Bissau,Portuguese Guinea,False
1961-12-05,Senegal,Gambia,2,3,Friendly,Dakar,Senegal,False
1963-04-12,France,Gambia,5,1,African Friendship Games,Dakar,Senegal,True
1963-04-14,Gambia,Burkina Faso,2,2,African Friendship Games,Dakar,Senegal,True
1963-04-16,Gambia,Gabon,2,2,African Friendship Games,Dakar,Senegal,True
1968-11-16,Sierra Leone,Gambia,2,1,Friendly,Freetown,Sierra Leone,False
1969-05-22,Guinea,Gambia,6,2,Friendly,Conakry,Guinea,False
1971-04-24,Sierra Leone,Gambia,3,1,Friendly,Freetown,Sierra Leone,False
1971-05-02,Guinea,Gambia,4,2,Friendly,Conakry,Guinea,False
1973-01-01,Gambia,Senegal,2,1,Friendly,Banjul,Gambia,False
1974-11-24,Morocco,Gambia,3,0,African Cup of Nations qualification,Rabat,Morocco,False
1974-12-07,Gambia,Morocco,0,3,African Cup of Nations qualification,Banjul,Gambia,False
1975-06-08,Guinea-Bissau,Gambia,1,0,Friendly,Bissau,Guinea-Bissau,False
1976-01-14,Gambia,Guinea-Bissau,3,1,Friendly,Banjul,Gambia,False
1976-01-15,Gambia,Mali,0,3,Friendly,Banjul,Gambia,False
1977-01-30,Gambia,Denmark,1,4,Friendly,Brikama,Gambia,False
1978-01-17,Ghana,Gambia,7,1,Friendly,Accra,Ghana,False
1979-01-08,Gambia,Mauritania,3,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1979-01-10,Gambia,Mali,0,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1979-01-12,Gambia,Guinea,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1979-01-29,Gambia,Ivory Coast,2,1,Friendly,Monrovia,Liberia,True
1979-01-31,Gambia,Togo,2,2,Friendly,Monrovia,Liberia,True
1979-02-04,Liberia,Gambia,1,0,Friendly,Monrovia,Liberia,False
1979-04-16,Togo,Gambia,2,0,African Cup of Nations qualification,Lomé,Togo,False
1979-04-29,Gambia,Togo,1,0,African Cup of Nations qualification,Banjul,Gambia,False
1979-09-29,Sierra Leone,Gambia,2,0,Friendly,Freetown,Sierra Leone,False
1980-02-09,Gambia,Guinea-Bissau,2,0,Amílcar Cabral Cup,Banjul,Gambia,False
1980-02-13,Gambia,Guinea,0,0,Amílcar Cabral Cup,Banjul,Gambia,False
1980-02-16,Gambia,Mauritania,2,2,Amílcar Cabral Cup,Banjul,Gambia,False
1980-02-18,Gambia,Senegal,0,1,Amílcar Cabral Cup,Banjul,Gambia,False
1980-05-08,Libya,Gambia,2,1,FIFA World Cup qualification,Tripoli,Libya,False
1980-07-06,Gambia,Libya,0,0,FIFA World Cup qualification,Banjul,Gambia,False
1980-11-09,Liberia,Gambia,0,0,African Cup of Nations qualification,Monrovia,Liberia,False
1980-11-23,Gambia,Liberia,1,1,African Cup of Nations qualification,Banjul,Gambia,False
1981-02-02,Gambia,Guinea,1,1,Amílcar Cabral Cup,Bamako,Mali,True
1981-02-06,Mali,Gambia,4,1,Amílcar Cabral Cup,Bamako,Mali,False
1982-02-11,Cape Verde,Gambia,2,0,Amílcar Cabral Cup,Praia,Cape Verde,False
1982-02-13,Gambia,Mauritania,3,1,Amílcar Cabral Cup,Praia,Cape Verde,True
1982-02-15,Gambia,Mali,1,1,Amílcar Cabral Cup,Praia,Cape Verde,True
1982-11-14,Mali,Gambia,3,1,African Cup of Nations qualification,Bamako,Mali,False
1982-11-28,Gambia,Mali,1,0,African Cup of Nations qualification,Banjul,Gambia,False
1983-02-06,Sierra Leone,Gambia,0,1,Friendly,Freetown,Sierra Leone,False
1983-02-20,Gambia,Sierra Leone,0,1,Friendly,Banjul,Gambia,False
1983-07-03,Gambia,Mali,1,1,Friendly,Banjul,Gambia,False
1983-07-21,Gambia,Guinea,4,1,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1983-07-23,Gambia,Senegal,1,2,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1983-07-25,Gambia,Guinea-Bissau,2,2,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1984-01-02,Gambia,Senegal,2,2,Friendly,Banjul,Gambia,False
1984-01-04,Gambia,Sierra Leone,1,0,Friendly,Bakau,Gambia,False
1984-01-17,Gambia,Guinea,1,0,Friendly,Banjul,Gambia,False
1984-01-29,Gambia,Ghana,0,1,Friendly,Banjul,Gambia,False
1984-02-08,Gambia,Guinea,2,2,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1984-02-10,Sierra Leone,Gambia,1,0,Amílcar Cabral Cup,Freetown,Sierra Leone,False
1984-02-12,Cape Verde,Gambia,0,2,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1984-02-15,Gambia,Senegal,0,1,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1984-02-18,Gambia,Mali,0,2,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1984-07-25,Mauritania,Gambia,0,0,Friendly,Nouakchott,Mauritania,False
1984-07-26,Gambia,Guinea,1,1,Friendly,Nouakchott,Mauritania,True
1984-07-29,Gambia,Guinea,0,1,Friendly,Nouakchott,Mauritania,True
1984-07-30,Mauritania,Gambia,1,1,Friendly,Nouakchott,Mauritania,False
1984-09-23,Ghana,Gambia,3,1,Friendly,Accra,Ghana,False
1984-10-21,Ivory Coast,Gambia,4,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
1984-11-04,Gambia,Ivory Coast,3,2,FIFA World Cup qualification,Bakau,Gambia,False
1984-11-18,Gambia,Sierra Leone,3,2,African Cup of Nations qualification,Banjul,Gambia,False
1984-12-02,Sierra Leone,Gambia,2,0,African Cup of Nations qualification,Freetown,Sierra Leone,False
1985-02-11,Gambia,Cape Verde,1,2,Amílcar Cabral Cup,Banjul,Gambia,False
1985-02-13,Gambia,Guinea-Bissau,1,0,Amílcar Cabral Cup,Banjul,Gambia,False
1985-02-15,Gambia,Sierra Leone,1,1,Amílcar Cabral Cup,Banjul,Gambia,False
1985-02-19,Gambia,Mali,1,0,Amílcar Cabral Cup,Bakau,Gambia,False
1985-02-22,Gambia,Senegal,0,1,Amílcar Cabral Cup,Bakau,Gambia,False
1985-06-24,Guinea,Gambia,1,0,Friendly,Conakry,Guinea,False
1985-12-15,Gambia,Guinea,0,0,Friendly,Bakau,Gambia,False
1986-02-02,Gambia,Guinea-Bissau,3,0,Amílcar Cabral Cup,Dakar,Senegal,True
1986-02-04,Gambia,Sierra Leone,1,2,Amílcar Cabral Cup,Dakar,Senegal,True
1986-02-06,Gambia,Mauritania,3,1,Amílcar Cabral Cup,Dakar,Senegal,True
1986-02-08,Senegal,Gambia,1,0,Amílcar Cabral Cup,Dakar,Senegal,False
1986-08-16,Guinea,Gambia,2,1,African Cup of Nations qualification,Conakry,Guinea,False
1986-08-30,Gambia,Guinea,0,1,African Cup of Nations qualification,Banjul,Gambia,False
1988-01-03,Gambia,Ghana,0,2,Friendly,Banjul,Gambia,False
1988-01-05,Gambia,Ghana,0,0,Friendly,Banjul,Gambia,False
1988-03-13,Gambia,Mali,2,1,Friendly,Banjul,Gambia,False
1988-04-28,Gambia,Senegal,0,4,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1988-04-30,Gambia,Sierra Leone,1,3,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1988-05-02,Guinea-Bissau,Gambia,3,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
1990-02-21,Gambia,Guinea-Bissau,0,1,Friendly,Banjul,Gambia,False
1990-05-18,Mauritania,Gambia,2,0,African Cup of Nations qualification,Nouakchott,Mauritania,False
1990-05-26,Gambia,Burkina Faso,0,0,Friendly,Banjul,Gambia,False
1990-06-03,Gambia,Mauritania,2,1,African Cup of Nations qualification,Banjul,Gambia,False
1991-02-06,Guinea-Bissau,Gambia,2,1,Friendly,Bissau,Guinea-Bissau,False
1991-02-17,Gambia,Mauritania,0,0,Friendly,Banjul,Gambia,False
1991-06-28,Gambia,Ghana,2,3,Friendly,Lagos,Nigeria,True
1991-11-23,Gambia,Mali,1,0,Amílcar Cabral Cup,Dakar,Senegal,True
1991-11-26,Gambia,Guinea,0,0,Amílcar Cabral Cup,Dakar,Senegal,True
1991-11-28,Gambia,Sierra Leone,0,0,Amílcar Cabral Cup,Dakar,Senegal,True
1991-11-30,Senegal,Gambia,2,0,Amílcar Cabral Cup,Dakar,Senegal,False
1993-11-22,Gambia,Mauritania,2,4,Friendly,Banjul,Gambia,False
1993-11-26,Gambia,Ghana,3,0,Friendly,Freetown,Sierra Leone,True
1993-11-28,Guinea,Gambia,1,2,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1993-11-30,Sierra Leone,Gambia,1,1,Amílcar Cabral Cup,Freetown,Sierra Leone,False
1993-12-03,Gambia,Senegal,0,2,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1993-12-05,Gambia,Mali,2,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1994-02-07,Gambia,Senegal,0,0,Friendly,Banjul,Gambia,False
1995-11-17,Mauritania,Gambia,2,1,Amílcar Cabral Cup,Nouakchott,Mauritania,False
1995-11-19,Mali,Gambia,1,0,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1996-04-21,Gambia,Senegal,1,2,Friendly,Banjul,Gambia,False
1996-05-19,Gambia,Guinea,1,1,Friendly,Banjul,Gambia,False
1996-06-01,Gambia,Liberia,2,1,FIFA World Cup qualification,Banjul,Gambia,False
1996-06-23,Liberia,Gambia,4,0,FIFA World Cup qualification,Accra,Ghana,True
1997-11-28,Gambia,Cape Verde,3,1,Amílcar Cabral Cup,Banjul,Gambia,False
1997-11-30,Gambia,Mauritania,2,1,Amílcar Cabral Cup,Banjul,Gambia,False
1997-12-02,Gambia,Senegal,0,0,Amílcar Cabral Cup,Banjul,Gambia,False
1997-12-05,Gambia,Mali,1,2,Amílcar Cabral Cup,Banjul,Gambia,False
1997-12-07,Gambia,Guinea,2,2,Amílcar Cabral Cup,Banjul,Gambia,False
1998-01-16,Gambia,Zambia,0,2,Friendly,Banjul,Gambia,False
1999-12-04,Gambia,Sierra Leone,0,0,Friendly,Banjul,Gambia,False
1999-12-12,Senegal,Gambia,3,0,Friendly,Dakar,Senegal,False
2000-03-24,Gambia,Mauritania,0,0,Friendly,Banjul,Gambia,False
2000-03-31,Gambia,Mauritania,0,0,Friendly,Banjul,Gambia,False
2000-04-09,Gambia,Morocco,0,1,FIFA World Cup qualification,Bakau,Gambia,False
2000-04-22,Morocco,Gambia,2,0,FIFA World Cup qualification,Casablanca,Morocco,False
2000-05-04,Cape Verde,Gambia,1,1,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-06,Gambia,Senegal,1,1,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-08,Gambia,Sierra Leone,2,2,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-07-01,Gambia,Guinea,2,2,African Cup of Nations qualification,Bakau,Gambia,False
2000-07-16,Guinea,Gambia,2,0,African Cup of Nations qualification,Conakry,Guinea,False
2001-06-03,Gambia,Senegal,0,0,Friendly,Banjul,Gambia,False
2001-06-10,Sierra Leone,Gambia,1,1,Friendly,Freetown,Sierra Leone,False
2001-10-12,Gambia,Morocco,0,2,Friendly,Bamako,Mali,True
2001-11-07,Cape Verde,Gambia,1,1,Amílcar Cabral Cup,Sikasso,Mali,True
2001-11-09,Mali,Gambia,0,1,Amílcar Cabral Cup,Ségou,Mali,False
2002-01-16,Gambia,Morocco,0,2,Friendly,Banjul,Gambia,False
2002-08-25,Gambia,Sierra Leone,1,0,Friendly,Banjul,Gambia,False
2002-09-01,Gambia,Guinea,1,0,Friendly,Banjul,Gambia,False
2002-09-18,Ivory Coast,Gambia,5,0,Friendly,Bouaké,Ivory Coast,False
2002-10-13,Gambia,Lesotho,6,0,African Cup of Nations qualification,Bakau,Gambia,False
2003-02-16,Gambia,Nigeria,0,1,Friendly,Banjul,Gambia,False
2003-03-30,Gambia,Senegal,0,0,African Cup of Nations qualification,Bakau,Gambia,False
2003-05-31,Gambia,Mauritania,4,1,Friendly,Banjul,Gambia,False
2003-06-07,Senegal,Gambia,3,1,African Cup of Nations qualification,Dakar,Senegal,False
2003-07-06,Lesotho,Gambia,1,0,African Cup of Nations qualification,Maseru,Lesotho,False
2003-10-12,Gambia,Liberia,2,0,FIFA World Cup qualification,Bakau,Gambia,False
2003-11-16,Liberia,Gambia,3,0,FIFA World Cup qualification,Monrovia,Liberia,False
2005-06-10,Gambia,Guinea,2,3,Friendly,Freetown,Sierra Leone,True
2005-06-12,Sierra Leone,Gambia,1,0,Friendly,Freetown,Sierra Leone,False
2006-09-03,Gambia,Cape Verde,2,0,African Cup of Nations qualification,Bakau,Gambia,False
2006-10-07,Algeria,Gambia,1,0,African Cup of Nations qualification,Algiers,Algeria,False
2007-01-08,Saudi Arabia,Gambia,3,0,Friendly,Dammam,Saudi Arabia,False
2007-02-07,Luxembourg,Gambia,2,1,Friendly,Hesperange,Luxembourg,False
2007-03-24,Gambia,Guinea,0,2,African Cup of Nations qualification,Bakau,Gambia,False
2007-06-03,Guinea,Gambia,2,2,African Cup of Nations qualification,Conakry,Guinea,False
2007-06-16,Cape Verde,Gambia,0,0,African Cup of Nations qualification,Praia,Cape Verde,False
2007-09-09,Gambia,Algeria,2,1,African Cup of Nations qualification,Bakau,Gambia,False
2007-12-03,Cape Verde,Gambia,0,0,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
2007-12-23,Gambia,Sierra Leone,2,1,Friendly,Bakau,Gambia,False
2008-06-01,Liberia,Gambia,1,1,FIFA World Cup qualification,Paynesville,Liberia,False
2008-06-08,Gambia,Senegal,0,0,FIFA World Cup qualification,Bakau,Gambia,False
2008-06-14,Gambia,Algeria,1,0,FIFA World Cup qualification,Bakau,Gambia,False
2008-06-20,Algeria,Gambia,1,0,FIFA World Cup qualification,Blida,Algeria,False
2008-09-06,Gambia,Liberia,3,0,FIFA World Cup qualification,Bakau,Gambia,False
2008-10-11,Senegal,Gambia,1,1,FIFA World Cup qualification,Dakar,Senegal,False
2010-01-03,Angola,Gambia,1,1,Friendly,Vila Real de Santo António,Portugal,True
2010-01-09,Tunisia,Gambia,1,2,Friendly,Radès,Tunisia,False
2010-05-30,Mexico,Gambia,5,1,Friendly,Bayreuth,Germany,True
2010-09-04,Gambia,Namibia,3,1,African Cup of Nations qualification,Bakau,Gambia,False
2010-10-09,Burkina Faso,Gambia,3,1,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False
2011-02-09,Guinea-Bissau,Gambia,3,1,Friendly,Amadora,Portugal,True
2011-03-29,Equatorial Guinea,Gambia,1,0,Friendly,Malabo,Equatorial Guinea,False
2011-06-07,Gabon,Gambia,0,1,Friendly,Franceville,Gabon,False
2011-07-24,Liberia,Gambia,3,2,Friendly,Paynesville,Liberia,False
2011-08-10,Gambia,DR Congo,3,0,Friendly,Banjul,Gambia,False
2011-09-03,Namibia,Gambia,1,0,African Cup of Nations qualification,Windhoek,Namibia,False
2011-10-08,Gambia,Burkina Faso,1,1,African Cup of Nations qualification,Bakau,Gambia,False
2012-02-29,Gambia,Algeria,1,2,African Cup of Nations qualification,Bakau,Gambia,False
2012-06-02,Gambia,Morocco,1,1,FIFA World Cup qualification,Bakau,Gambia,False
2012-06-10,Tanzania,Gambia,2,1,FIFA World Cup qualification,Dar es Salaam,Tanzania,False
2012-06-15,Algeria,Gambia,4,1,African Cup of Nations qualification,Blida,Algeria,False
2012-12-15,Angola,Gambia,1,1,Friendly,Benguela,Angola,False
2013-02-27,Gambia,Mauritania,0,2,Friendly,Bakau,Gambia,False
2013-03-02,Gambia,Mauritania,0,0,Friendly,Bakau,Gambia,False
2013-03-23,Ivory Coast,Gambia,3,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
2013-06-08,Gambia,Ivory Coast,0,3,FIFA World Cup qualification,Bakau,Gambia,False
2013-06-15,Morocco,Gambia,2,0,FIFA World Cup qualification,Marrakech,Morocco,False
2013-09-07,Gambia,Tanzania,2,0,FIFA World Cup qualification,Bakau,Gambia,False
2015-03-27,Gambia,Mauritania,1,0,Friendly,Bakau,Gambia,False
2015-06-09,Uganda,Gambia,1,1,Friendly,Kampala,Uganda,False
2015-06-13,South Africa,Gambia,0,0,African Cup of Nations qualification,Durban,South Africa,False
2015-09-06,Gambia,Cameroon,0,1,African Cup of Nations qualification,Bakau,Gambia,False
2015-10-09,Gambia,Namibia,1,1,FIFA World Cup qualification,Bakau,Gambia,False
2015-10-13,Namibia,Gambia,2,1,FIFA World Cup qualification,Windhoek,Namibia,False
2016-03-25,Mauritania,Gambia,2,1,African Cup of Nations qualification,Nouakchott,Mauritania,False
2016-03-29,Gambia,Mauritania,0,0,African Cup of Nations qualification,Bakau,Gambia,False
2016-05-30,Gambia,Zambia,0,0,Friendly,Bakau,Gambia,False
2016-06-04,Gambia,South Africa,0,4,African Cup of Nations qualification,Bakau,Gambia,False
2016-09-03,Cameroon,Gambia,2,0,African Cup of Nations qualification,Limbé,Cameroon,False
2017-03-27,Central African Republic,Gambia,1,2,Friendly,Rabat,Morocco,True
2017-06-11,Benin,Gambia,1,0,African Cup of Nations qualification,Cotonou,Benin,False
2017-07-01,Gambia,Guinea-Bissau,0,0,Friendly,Bakau,Gambia,False
2017-07-08,Guinea-Bissau,Gambia,0,1,Friendly,Bissau,Guinea-Bissau,False
2018-03-23,Gambia,Central African Republic,1,1,Friendly,Bakau,Gambia,False
2018-09-08,Gambia,Algeria,1,1,African Cup of Nations qualification,Bakau,Gambia,False
2018-10-12,Togo,Gambia,1,1,African Cup of Nations qualification,Lomé,Togo,False
2018-10-16,Gambia,Togo,0,1,African Cup of Nations qualification,Bakau,Gambia,False
2018-11-17,Gambia,Benin,3,1,African Cup of Nations qualification,Bakau,Gambia,False
2019-03-22,Algeria,Gambia,1,1,African Cup of Nations qualification,Blida,Algeria,False
2019-06-12,Morocco,Gambia,0,1,Friendly,Marrakech,Morocco,False
2019-09-06,Gambia,Angola,0,1,FIFA World Cup qualification,Bakau,Gambia,False
2019-09-10,Angola,Gambia,2,1,FIFA World Cup qualification,Luanda,Angola,False
2019-10-09,Djibouti,Gambia,1,1,African Cup of Nations qualification,Djibouti,Djibouti,False
2019-10-13,Gambia,Djibouti,1,1,African Cup of Nations qualification,Bakau,Gambia,False
2019-11-13,Angola,Gambia,1,3,African Cup of Nations qualification,Luanda,Angola,False
2019-11-18,Gambia,DR Congo,2,2,African Cup of Nations qualification,Bakau,Gambia,False
2020-10-09,Congo,Gambia,0,1,Friendly,Parchal,Portugal,True
2020-11-12,Gabon,Gambia,2,1,African Cup of Nations qualification,Franceville,Gabon,False
2020-11-16,Gambia,Gabon,2,1,African Cup of Nations qualification,Bakau,Gambia,False
2021-03-25,Gambia,Angola,1,0,African Cup of Nations qualification,Bakau,Gambia,False
2021-03-29,DR Congo,Gambia,1,0,African Cup of Nations qualification,Kinshasa,DR Congo,False
2021-06-05,Niger,Gambia,0,2,Friendly,Antalya,Turkey,True
2021-06-08,Gambia,Togo,1,0,Friendly,Antalya,Turkey,True
2021-06-11,Kosovo,Gambia,1,0,Friendly,Antalya,Turkey,True
