Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1952-05-18,Hungary,German DR,5,0,Friendly,Budapest,Hungary,False
1952-09-21,Poland,German DR,3,0,Friendly,Warsaw,Poland,False
1952-10-26,Romania,German DR,3,1,Friendly,Bucharest,Romania,False
1953-06-14,German DR,Bulgaria,0,0,Friendly,Dresden,German DR,False
1954-05-08,German DR,Romania,0,1,Friendly,Berlin,German DR,False
1954-09-26,German DR,Poland,0,1,Friendly,Rostock,German DR,False
1954-10-24,Bulgaria,German DR,3,1,Friendly,Sofia,Bulgaria,False
1955-09-18,Romania,German DR,2,3,Friendly,Bucharest,Romania,False
1955-11-20,German DR,Bulgaria,1,0,Friendly,Berlin,German DR,False
1956-07-22,Poland,German DR,0,2,Friendly,Chorzów,Poland,False
1956-09-20,German DR,Indonesia,3,1,Friendly,Karl-Marx-Stadt,German DR,False
1956-10-14,Bulgaria,German DR,3,1,Friendly,Sofia,Bulgaria,False
1957-03-10,German DR,Luxembourg,3,0,Friendly,Berlin,German DR,False
1957-05-19,German DR,Wales,2,1,FIFA World Cup qualification,Leipzig,German DR,False
1957-06-16,Czechoslovakia,German DR,3,1,FIFA World Cup qualification,Brno,Czechoslovakia,False
1957-09-25,Wales,German DR,4,1,FIFA World Cup qualification,Cardiff,Wales,False
1957-10-27,German DR,Czechoslovakia,1,4,FIFA World Cup qualification,Leipzig,German DR,False
1958-05-04,Albania,German DR,1,1,Friendly,Tirana,Albania,False
1958-06-28,German DR,Poland,1,1,Friendly,Rostock,German DR,False
1958-08-13,Norway,German DR,6,5,Friendly,Oslo,Norway,False
1958-09-14,German DR,Romania,3,2,Friendly,Leipzig,German DR,False
1958-10-05,German DR,Bulgaria,1,1,Friendly,Berlin,German DR,False
1958-11-02,German DR,Norway,4,1,Friendly,Leipzig,German DR,False
1959-02-11,Indonesia,German DR,2,2,Friendly,Jakarta,Indonesia,False
1959-05-01,German DR,Hungary,0,1,Friendly,Dresden,German DR,False
1959-06-21,German DR,Portugal,0,2,UEFA Euro qualification,Berlin,German DR,False
1959-06-28,Portugal,German DR,3,2,UEFA Euro qualification,Porto,Portugal,False
1959-08-12,German DR,Czechoslovakia,2,1,Friendly,Leipzig,Germany,True
1959-09-06,Finland,German DR,3,2,Friendly,Helsinki,Finland,False
1960-07-10,Bulgaria,German DR,2,0,Friendly,Sofia,Bulgaria,False
1960-08-17,German DR,Russia,0,1,Friendly,Leipzig,German DR,False
1960-10-30,German DR,Finland,5,1,Friendly,Rostock,German DR,False
1960-12-04,Tunisia,German DR,0,3,Friendly,Tunis,Tunisia,False
1960-12-11,Morocco,German DR,2,3,Friendly,Casablanca,Morocco,False
1961-04-16,Hungary,German DR,2,0,FIFA World Cup qualification,Budapest,Hungary,False
1961-05-14,German DR,Netherlands,1,1,FIFA World Cup qualification,Leipzig,German DR,False
1961-05-28,Denmark,German DR,1,1,Friendly,Copenhagen,Denmark,False
1961-06-21,German DR,Morocco,1,2,Friendly,Erfurt,German DR,False
1961-09-10,German DR,Hungary,2,3,FIFA World Cup qualification,Berlin,German DR,False
1961-10-22,Poland,German DR,3,1,Friendly,Wrocław,Poland,False
1961-12-10,Morocco,German DR,2,0,Friendly,Casablanca,Morocco,False
1962-05-03,Russia,German DR,2,1,Friendly,Moscow,Soviet Union,False
1962-05-16,Yugoslavia,German DR,3,1,Friendly,Belgrade,Yugoslavia,False
1962-05-23,German DR,Denmark,4,1,Friendly,Leipzig,German DR,False
1962-09-16,German DR,Yugoslavia,2,2,Friendly,Leipzig,German DR,False
1962-10-14,German DR,Romania,3,2,Friendly,Dresden,German DR,False
1962-11-21,German DR,Czechoslovakia,2,1,UEFA Euro qualification,Berlin,German DR,False
1962-12-09,Mali,German DR,1,2,Friendly,Bamako,Mali,False
1962-12-16,Guinea,German DR,2,3,Friendly,Conakry,Guinea,False
1963-03-31,Czechoslovakia,German DR,1,1,UEFA Euro qualification,Prague,Czechoslovakia,False
1963-05-12,Romania,German DR,3,2,Friendly,Bucharest,Romania,False
1963-06-02,German DR,England,1,2,Friendly,Leipzig,German DR,False
1963-09-04,German DR,Bulgaria,1,1,Friendly,Magdeburg,German DR,False
1963-10-19,German DR,Hungary,1,2,UEFA Euro qualification,Berlin,German DR,False
1963-11-03,Hungary,German DR,3,3,UEFA Euro qualification,Budapest,Hungary,False
1963-12-17,Myanmar,German DR,1,5,Friendly,Yangon,Burma,False
1964-01-12,Sri Lanka,German DR,1,12,Friendly,Colombo,Ceylon,False
1964-02-23,Ghana,German DR,3,0,Friendly,Accra,Ghana,False
1965-01-03,Uruguay,German DR,0,2,Friendly,Montevideo,Uruguay,False
1965-04-25,Austria,German DR,1,1,FIFA World Cup qualification,Vienna,Austria,False
1965-05-23,German DR,Hungary,1,1,FIFA World Cup qualification,Leipzig,German DR,False
1965-09-04,Bulgaria,German DR,3,2,Friendly,Varna,Bulgaria,False
1965-10-09,Hungary,German DR,3,2,FIFA World Cup qualification,Budapest,Hungary,False
1965-10-31,German DR,Austria,1,0,FIFA World Cup qualification,Leipzig,German DR,False
1966-04-27,German DR,Sweden,4,1,Friendly,Leipzig,German DR,False
1966-07-02,German DR,Chile,5,2,Friendly,Leipzig,German DR,False
1966-09-04,German DR,Egypt,6,0,Friendly,Karl-Marx-Stadt,German DR,False
1966-09-11,German DR,Poland,2,0,Friendly,Erfurt,German DR,False
1966-09-21,German DR,Romania,2,0,Friendly,Gera,German DR,False
1966-10-23,Russia,German DR,2,2,Friendly,Moscow,Soviet Union,False
1967-01-17,Egypt,German DR,1,2,Friendly,Cairo,United Arab Republic,True
1967-01-20,Egypt,German DR,0,3,Friendly,Cairo,United Arab Republic,True
1967-01-24,Egypt,German DR,2,2,Friendly,Alexandria,United Arab Republic,True
1967-01-29,Sudan,German DR,1,2,Friendly,Khartoum,Sudan,False
1967-02-12,Iraq,German DR,1,1,Friendly,Baghdad,Iraq,False
1967-04-05,German DR,Netherlands,4,3,UEFA Euro qualification,Leipzig,German DR,False
1967-05-17,Sweden,German DR,0,1,Friendly,Helsingborg,Sweden,False
1967-06-04,Denmark,German DR,1,1,UEFA Euro qualification,Copenhagen,Denmark,False
1967-09-13,Netherlands,German DR,1,0,UEFA Euro qualification,Amsterdam,Netherlands,False
1967-09-27,Hungary,German DR,3,1,UEFA Euro qualification,Budapest,Hungary,False
1967-10-11,German DR,Denmark,3,2,UEFA Euro qualification,Leipzig,German DR,False
1967-10-29,German DR,Hungary,1,0,UEFA Euro qualification,Leipzig,German DR,False
1968-10-20,Poland,German DR,1,1,Friendly,Szczecin,Poland,False
1969-03-29,German DR,Italy,2,2,FIFA World Cup qualification,Berlin,German DR,False
1969-04-16,German DR,Wales,2,1,FIFA World Cup qualification,Dresden,German DR,False
1969-06-22,German DR,Chile,0,1,Friendly,Magdeburg,German DR,False
1969-06-25,German DR,Chile,2,1,Friendly,Halle,German DR,False
1969-07-09,German DR,Egypt,7,0,Friendly,Rostock,German DR,False
1969-07-25,German DR,Russia,2,2,Friendly,Leipzig,German DR,False
1969-10-22,Wales,German DR,1,3,FIFA World Cup qualification,Cardiff,Wales,False
1969-11-22,Italy,German DR,3,0,FIFA World Cup qualification,Naples,Italy,False
1969-12-08,Iraq,German DR,1,1,Friendly,Baghdad,Iraq,False
1969-12-19,Egypt,German DR,1,3,Friendly,Cairo,Egypt,False
1970-05-16,Poland,German DR,1,1,Friendly,Kraków,Poland,False
1970-07-26,German DR,Iraq,5,0,Friendly,Jena,German DR,False
1970-09-06,German DR,Poland,5,0,Friendly,Rostock,German DR,False
1970-11-11,German DR,Netherlands,1,0,UEFA Euro qualification,Dresden,German DR,False
1970-11-15,Luxembourg,German DR,0,5,UEFA Euro qualification,Luxembourg,Luxembourg,False
1970-11-25,England,German DR,3,1,Friendly,London,England,False
1971-02-02,Chile,German DR,0,1,Friendly,Santiago,Chile,False
1971-02-08,Uruguay,German DR,0,3,Friendly,Montevideo,Uruguay,False
1971-02-10,Uruguay,German DR,1,1,Friendly,Montevideo,Uruguay,False
1971-04-24,German DR,Luxembourg,2,1,UEFA Euro qualification,Gera,German DR,False
1971-05-09,German DR,Yugoslavia,1,2,UEFA Euro qualification,Leipzig,German DR,False
1971-08-18,Mexico,German DR,0,1,Friendly,Guadalajara,Mexico,False
1971-09-18,German DR,Mexico,1,1,Friendly,Leipzig,German DR,False
1971-09-25,German DR,Czechoslovakia,1,1,Friendly,Berlin,German DR,False
1971-10-10,Netherlands,German DR,3,2,UEFA Euro qualification,Rotterdam,Netherlands,False
1971-10-16,Yugoslavia,German DR,0,0,UEFA Euro qualification,Belgrade,Yugoslavia,False
1972-04-08,Poland,German DR,2,1,Friendly,Łódź,Poland,False
1972-05-27,German DR,Uruguay,1,0,Friendly,Leipzig,German DR,False
1972-05-31,German DR,Uruguay,0,0,Friendly,Rostock,German DR,False
1972-10-07,German DR,Finland,5,0,FIFA World Cup qualification,Dresden,German DR,False
1972-11-01,Czechoslovakia,German DR,1,3,Friendly,Bratislava,Czechoslovakia,False
1973-02-15,Colombia,German DR,0,2,Friendly,Bogotá,Colombia,False
1973-02-18,Ecuador,German DR,1,1,Friendly,Quito,Ecuador,False
1973-04-08,German DR,Albania,2,0,FIFA World Cup qualification,Magdeburg,German DR,False
1973-04-18,Belgium,German DR,3,0,Friendly,Antwerp,Belgium,False
1973-05-16,German DR,Hungary,2,1,Friendly,Karl-Marx-Stadt,German DR,False
1973-05-27,Romania,German DR,1,0,FIFA World Cup qualification,Bucharest,Romania,False
1973-06-06,Finland,German DR,1,5,FIFA World Cup qualification,Tampere,Finland,False
1973-07-17,Iceland,German DR,1,2,Friendly,Reykjavík,Iceland,False
1973-07-19,Iceland,German DR,0,2,Friendly,Reykjavík,Iceland,False
