Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1908-04-05,Switzerland,Germany,5,3,Friendly,Basel,Switzerland,False
1908-06-07,Austria,Germany,3,2,Friendly,Vienna,Austria,False
1909-04-04,Germany,Switzerland,1,0,Friendly,Karlsruhe,Germany,False
1909-04-04,Hungary,Germany,3,3,Friendly,Budapest,Hungary,False
1910-04-03,Switzerland,Germany,2,3,Friendly,Basel,Switzerland,False
1910-04-24,Netherlands,Germany,4,2,Friendly,Arnhem,Netherlands,False
1910-05-16,Germany,Belgium,0,3,Friendly,Duisburg,Germany,False
1910-10-16,Germany,Netherlands,1,2,Friendly,Kleve,Germany,False
1911-03-26,Germany,Switzerland,6,2,Friendly,Stuttgart,Germany,False
1911-04-23,Belgium,Germany,2,1,Friendly,Liège,Belgium,False
1911-06-18,Sweden,Germany,2,4,Friendly,Solna,Sweden,False
1911-10-09,Germany,Austria,1,2,Friendly,Dresden,Germany,False
1911-10-29,Germany,Sweden,1,3,Friendly,Hamburg,Germany,False
1911-12-17,Germany,Hungary,1,4,Friendly,Munich,Germany,False
1912-03-24,Netherlands,Germany,5,5,Friendly,Zwolle,Netherlands,False
1912-04-14,Hungary,Germany,4,4,Friendly,Budapest,Hungary,False
1912-05-05,Switzerland,Germany,1,2,Friendly,St. Gallen,Switzerland,False
1912-06-29,Austria,Germany,5,1,Olympic Games,Stockholm,Sweden,True
1912-07-01,Germany,Russia,16,0,Olympic Games,Stockholm,Sweden,True
1912-07-03,Hungary,Germany,3,1,Olympic Games,Stockholm,Sweden,True
1912-10-06,Denmark,Germany,3,1,Friendly,Copenhagen,Denmark,False
1912-11-17,Germany,Netherlands,2,3,Friendly,Leipzig,Germany,False
1913-05-18,Germany,Switzerland,1,2,Friendly,Freiburg,Germany,False
1913-10-26,Germany,Denmark,1,4,Friendly,Hamburg,Germany,False
1913-11-23,Belgium,Germany,6,2,Friendly,Antwerp,Belgium,False
1914-04-05,Netherlands,Germany,4,4,Friendly,Amsterdam,Netherlands,False
