Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1950-05-28,Ghana,Nigeria,1,0,Friendly,Accra,Gold Coast,False
1951-10-20,Nigeria,Ghana,5,0,Friendly,Lagos,Nigeria,False
1953-10-11,Ghana,Nigeria,1,0,Friendly,Accra,Gold Coast,False
1954-06-01,Ghana,Sierra Leone,2,0,Friendly,Accra,Gold Coast,False
1954-10-30,Nigeria,Ghana,3,0,Friendly,Lagos,Nigeria,False
1955-05-28,Ghana,Nigeria,1,0,Friendly,Accra,Gold Coast,False
1955-10-30,Ghana,Nigeria,7,0,Friendly,Accra,Gold Coast,False
1956-10-20,Togo,Ghana,1,1,Friendly,Lomé,Togo,False
1956-10-27,Nigeria,Ghana,3,0,Friendly,Lagos,Nigeria,False
1956-12-16,Ghana,Sierra Leone,4,3,Friendly,Accra,Gold Coast,False
1957-08-24,Sierra Leone,Ghana,2,3,Friendly,Freetown,Sierra Leone,False
1957-10-27,Ghana,Nigeria,3,3,Friendly,Accra,Ghana,False
1958-02-20,Ghana,Togo,5,2,Friendly,Accra,Ghana,False
1958-10-25,Nigeria,Ghana,3,2,Friendly,Lagos,Nigeria,False
1959-11-21,Ghana,Nigeria,5,2,Friendly,Accra,Ghana,False
1960-02-07,Ghana,Sierra Leone,6,2,Friendly,Accra,Ghana,False
1960-05-01,Togo,Ghana,2,3,Friendly,Lomé,Togo,False
1960-07-03,Ghana,Egypt,2,2,Friendly,Accra,Ghana,False
1960-08-28,Ghana,Nigeria,4,1,FIFA World Cup qualification,Accra,Ghana,False
1960-09-10,Nigeria,Ghana,2,2,FIFA World Cup qualification,Lagos,Nigeria,False
1960-10-02,Ghana,Mali,5,1,Friendly,Ibadan,Nigeria,True
1960-10-09,Nigeria,Ghana,0,3,Friendly,Lagos,Nigeria,False
1960-10-29,Nigeria,Ghana,1,1,Friendly,Lagos,Nigeria,False
1961-03-05,Ghana,Mali,3,0,Friendly,Accra,Ghana,False
1961-04-02,Ghana,Morocco,0,0,FIFA World Cup qualification,Accra,Ghana,False
1961-04-08,Nigeria,Ghana,0,0,African Cup of Nations qualification,Lagos,Nigeria,False
1961-04-30,Ghana,Nigeria,2,2,African Cup of Nations qualification,Accra,Ghana,False
1961-05-28,Morocco,Ghana,1,0,FIFA World Cup qualification,Casablanca,Morocco,False
1961-06-01,Ghana,Nigeria,3,0,Friendly,Accra,Ghana,False
1961-12-17,Ghana,Nigeria,5,1,Friendly,Accra,Ghana,False
1962-02-17,Mali,Ghana,0,1,Friendly,Bamako,Mali,False
1962-03-17,Ghana,Mali,0,0,Friendly,Accra,Ghana,False
1962-09-29,Ghana,Kenya,6,3,Friendly,Kampala,Uganda,True
1962-10-10,Uganda,Ghana,1,4,Friendly,Kampala,Uganda,False
1962-10-12,Kenya,Ghana,0,4,Friendly,Nairobi,Kenya,False
